Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-2937.031805,17348.943245,36.019608,STOP_VIOLATION,STOP_VIOLATION,11,51
﻿2,20582.159386,9974.362289,23.64,COLLISION_WITH_BP_IntersectionBorder50,STOP_VIOLATION,8,50
﻿3,58238.872242,14391.481543,31.82,TIMEFINISHED,LAZY,11,50
﻿4,41885.52916,11838.780104,30.0,COLLISION_WITH_NavModifierVolume19,STOP_VIOLATION,9,50
﻿5,5910.430255,4973.935493,15.68,COLLISION_WITH_BP_IntersectionBorder108,LAZY,10,50
﻿6,48384.314944,6134.090826,18.28,STOP_VIOLATION,LAZY,26,50
﻿7,6110.664522,5751.510482,17.42,COLLISION_WITH_NavModifierVolume53,LAZY,28,50
﻿8,793.297637,6788.362248,19.16,COLLISION_WITH_BP_IntersectionBorder208,LAZY,27,50
﻿9,585.883241,6552.879945,19.04,COLLISION_WITH_NavModifierVolume6,LAZY,26,50
﻿10,7766.89095,4976.081565,16.12,COLLISION_WITH_NavModifierVolume58,LAZY,9,50
﻿11,21942.847906,7240.270003,20.1,STOP_VIOLATION,LAZY,28,50
﻿12,53020.888475,6727.087127,20.02,TIMEFINISHED,LAZY,27,50
﻿13,29254.445806,6748.904773,19.56,COLLISION_WITH_BP_IntersectionBorder150,LAZY,29,50
﻿14,43759.588287,9977.151775,24.06,COLLISION_WITH_NavModifierVolume53,LAZY,27,50
﻿15,60189.147746,6295.475343,18.22,COLLISION_WITH_NavModifierVolume53,LAZY,30,50
﻿16,48450.210984,13209.385051,35.48,TIMEFINISHED,LAZY,10,50
﻿17,1001.016904,6701.162647,21.62,COLLISION_WITH_NavModifierVolume38,LAZY,9,50
﻿18,62012.135148,10030.111461,25.28,TIMEFINISHED,LAZY,11,50
﻿19,7180.862604,13937.410606,33.7,COLLISION_WITH_BP_IntersectionBorder108,LAZY,10,50
﻿20,22603.940499,8921.332925,23.1,COLLISION_WITH_BP_IntersectionBorder150,LAZY,30,50
﻿21,10009.882065,8520.784852,22.16,STOP_VIOLATION,LAZY,29,50
﻿22,66513.637275,8054.176178,22.62,TIMEFINISHED,LAZY,27,50
﻿23,4178.649023,12993.380245,34.28,LAZY,LAZY,11,50
﻿24,14634.804814,9234.239021,24.6,COLLISION_WITH_BP_IntersectionBorder86,LAZY,8,50
﻿25,62875.674145,12482.35394,30.9,COLLISION_WITH_NavModifierVolume141,LAZY,12,50
﻿26,7169.55607,6924.74213,20.18,COLLISION_WITH_BP_IntersectionBorder187,LAZY,27,50
﻿27,4652.672289,13837.844425,32.28,COLLISION_WITH_NavModifierVolume20,LAZY,9,50
﻿28,27883.428815,9034.417693,23.1,STOP_VIOLATION,LAZY,30,50
﻿29,21196.63183,7757.659851,21.36,COLLISION_WITH_BP_IntersectionBorder108,LAZY,8,50
﻿30,20266.187067,9416.694429,24.28,STOP_VIOLATION,LAZY,30,50
﻿31,46308.352529,7723.577002,22.5,COLLISION_WITH_NavModifierVolume53,LAZY,29,50
﻿32,20201.977336,6741.801667,20.16,COLLISION_WITH_BP_IntersectionBorder150,LAZY,30,50
﻿33,4875.641482,8096.29302,22.5,LAZY,LAZY,29,50
﻿34,38388.027531,5779.061178,17.22,COLLISION_WITH_BP_IntersectionBorder150,LAZY,30,50
﻿35,12189.485695,6604.040618,18.76,STOP_VIOLATION,LAZY,27,50
﻿36,30502.590025,8447.960101,22.9,STOP_VIOLATION,LAZY,12,50
﻿37,22962.320024,10146.283143,29.24,STOP_VIOLATION,LAZY,16,50
﻿38,16477.268212,8384.855817,23.32,COLLISION_WITH_BP_IntersectionBorder86,LAZY,29,50
﻿39,54456.298658,7724.4124,22.42,TIMEFINISHED,LAZY,30,50
﻿40,10180.132615,9170.846323,27.04,STOP_VIOLATION,LAZY,29,50
﻿41,41546.562143,7279.962738,22.56,COLLISION_WITH_BP_IntersectionBorder150,LAZY,7,50
﻿42,65218.085799,9138.005884,24.68,TIMEFINISHED,LAZY,28,50
﻿43,23512.492567,9378.62865,26.78,COLLISION_WITH_BP_IntersectionBorder150,LAZY,9,50
﻿44,3048.344635,9311.523958,24.04,COLLISION_WITH_BP_IntersectionBorder116,LAZY,26,50
﻿45,19784.105175,10433.326545,26.42,COLLISION_WITH_BP_IntersectionBorder200,LAZY,30,50
﻿46,16392.374061,7172.076871,20.34,COLLISION_WITH_BP_IntersectionBorder86,LAZY,27,50
﻿47,6737.015879,8295.965101,23.8,STOP_VIOLATION,LAZY,23,50
﻿48,25227.367513,9676.929562,26.86,STOP_VIOLATION,LAZY,9,50
﻿49,5437.785453,8991.735337,23.72,COLLISION_WITH_BP_IntersectionBorder86,LAZY,27,50
﻿50,31938.331966,7688.2487,21.74,COLLISION_WITH_BP_IntersectionBorder86,LAZY,28,50
﻿51,15876.880737,7965.45445,22.64,STOP_VIOLATION,LAZY,30,50
﻿52,78043.785575,13456.992469,32.1,TIMEFINISHED,LAZY,27,50
﻿53,25274.734055,18327.824808,40.94,STOP_VIOLATION,LAZY,13,50
﻿54,31856.507964,9348.959801,22.86,COLLISION_WITH_BP_IntersectionBorder150,LAZY,29,50
﻿55,80688.727388,10750.35871,25.14,TIMEFINISHED,LAZY,26,50
﻿56,70156.202855,15633.005342,34.66,TIMEFINISHED,LAZY,13,50
﻿57,73070.414712,9558.07767,24.22,TIMEFINISHED,LAZY,12,50
﻿58,1724.991497,12216.223187,28.0,COLLISION_WITH_NavModifierVolume9,LAZY,10,50
﻿59,10185.921192,8052.275237,19.64,STOP_VIOLATION,LAZY,28,50
﻿60,7237.881239,10101.510497,24.52,STOP_VIOLATION,LAZY,28,50
﻿61,24269.904733,9121.975076,23.78,COLLISION_WITH_NavModifierVolume53,LAZY,8,50
﻿62,10515.030877,8887.0914,21.66,STOP_VIOLATION,LAZY,29,50
﻿63,8767.015153,10041.926028,23.48,COLLISION_WITH_BP_IntersectionBorder147,LAZY,31,50
﻿64,26378.869967,6455.806953,18.04,COLLISION_WITH_BP_IntersectionBorder150,LAZY,29,50
﻿65,28601.573409,9328.687169,22.44,STOP_VIOLATION,LAZY,31,50
﻿66,2987.092463,7834.293682,20.3,STOP_VIOLATION,LAZY,30,50
﻿67,87207.112349,8512.287906,21.46,TIMEFINISHED,LAZY,29,50
﻿68,63510.091528,18564.101855,37.76,TIMEFINISHED,LAZY,9,50
﻿69,19559.236233,8593.003003,20.64,COLLISION_WITH_BP_IntersectionBorder86,LAZY,31,50
﻿70,50566.358229,10404.418769,23.48,COLLISION_WITH_NavModifierVolume53,LAZY,30,50
﻿71,84068.191428,11018.562533,24.46,TIMEFINISHED,LAZY,11,50
﻿72,93606.285446,12829.158084,26.98,TIMEFINISHED,LAZY,22,50
﻿73,29693.05561,19155.562272,36.46,STOP_VIOLATION,LAZY,10,50
﻿74,66803.124838,7554.86079,19.74,TIMEFINISHED,LAZY,30,50
﻿75,87827.964411,10360.713009,23.42,TIMEFINISHED,LAZY,31,50
﻿76,96277.259951,11154.619801,22.34,TIMEFINISHED,LAZY,29,50
﻿77,46840.057078,23031.629811,42.12,STOP_VIOLATION,LAZY,11,50
﻿78,76193.111222,9253.063006,20.1,TIMEFINISHED,LAZY,30,50
﻿79,9426.189246,11605.415928,25.48,COLLISION_WITH_NavModifierVolume14,LAZY,10,50
﻿80,102453.193796,13076.504278,25.98,TIMEFINISHED,LAZY,29,50
