Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering
﻿1,BP_VehicleAI239,-488.128975,2,BP_SpawnPoint36,COLLISION_WITH_NavModifierVolume20,807.956896,239.869294,559.475184,0.000171,228.949774,70.898343,0.055208,0.166823,0.0,559.697215,0.0,0.0,51.0,51.0,true,2.65881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.096926,-24.096926,40,24.096926
﻿1,BP_VehicleAI223,251.042547,3,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume10,293.372613,53.671426,597.830278,0.000212,439.489226,87.580306,0.130379,0.125929,0.0,598.086587,0.0,0.0,63.0,63.0,true,2.339086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.293274,41.293274,24,41.293274
﻿1,BP_VehicleAI237,25.492674,3,BP_SpawnPoint8,COLLISION_WITH_NavModifierVolume43,197.838935,43.063048,266.361577,0.0,417.51083,95.921288,0.000001,0.033079,0.0,266.394657,0.0,0.0,69.0,69.0,true,2.112234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.141897,-42.141897,38,42.141897
﻿1,BP_VehicleAI251,94.416825,4,BP_SpawnPoint12,COLLISION_WITH_NavModifierVolume44,68.558949,5.984675,206.177903,0.00001,489.382118,98.701615,0.006602,0.019731,0.0,206.204236,0.0,0.0,71.0,71.0,true,1.720591,0.0,0.0,0.0,0.003819,1.0,0.0,0.0,0.0,37.243786,0.0,0.0,0.0,0.0,-51.916943,-51.916943,52,51.916943
﻿1,BP_VehicleAI228,-45.466122,4,BP_SpawnPoint47,COLLISION_WITH_NavModifierVolume55,651.459629,244.655122,850.368159,0.00009,556.197354,115.383578,0.069549,0.210922,0.0,850.648629,0.0,0.0,83.0,83.0,true,3.007421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.382128,31.382128,29,31.382128
﻿1,BP_VehicleAI218,520.018741,4,BP_SpawnPoint41,COLLISION_WITH_BP_IntersectionBorder191,2430.939069,182.41658,3131.664401,0.000078,565.494166,118.163905,0.061402,1.648587,0.0,3133.37439,0.0,0.0,85.0,85.0,true,4.316466,0.0,0.0,0.0,0.04766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.413733,-3.413733,19,4.805866
﻿1,BP_VehicleAI27,199.667198,4,BP_SpawnPoint5,COLLISION_WITH_NavModifierVolume16,838.402967,350.337207,1410.291166,0.000011,404.351527,120.944232,0.006452,0.414256,0.0,1410.711874,0.0,0.0,87.0,87.0,true,3.284808,0.0,0.0,0.0,0.013213,1.0,0.0,0.0,0.0,22.304502,0.0,0.0,0.0,0.0,35.642853,35.642853,8,35.642853
﻿1,BP_VehicleAI229,-150.069906,5,BP_SpawnPoint25,LAZY,50.0,0.0,-0.635241,0.000001,585.585773,122.334396,0.001024,0.0,0.0,-0.634217,0.0,0.0,88.0,88.0,true,0.0,2.421134,0.0,0.0,0.0,0.0,0.0,0.002781,149.432909,0.0,0.0,0.0,0.0,0.0,18.748928,18.748928,30,18.748928
﻿1,BP_VehicleAI230,-150.126159,5,BP_SpawnPoint29,LAZY,50.0,0.0,-0.631605,0.000001,597.782913,122.334396,0.00056,0.0,0.0,-0.631045,0.0,0.0,88.0,88.0,true,0.0,0.846799,0.0,0.0,0.0,0.0,0.0,0.002748,149.492366,0.0,0.0,0.0,0.0,0.0,23.372106,23.372106,31,23.372106
﻿1,BP_VehicleAI234,-150.128074,5,BP_SpawnPoint31,LAZY,50.0,0.0,-0.633262,0.0,548.483114,122.334396,0.000334,0.0,0.0,-0.632928,0.0,0.0,88.0,88.0,true,0.0,0.134511,5.008352,0.0,0.0,0.0,0.0,0.002749,149.492398,0.0,0.0,0.0,0.0,0.0,22.931319,22.931319,35,22.931319
﻿1,BP_VehicleAI231,-150.122636,5,BP_SpawnPoint37,LAZY,50.0,0.0,-0.628307,0.000001,609.596788,122.334396,0.000529,0.0,0.0,-0.627778,0.0,0.0,88.0,88.0,true,0.0,0.544243,0.0,0.0,0.0,0.0,0.0,0.002748,149.49211,0.0,0.0,0.0,0.0,0.0,-71.27408,-71.27408,32,71.27408
﻿1,BP_VehicleAI24,-150.126583,5,BP_SpawnPoint34,LAZY,50.0,0.0,-0.632139,0.000001,548.953948,122.334396,0.000558,0.0,0.0,-0.631581,0.0,0.0,88.0,88.0,true,0.0,0.604389,0.0,0.0,0.0,0.0,0.0,0.002748,149.492254,0.0,0.0,0.0,0.0,0.0,1.967062,1.967062,5,1.967062
﻿1,BP_VehicleAI248,-139.928136,5,BP_SpawnPoint43,LAZY,48.324064,0.0,6.443582,0.000007,593.635375,122.334396,0.005698,0.0,0.0,6.449281,0.0,0.0,88.0,88.0,true,0.187037,0.0,5.008352,0.0,0.0,0.0,0.0,0.000063,146.377354,0.0,0.0,0.0,0.0,0.0,-52.661616,-52.661616,49,52.661616
﻿1,BP_VehicleAI236,-144.441415,5,BP_SpawnPoint4,LAZY,49.100023,0.0,3.545097,0.000001,653.376323,122.334396,0.001258,0.0,0.0,3.546356,0.0,0.0,88.0,88.0,true,0.134103,0.0,5.008352,0.0,0.0,0.0,0.0,0.000069,147.987702,0.0,0.0,0.0,0.0,0.0,36.638255,36.638255,37,36.638255
﻿1,BP_VehicleAI213,25.268967,5,BP_SpawnPoint35,LAZY,24.360671,0.0,110.382524,0.000059,611.603691,122.334396,0.050095,0.001068,0.0,110.433687,0.0,0.0,88.0,88.0,true,0.764789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.16472,0.0,0.0,0.0,0.0,0.0,63.634508,63.634508,14,63.634508
﻿1,BP_VehicleAI233,-138.903694,5,BP_SpawnPoint,LAZY,48.157053,0.0,7.096604,0.000006,595.42414,122.334396,0.005147,0.000001,0.0,7.101752,0.0,0.0,88.0,88.0,true,0.191884,0.0,5.008352,0.0,0.0,0.0,0.0,0.000055,146.005391,0.0,0.0,0.0,0.0,0.0,38.047079,38.047079,34,38.047079
﻿1,BP_VehicleAI26,-149.968617,5,BP_SpawnPoint24,LAZY,50.0,0.0,-0.533647,0.000001,541.974047,122.334396,0.000943,0.0,0.0,-0.532703,0.0,0.0,88.0,88.0,true,0.0,0.689392,0.0,0.0,0.0,0.0,0.0,0.002779,149.433135,0.0,0.0,0.0,0.0,0.0,31.589189,31.589189,7,31.589189
﻿1,BP_VehicleAI226,-150.050665,5,BP_SpawnPoint11,LAZY,50.0,0.0,-0.556299,0.000001,566.000628,122.334396,0.00068,0.0,0.0,-0.555619,0.0,0.0,88.0,88.0,true,0.0,2.620222,0.0,0.0,0.0,0.0,0.0,0.002748,149.492298,0.0,0.0,0.0,0.0,0.0,17.433543,17.433543,27,17.433543
﻿1,BP_VehicleAI22,-150.063161,5,BP_SpawnPoint17,LAZY,50.0,0.0,-0.628111,0.000001,604.385943,122.334396,0.000662,0.0,0.0,-0.627449,0.0,0.0,88.0,88.0,true,0.0,0.405287,0.0,0.0,0.0,0.0,0.0,0.002781,149.43293,0.0,0.0,0.0,0.0,0.0,32.121408,32.121408,3,32.121408
﻿1,BP_VehicleAI20,-150.127241,5,BP_SpawnPoint22,LAZY,50.0,0.0,-0.632889,0.000001,582.282437,122.334396,0.000611,0.0,0.0,-0.632278,0.0,0.0,88.0,88.0,true,0.0,1.69311,0.0,0.0,0.0,0.0,0.0,0.002749,149.492214,0.0,0.0,0.0,0.0,0.0,4.044891,4.044891,1,4.044891
﻿1,BP_VehicleAI227,-150.129791,5,BP_SpawnPoint20,LAZY,50.0,0.0,-0.635064,0.0,588.789631,122.334396,0.000346,0.0,0.0,-0.634718,0.0,0.0,88.0,88.0,true,0.0,0.124676,5.008352,0.0,0.0,0.0,0.0,0.002749,149.492324,0.0,0.0,0.0,0.0,0.0,-17.3164,-17.3164,28,17.3164
﻿1,BP_VehicleAI235,20.911797,5,BP_SpawnPoint19,LAZY,5.458651,0.0,56.432222,0.0,556.14485,122.334396,0.000001,0.001491,0.0,56.433714,0.0,0.0,88.0,88.0,true,0.623961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.521917,0.0,0.0,0.0,0.0,0.0,-50.482445,-50.482445,36,50.482445
﻿1,BP_VehicleAI25,-150.124002,5,BP_SpawnPoint40,LAZY,50.0,0.0,-0.629239,0.0,593.636032,122.334396,0.000341,0.0,0.0,-0.628898,0.0,0.0,88.0,88.0,true,0.0,2.602426,0.0,0.0,0.0,0.0,0.0,0.002748,149.492356,0.0,0.0,0.0,0.0,0.0,34.990088,34.990088,6,34.990088
