Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿66,22570.178569,-81.830203,4.416667,COLLISION_WITH_NavModifierVolume2,LAZY,30
﻿67,3344.238299,89.308238,3.766667,COLLISION_WITH_NavModifierVolume23,LAZY,28
﻿68,17536.616574,405.481404,4.583333,COLLISION_WITH_NavModifierVolume23,LAZY,24
﻿69,16688.565356,1007.000431,4.766667,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿70,45065.167773,337.860995,4.583333,COLLISION_WITH_NavModifierVolume53,LAZY,28
﻿71,3720.487614,348.404728,5.916667,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿72,18689.729807,-99.713283,5.083333,COLLISION_WITH_NavModifierVolume2,LAZY,29
﻿73,21214.357922,506.981797,4.2,COLLISION_WITH_NavModifierVolume2,LAZY,25
﻿74,19824.719574,-2730.256778,6.066667,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿75,20763.888432,15.413076,3.983333,COLLISION_WITH_BP_IntersectionBorder86,LAZY,23
﻿76,79483.239894,-646.863184,5.483333,COLLISION_WITH_NavModifierVolume50,LAZY,27
﻿77,78784.079166,943.36105,6.816667,COLLISION_WITH_NavModifierVolume22,LAZY,26
﻿78,85492.844819,-1327.235176,6.0,CORRECTINGWRONG,LAZY,28
﻿79,19145.593803,-106.116813,4.65,COLLISION_WITH_NavModifierVolume2,LAZY,31
﻿80,11168.298187,376.674358,5.516667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿81,15818.860198,1556.206681,5.85,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿82,18340.366845,591.904733,4.366667,COLLISION_WITH_NavModifierVolume12,LAZY,25
﻿83,18153.950539,468.002327,3.866667,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿84,111167.742528,-1823.570878,6.666667,CORRECTINGWRONG,LAZY,31
﻿85,195233.769339,-3966.765015,7.266667,CORRECTINGWRONG,LAZY,30
﻿86,77027.768073,-1094.919481,8.05,COLLISION_WITH_NavModifierVolume22,LAZY,18
﻿87,20978.473032,-78.838086,3.783333,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿88,78013.872511,-3402.041765,5.05,COLLISION_WITH_NavModifierVolume22,LAZY,27
﻿89,21117.890308,1809.500043,5.283333,COLLISION_WITH_NavModifierVolume2,LAZY,24
﻿90,8262.754665,-15.262114,5.6,CORRECTINGWRONG,LAZY,24
﻿91,20841.014969,915.79907,4.666667,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿92,16603.480274,2593.927732,6.383333,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿93,12894.088034,-1079.410511,4.3,CORRECTINGWRONG,LAZY,27
﻿94,15962.38056,751.885316,4.866667,COLLISION_WITH_NavModifierVolume30,LAZY,23
﻿95,129062.848754,-3564.861281,6.383333,CORRECTINGWRONG,LAZY,29
﻿96,18815.609905,1118.988444,4.75,COLLISION_WITH_NavModifierVolume30,LAZY,31
﻿97,92050.762521,-3148.953075,5.7,COLLISION_WITH_NavModifierVolume,LAZY,29
﻿98,94385.382639,-6400.134246,6.833333,COLLISION_WITH_NavModifierVolume18,LAZY,27
﻿99,19047.267993,496.568202,5.166667,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿100,119951.788328,-2973.461832,6.666667,CORRECTINGWRONG,LAZY,27
﻿101,149888.06653,-7715.158743,6.65,COLLISION_WITH_NavModifierVolume17,LAZY,27
﻿102,8311.010777,762.454874,4.35,CORRECTINGWRONG,LAZY,28
﻿103,20777.768529,1504.98743,4.933333,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿104,115782.185712,-2901.609038,6.2,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿105,6638.109607,-3440.908302,4.65,COLLISION_WITH_NavModifierVolume23,LAZY,26
﻿106,14929.423508,-3980.440775,5.983333,COLLISION_WITH_NavModifierVolume23,LAZY,27
﻿107,19591.851038,1217.168058,5.666667,COLLISION_WITH_NavModifierVolume30,LAZY,22
﻿108,93236.48561,-1021.732082,6.083333,COLLISION_WITH_BP_IntersectionBorder131,LAZY,31
﻿109,125036.174001,-991.015372,7.966667,CORRECTINGWRONG,LAZY,30
﻿110,82658.354292,-2034.988174,6.183333,COLLISION_WITH_BP_IntersectionBorder40,LAZY,29
﻿111,4939.665764,180.740673,3.883333,COLLISION_WITH_NavModifierVolume12,LAZY,24
﻿112,16741.898261,2011.929974,6.116667,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿113,21040.501089,904.671691,4.516667,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿114,18878.435926,-1112.916137,7.4,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿115,4861.317485,1223.643181,4.75,COLLISION_WITH_NavModifierVolume23,LAZY,26
﻿116,21748.172036,946.084723,4.233333,COLLISION_WITH_NavModifierVolume2,LAZY,27
﻿117,21305.529433,648.423965,4.15,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿118,13176.573476,-505.430241,4.733333,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿119,75132.637878,-3121.465217,5.766667,COLLISION_WITH_NavModifierVolume17,LAZY,25
﻿120,73423.999956,-3329.218192,6.366667,COLLISION_WITH_BP_IntersectionBorder123,LAZY,24
﻿121,19670.437516,53.146193,4.85,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿122,11804.507702,1565.707361,5.233333,CORRECTINGWRONG,LAZY,30
﻿123,17611.010937,1375.325316,5.083333,COLLISION_WITH_NavModifierVolume23,LAZY,25
﻿124,17352.254383,-51.735667,5.2,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿125,72150.171926,-737.426026,5.666667,CORRECTINGWRONG,LAZY,22
﻿126,17669.620778,1597.588955,4.9,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿127,8990.729611,-1564.357958,4.75,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿128,13143.332284,632.05518,5.066667,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿129,14086.134296,1756.161659,5.216667,COLLISION_WITH_NavModifierVolume12,LAZY,28
﻿130,117504.889264,-2817.650697,5.833333,CORRECTINGWRONG,LAZY,26
﻿131,80426.631503,1466.685975,6.616667,COLLISION_WITH_NavModifierVolume2,LAZY,28
﻿132,17704.022063,952.29067,5.016667,COLLISION_WITH_NavModifierVolume12,LAZY,33
﻿133,14176.83936,1414.300025,5.366667,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿134,57059.57332,-990.851796,5.683333,COLLISION_WITH_BP_IntersectionBorder46,LAZY,26
﻿135,20456.873696,944.916613,5.6,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿136,57948.211957,-813.384059,6.766667,COLLISION_WITH_BP_IntersectionBorder124,LAZY,27
﻿137,19570.00588,-736.109052,4.883333,COLLISION_WITH_NavModifierVolume2,LAZY,27
﻿138,11340.739288,1473.989747,5.383333,CORRECTINGWRONG,LAZY,27
﻿139,17317.874266,676.895213,4.683333,COLLISION_WITH_NavModifierVolume23,LAZY,28
﻿140,45102.482118,508.008459,5.516667,CORRECTINGWRONG,LAZY,31
﻿141,37720.969634,971.962199,5.933333,COLLISION_WITH_NavModifierVolume8,LAZY,28
﻿142,109519.48914,-2246.844855,6.4,COLLISION_WITH_NavModifierVolume12,LAZY,30
﻿143,96827.282099,-2519.91788,6.233333,COLLISION_WITH_NavModifierVolume,LAZY,32
﻿144,89214.493953,-1102.406176,6.416667,COLLISION_WITH_BP_TrafficLight_01,LAZY,27
﻿145,21541.789519,126.505116,4.0,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿146,17463.345649,860.535607,4.8,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿147,80305.39717,132.57007,8.0,COLLISION_WITH_NavModifierVolume2,LAZY,30
﻿148,16269.128357,-837.231995,5.3,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿149,21238.961881,565.722485,4.316667,COLLISION_WITH_NavModifierVolume30,LAZY,20
﻿150,18291.616774,1360.893177,5.783333,COLLISION_WITH_NavModifierVolume2,LAZY,26
﻿151,18447.500306,1610.545987,4.966667,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿152,16627.916784,182.891531,4.3,COLLISION_WITH_NavModifierVolume23,LAZY,24
﻿153,20685.851926,497.501742,4.0,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿154,18809.013617,731.260241,6.816667,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿155,15696.236551,794.006496,5.6,COLLISION_WITH_NavModifierVolume12,LAZY,26
﻿156,72426.758549,-1591.997366,6.35,COLLISION_WITH_BP_IntersectionBorder123,LAZY,26
﻿157,95797.391133,-2417.953325,6.4,COLLISION_WITH_BP_IntersectionBorder149,LAZY,27
﻿158,15065.564314,188.247711,5.3,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿159,20300.618627,-956.792683,6.3,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿160,14887.80533,-117.711552,5.883333,COLLISION_WITH_NavModifierVolume23,LAZY,30
﻿161,15038.032709,124.880736,5.783333,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿162,20551.974496,-2972.20232,6.083333,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿163,15588.459037,-115.011809,5.033333,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿164,7423.910795,21.272499,3.716667,CORRECTINGWRONG,LAZY,30
