Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,0.001713,-32.008755,4.0,LAZY,LAZY,51,51
﻿2,5509.618567,-738.304138,6.333333,COLLISION_WITH_BP_IntersectionBorder213,LAZY,40,51
﻿3,12505.144881,-493.145362,6.882353,LAZY,LAZY,23,51
﻿4,16667.423496,431.288261,7.019608,COLLISION_WITH_BP_IntersectionBorder6,LAZY,21,51
﻿5,3671.278851,-174.369814,6.803922,COLLISION_WITH_NavModifierVolume61,LAZY,17,51
﻿6,3018.8441,-81.235395,5.686275,COLLISION_WITH_NavModifierVolume8,LAZY,30,51
﻿7,17024.362776,36.818542,5.843137,CORRECTINGWRONG,LAZY,31,51
﻿8,31796.057827,87.436999,7.039216,COLLISION_WITH_NavModifierVolume142,LAZY,20,51
﻿9,1414.160439,187.535885,5.921569,COLLISION_WITH_NavModifierVolume20,LAZY,23,51
﻿10,4685.160854,175.073664,6.176471,COLLISION_WITH_NavModifierVolume32,LAZY,34,51
﻿11,534.950203,159.365085,5.215686,COLLISION_WITH_NavModifierVolume36,LAZY,32,51
﻿12,2434.242073,160.303385,5.764706,COLLISION_WITH_NavModifierVolume61,LAZY,27,51
﻿13,2373.819765,-187.263019,7.745098,COLLISION_WITH_NavModifierVolume142,LAZY,27,51
﻿14,6148.864029,-534.353092,4.784314,COLLISION_WITH_NavModifierVolume3,LAZY,31,51
﻿15,28.847045,122.754798,6.215686,COLLISION_WITH_NavModifierVolume8,LAZY,26,51
﻿16,7671.755724,136.0439,5.803922,COLLISION_WITH_BP_IntersectionBorder156,LAZY,29,51
﻿17,23090.847579,243.044361,5.333333,COLLISION_WITH_NavModifierVolume133,LAZY,31,51
﻿18,3069.076583,96.382879,5.607843,COLLISION_WITH_NavModifierVolume33,LAZY,27,51
﻿19,660.202647,-15.489408,5.588235,COLLISION_WITH_NavModifierVolume29,LAZY,30,51
﻿20,4855.270259,-133.06541,4.882353,COLLISION_WITH_NavModifierVolume142,LAZY,29,51
﻿21,3115.677336,-70.556792,5.176471,COLLISION_WITH_NavModifierVolume21,LAZY,29,51
﻿22,31615.387287,-650.749658,6.0,COLLISION_WITH_NavModifierVolume53,LAZY,28,51
﻿23,1879.378759,-174.926562,5.196078,COLLISION_WITH_NavModifierVolume43,LAZY,29,51
﻿24,8969.881844,-1486.650116,5.784314,COLLISION_WITH_BP_IntersectionBorder46,LAZY,30,51
﻿25,6602.609232,112.233448,6.372549,CORRECTINGWRONG,LAZY,28,51
﻿26,21350.473489,-863.623455,7.156863,COLLISION_WITH_NavModifierVolume41,LAZY,29,51
﻿27,3014.326558,53.121018,6.607843,CORRECTINGWRONG,LAZY,33,51
﻿28,532.906511,-401.564118,6.078431,COLLISION_WITH_NavModifierVolume10,LAZY,26,51
﻿29,422.091453,274.789028,5.372549,LAZY,LAZY,34,51
﻿30,4441.240319,-441.080479,5.764706,COLLISION_WITH_NavModifierVolume61,LAZY,26,51
﻿31,2388.008567,-1038.818316,6.058824,LAZY,LAZY,32,51
﻿32,8972.290934,141.935515,5.372549,COLLISION_WITH_BP_IntersectionBorder146,LAZY,35,51
﻿33,16601.99044,180.910299,5.333333,CORRECTINGWRONG,LAZY,26,51
﻿34,764.191899,318.021081,5.607843,COLLISION_WITH_NavModifierVolume23,LAZY,33,51
﻿35,7034.738113,266.985514,5.960784,COLLISION_WITH_NavModifierVolume13,LAZY,30,51
﻿36,946.513866,-324.735188,6.431373,LAZY,LAZY,29,51
﻿37,11121.44146,267.325813,5.607843,COLLISION_WITH_BP_IntersectionBorder123,LAZY,31,51
﻿38,2549.188765,-200.250296,5.568627,COLLISION_WITH_NavModifierVolume19,LAZY,24,51
﻿39,6923.348492,-13.25468,6.490196,COLLISION_WITH_NavModifierVolume18,LAZY,28,51
﻿40,2166.16788,-14.194063,5.411765,COLLISION_WITH_NavModifierVolume46,LAZY,32,51
﻿41,7761.443047,213.121593,6.529412,COLLISION_WITH_NavModifierVolume33,LAZY,33,51
﻿42,12175.098107,-42.220414,5.960784,COLLISION_WITH_NavModifierVolume18,LAZY,26,51
﻿43,14113.050208,-726.152074,6.568627,COLLISION_WITH_NavModifierVolume32,LAZY,26,51
﻿44,1882.356941,-266.953022,5.352941,COLLISION_WITH_NavModifierVolume46,LAZY,30,51
﻿45,1663.622268,-465.573249,6.764706,COLLISION_WITH_NavModifierVolume133,LAZY,25,51
﻿46,15459.329429,196.362525,5.411765,STOP_VIOLATION,LAZY,34,51
﻿47,1176.548747,69.86458,5.078431,CORRECTINGWRONG,LAZY,30,51
﻿48,8445.532153,-92.409679,5.627451,COLLISION_WITH_NavModifierVolume33,LAZY,31,51
﻿49,11179.133034,-318.388055,6.078431,COLLISION_WITH_NavModifierVolume51,LAZY,30,51
﻿50,4378.781907,63.204947,5.313725,COLLISION_WITH_NavModifierVolume30,LAZY,32,51
﻿51,11253.348093,-262.170709,5.078431,COLLISION_WITH_BP_IntersectionBorder39,LAZY,38,51
