Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness,Acum_StopCompletionBonus,NumStopsCompleted,Acum_YieldCompletionBonus,NumYieldsCompleted,Acum_NavPenalty,NumRoundaboutsEntered,NumRoundaboutsCompleted,Acum_SpeedAtRoundaboutEntry,Acum_FrontObstAtRoundaboutEntry,Ticks_InRoundabout,Acum_SteeringInRoundabout,Acum_ThrottleInRoundabout,CollisionsInRoundabout,R_CurrentExitNumber,R_EntryDir_First,R_EntryDir_Second,R_EntryDir_Third,R_Exit1_Count,R_Exit2_Count,R_Exit3Plus_Count,R_Exit1_Deaths,R_Exit2_Deaths,R_Exit3Plus_Deaths,R_Exit1_Steering,R_Exit2_Steering,R_Exit3Plus_Steering,R_Exit1_Ticks,R_Exit2_Ticks,R_Exit3Plus_Ticks,R_Exit1_Throttle,R_Exit2_Throttle,R_Exit3Plus_Throttle,Acum_RoundaboutBonus,Acum_RndCompletionBonus,Acum_RndEntryPenalty,Acum_RndThrottlePenalty,Acum_AlignmentPenalty,NumCarOverlaps,NumYieldFreePasses,SpeedAtYieldValidation,Acum_TimeBlockedAtCrossing,FrontObstAtDeath,Acum_SteerApproachWrongDir,Acum_SteerApproachRightDir,Acum_CarOverlapPenaltyShadow,FirstSteerAfterReleaseTicks,Acum_CarOverlapPenalty,Acum_QueueWaitBonus,CurrentTrigger
﻿1,BP_VehicleAI214,49339.297098,107,BP_SpawnPoint45,STOP_VIOLATION_TIMEOUT,1004.470847,1886.612431,46666.691008,24.386255,197.486428,46691.077263,0.0,0.0,1805.0,1805.0,true,25.159341,4.501855,15.144397,3.048453,0.975281,181.0,551.81942,0.000036,0.0,19.019875,2.040711,0.0,0.0,3.9,331.410728,331.410728,15,533.102707,0.0,159.0,22.0,0,0.0,0,0.0,334.299853,3,50820.707858,6000.0,1,544.693627,1,0.0,1,0,743.846436,0.952752,392,101.880519,80.458103,0,1,1,0,0,1,0,0,0,0,0,160.82454,0.0,0.0,392.0,0.0,0.0,80.458103,0.0,0.0,-297.73206,0.0,0.0,297.73206,0.005698,0,1,602.601929,0.9,0.0,7.897569,0.0,0.0,1,0.0,0.0,BP_IntersectionTrigger58
﻿1,BP_VehicleAI215,39962.568779,119,BP_SpawnPoint28,STOP_VIOLATION_EXIT,1448.644354,551.121168,43072.030683,21.644825,0.0,43093.675508,84.272896,0.0,2032.0,2055.0,true,25.818066,2.949411,23.921442,1.175231,2.331996,188.0,613.111468,0.0,0.0,40.610616,0.0,0.0,0.0,1.9,484.556843,484.556843,16,704.290905,0.0,182.0,6.0,0,0.0,0,0.0,534.613081,1,42045.45378,0.0,0,577.645929,1,276.874177,1,0,662.686646,1.0,389,106.193746,73.545793,0,1,1,0,0,1,0,0,0,0,0,163.33423,0.0,0.0,389.0,0.0,0.0,73.545793,0.0,0.0,-159.466056,0.0,0.0,159.466056,0.03884,0,1,620.562073,0.3,0.0,4.038751,3.620417,0.0,1,0.0,0.0,BP_IntersectionTrigger59
﻿1,BP_VehicleAI216,44210.853896,126,BP_SpawnPoint38,COLLISION_WITH_BP_IntersectionBorder240,409.636683,2965.799987,40179.605236,18.661491,947.579766,40198.266727,103.657519,0.0,2195.0,2212.0,true,27.396009,6.383715,20.798826,5.27751,0.008504,303.0,307.175904,0.000002,0.0,4.500946,2.758613,0.0,0.0,0.0,-59.065946,-59.065946,17,864.392234,0.0,92.0,211.0,0,0.0,0,0.0,106.021307,2,44660.941868,6000.0,1,1829.476453,3,774.000311,1,0,705.33252,1.0,246,-42.806081,59.631898,1,2,0,0,1,1,1,0,0,1,0,109.597216,6.947868,0.0,239.0,7.0,0.0,53.104747,6.527152,0.0,-93.674651,0.0,0.0,93.674651,0.001741,0,2,650.453674,9.4,0.261697,0.0,2.533143,0.0,2,0.0,0.0,BP_IntersectionTrigger71
﻿1,BP_VehicleAI220,66995.503233,138,BP_SpawnPoint2,COLLISION_WITH_BP_IntersectionBorder240,411.989816,4213.628645,63168.902091,30.549934,83.425706,63199.452025,0.0,0.0,2478.0,2478.0,true,30.536663,4.746003,19.270197,2.742962,0.0,99.0,16.957573,0.000001,0.0,0.441935,2.797278,0.0,0.0,0.0,146.364616,146.364616,21,705.214053,0.0,70.0,29.0,0,0.0,0,0.0,45.761508,3,67447.340853,6000.0,1,2492.824449,4,0.0,1,0,705.449463,1.0,246,-43.702231,59.586045,1,2,0,0,1,1,1,0,0,1,0,110.323923,6.951469,0.0,239.0,7.0,0.0,53.008039,6.578005,0.0,-91.419434,0.0,0.0,91.419434,0.000037,0,4,646.529358,1.2,0.261655,2.280356,2.329559,0.0,2,0.0,0.0,BP_IntersectionTrigger71
﻿1,BP_VehicleAI29,50434.878262,168,BP_SpawnPoint33,STOP_VIOLATION_EXIT,1995.059305,3328.090368,55421.512695,27.552709,70.411227,55449.065404,152.924079,0.0,3179.0,3208.0,true,37.934628,6.258454,26.248523,2.957134,1.361198,175.0,419.373856,0.000032,0.0,28.426074,1.503556,0.0,0.0,3.8,151.989007,151.989007,10,1163.705927,0.0,113.0,62.0,0,0.0,0,0.0,385.759747,2,52880.54169,0.0,0,2074.893527,4,713.339946,1,0,705.356079,1.0,381,41.009904,75.879166,0,1,0,1,0,1,0,0,0,0,0,176.561803,0.0,0.0,381.0,0.0,0.0,75.879166,0.0,0.0,-15.879022,0.0,0.0,15.879022,0.023504,1,3,0.063252,1.7,0.0,1.124917,0.0,120.615967,1,120.615962,0.0,BP_IntersectionTrigger58
﻿1,BP_VehicleAI227,55125.36697,173,BP_SpawnPoint41,COLLISION_WITH_BP_IntersectionBorder272,24.118342,3947.935283,57497.146208,25.889922,91.829802,57523.03613,101.176697,0.0,3319.0,3330.0,true,32.08735,4.154015,27.084084,1.902525,0.0,68.0,0.0,0.000057,0.0,0.21914,1.646688,0.0,0.0,0.0,343.378574,343.378574,28,1012.743034,0.0,0.0,68.0,0,0.0,0,0.0,18.288295,2,55250.662009,0.0,0,1650.544577,4,0.0,1,0,502.669952,0.618808,540,102.221026,70.284054,1,2,0,1,0,1,1,0,0,1,0,142.574006,127.85482,0.0,381.0,159.0,0.0,41.477529,28.806525,0.0,-48.305713,0.0,0.0,48.305713,0.000012,0,3,0.280028,2.1,1.0,2.644606,0.0,0.0,1,0.0,0.0,BP_IntersectionTrigger69
﻿1,BP_VehicleAI212,49996.066436,174,BP_SpawnPoint52,NAV_VIOLATION,55.454676,4695.351753,54211.646072,24.4514,42.74395,54236.097472,0.0,0.0,3351.0,3351.0,true,33.294695,5.946376,29.06856,1.905254,0.0,41.0,0.0,0.000049,5.23653,0.0,1.710298,0.0,0.0,0.0,562.864333,562.864333,13,1081.290705,0.0,0.0,41.0,0,0.0,0,0.0,18.522296,2,50528.49424,0.0,0,794.233103,2,55.454676,1,0,607.574646,0.717651,248,48.43484,-22.213951,0,1,1,0,0,1,0,0,1,0,0,107.474455,0.0,0.0,248.0,0.0,0.0,-22.213951,0.0,0.0,-35.475986,0.0,0.0,35.475986,0.000002,2,1,0.69038,1.1,0.0,0.0,0.000704,175.707131,1,266.966797,0.0,BP_IntersectionTrigger27
﻿1,BP_VehicleAI230,58267.641301,180,BP_SpawnPoint46,COLLISION_WITH_BP_IntersectionBorder258,1534.9175,5743.822316,64159.145605,28.720198,485.959513,64187.865803,123.476199,0.0,3495.0,3526.0,true,38.601478,5.031574,36.658591,2.240771,0.0,95.0,0.0,0.0,0.0,0.273861,0.849637,0.14676,0.0,0.0,201.680359,201.680359,31,1225.713855,0.0,0.0,95.0,0,0.0,0,0.0,53.770596,1,60992.696237,0.0,0,2458.459814,5,1020.466841,1,0,705.417053,1.0,362,-16.968129,97.294247,1,3,0,0,1,1,1,1,0,0,1,179.173782,40.584195,3.990369,317.0,41.0,4.0,52.632587,40.663049,3.99861,-387.916416,0.0,0.0,387.916416,0.000101,0,4,3.085054,2.6,0.089303,0.0,2.17109,0.0,1,0.0,0.0,BP_IntersectionTrigger69
﻿1,BP_VehicleAI226,60260.041645,191,BP_SpawnPoint40,COLLISION_WITH_BP_IntersectionBorder272,24.581735,3359.565917,60880.733434,26.657955,1019.914843,60907.391388,84.272778,0.0,3860.0,3871.0,true,38.325463,13.701524,26.886608,11.003308,0.0,294.0,0.0,0.000074,0.0,1.517938,4.082756,0.0,0.0,0.0,720.314565,720.314565,27,1461.938868,0.0,0.0,294.0,0,0.0,0,0.0,80.811247,4,60360.416258,0.0,0,2103.847627,5,179.158837,1,0,647.86084,0.75989,564,105.810542,77.320107,1,2,0,1,0,1,1,0,0,1,0,153.277442,136.413715,0.0,395.0,169.0,0.0,46.208819,31.111288,0.0,-41.203533,0.0,0.0,41.203533,0.000153,0,2,0.246852,10.8,1.0,0.0,0.97118,0.0,1,0.0,0.0,BP_IntersectionTrigger69
﻿1,BP_VehicleAI20,18267.58734,200,BP_SpawnPoint34,TIMEFINISHED,0.0,4960.936494,23642.803366,11.152816,444.510825,23653.956182,46.784953,0.0,4115.0,4131.0,true,17.469015,44.231413,15.471486,10.687347,0.0,197.0,0.0,0.000124,0.0,0.192523,2.344626,0.548012,0.0,0.0,-1921.665056,-1921.665056,1,2864.998402,0.0,0.0,197.0,0,0.0,0,0.0,23.575488,3,21464.909523,0.0,0,1032.012534,3,1392.288394,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166,2,2,439.836639,9.0,0.0,0.367491,1.637798,334.426499,1,439.11406,0.0,BP_IntersectionTrigger37
