Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-1995.273342,3990.243386,7.411765,COLLISION_WITH_BP_IntersectionBorder71,CORRECTINGWRONG,5,51
﻿2,4062.793325,2881.095137,5.803922,CORRECTINGWRONG,LAZY,5,51
﻿3,11149.764745,1911.497433,4.960784,COLLISION_WITH_BP_IntersectionBorder123,LAZY,11,51
﻿4,613.520159,2244.418176,6.078431,COLLISION_WITH_BP_IntersectionBorder34,LAZY,9,51
﻿5,16374.876776,1585.482594,5.254902,LAZY,LAZY,17,51
﻿6,15791.003444,5248.248504,8.862745,LAZY,LAZY,13,51
﻿7,596.108903,1225.772513,5.411765,LAZY,LAZY,13,51
﻿8,570.471255,2542.700865,6.470588,COLLISION_WITH_NavModifierVolume10,LAZY,21,51
﻿9,1799.863082,2359.80765,7.921569,COLLISION_WITH_NavModifierVolume19,LAZY,30,51
﻿10,8463.61256,1770.221057,6.392157,COLLISION_WITH_NavModifierVolume8,LAZY,16,51
﻿11,16212.769785,845.101317,5.490196,COLLISION_WITH_NavModifierVolume142,LAZY,21,51
﻿12,3266.493847,1524.828846,7.039216,LAZY,LAZY,27,51
﻿13,1267.399353,2517.562968,8.843137,COLLISION_WITH_NavModifierVolume24,LAZY,25,51
﻿14,23482.397793,1899.049073,6.470588,LAZY,LAZY,12,51
﻿15,1240.79013,1511.209482,13.058824,LAZY,LAZY,12,51
