Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness
﻿1,BP_VehicleAI214,10283.892728,21,BP_SpawnPoint51,COLLISION_WITH_NavModifierVolume17,122.900944,605.534236,13681.678983,0.000321,4227.605084,1052.353838,1.885515,9.801638,1191.425483,13693.366136,0.0,0.0,757.0,757.0,true,6.571875,3.706788,1.514394,3.397434,0.0,114.0,560.446885,0.000071,0.0,2740.106901,1.743148,0.0,0.0,0.0,203.143305,203.143305,15,281.731427,0.0,114.0,0.0,0,0.0,0,0.0,571.909854,1,10406.793672
﻿1,BP_VehicleAI213,2229.204726,24,BP_SpawnPoint50,COLLISION_WITH_BP_IntersectionBorder147,835.755011,1500.920795,6848.35109,0.000463,5957.9178,1253.927559,3.628479,3.035753,318.07703,6855.015323,0.0,0.0,902.0,902.0,true,6.972901,2.742496,4.735014,2.180592,0.0,110.0,29.598058,0.000005,0.0,2496.429604,1.593363,0.0,0.0,0.0,119.776407,119.776407,14,400.415232,0.0,110.0,0.0,0,0.0,0,0.0,81.184154,1,3201.997224
﻿1,BP_VehicleAI220,11240.339377,31,BP_SpawnPoint28,COLLISION_WITH_BP_IntersectionBorder148,1679.251229,2130.211204,17680.70824,0.000502,7048.856066,1723.802853,4.608748,11.246585,1223.804998,17696.563574,0.0,0.0,1240.0,1240.0,true,10.864993,3.985657,2.644189,3.435367,0.0,137.0,600.544902,0.0004,0.0,2708.630225,1.387964,0.501615,0.0,0.0,237.848785,237.848785,21,524.981094,0.0,137.0,0.0,0,0.0,0,0.0,561.391235,1,13419.31735
﻿1,BP_VehicleAI215,19508.713227,38,BP_SpawnPoint31,COLLISION_WITH_BP_IntersectionBorder203,804.44602,1486.76468,21501.942235,0.000295,10712.440851,2270.137144,4.151049,15.398279,421.972107,21521.491563,0.0,0.0,1633.0,1633.0,true,10.086401,3.432211,3.692543,2.541831,0.0,130.0,44.257374,0.000107,0.0,14.202307,1.434905,0.0,0.0,0.0,352.78571,352.78571,16,518.814166,0.0,130.0,0.0,0,0.0,0,0.0,85.079955,1,20448.289018
﻿1,BP_VehicleAI219,16271.250589,44,BP_SpawnPoint40,COLLISION_WITH_BP_IntersectionBorder203,805.25041,2365.842343,20712.765499,0.000431,12510.291165,2710.819002,6.388431,13.634318,468.634765,20732.788248,0.0,0.0,1950.0,1950.0,true,12.272757,4.805062,4.556292,4.026587,0.0,202.0,51.008528,0.000418,0.0,1271.541354,1.638612,0.0,0.0,0.0,-85.234516,-85.234516,20,753.703625,0.0,124.0,78.0,0,0.0,0,0.0,436.529371,2,17213.590413
﻿1,BP_VehicleAI24,23834.915706,51,BP_SpawnPoint11,COLLISION_WITH_NavModifierVolume17,125.74052,2181.227957,28920.620189,0.000346,14556.505251,3323.881146,6.436247,17.863625,922.778911,28944.920062,0.0,0.0,2391.0,2391.0,true,13.900782,4.436661,6.189048,3.196577,0.0,173.0,620.066924,0.000416,0.0,2529.121145,0.945893,0.16953,0.0,0.0,136.307124,136.307124,5,880.273516,0.0,173.0,0.0,0,0.0,0,0.0,576.626305,1,23960.656226
﻿1,BP_VehicleAI27,22349.421135,53,BP_SpawnPoint52,COLLISION_WITH_BP_IntersectionBorder203,821.401913,2525.655087,25428.48219,0.000334,16458.140324,3426.753252,7.245432,16.704765,403.723491,25452.432386,0.0,0.0,2465.0,2465.0,true,13.320975,3.970751,6.512861,2.789632,0.0,145.0,49.168136,0.000204,0.0,22.999695,0.908506,0.0,0.0,0.0,-76.334744,-76.334744,8,815.934658,0.0,145.0,0.0,0,0.0,0,0.0,87.509708,1,23318.245957
﻿1,BP_VehicleAI21,25548.430062,61,BP_SpawnPoint44,COLLISION_WITH_NavModifierVolume137,1329.700318,3173.548129,34572.970594,0.000351,18424.963882,4219.146499,8.161864,22.878473,1559.992811,34604.010931,0.0,0.0,3035.0,3035.0,true,18.245525,7.188905,5.001164,5.584975,0.0,312.0,632.99611,0.000533,0.0,4841.090742,2.867525,0.813981,0.0,0.0,731.270007,731.270007,2,1145.627252,0.0,312.0,0.0,0,0.0,0,0.0,638.237848,2,27019.885976
﻿1,BP_VehicleAI25,28478.099871,70,BP_SpawnPoint47,COLLISION_WITH_BP_IntersectionBorder148,1687.278776,4318.527318,37164.299461,0.00038,22521.74611,5074.097107,10.721095,23.448466,888.547261,37198.469022,0.0,0.0,3650.0,3650.0,true,18.926369,4.575157,9.784341,3.07504,0.0,203.0,623.214063,0.000573,0.0,2412.70993,1.914457,0.0,0.0,0.0,-84.606579,-84.606579,6,1383.252907,0.0,203.0,0.0,0,0.0,0,0.0,567.185753,1,30693.974344
﻿1,BP_VehicleAI23,40141.763512,107,BP_SpawnPoint36,COLLISION_WITH_BP_IntersectionBorder155,1683.498388,6540.432009,58817.434698,0.000321,36033.141842,8848.391257,15.083203,38.280838,3698.201731,58870.798739,60.266252,0.0,6365.0,6406.0,true,32.833108,14.784164,10.730795,12.628128,0.0,800.0,1890.311846,0.001944,0.0,9665.23487,6.613341,0.605046,0.0,0.0,928.701668,928.701668,4,2623.17076,0.0,788.0,12.0,0,0.0,0,0.0,2587.491649,5,42350.781979
