Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,Training
﻿1,BP_VehicleAI28,-113.414475,0,BP_SpawnPoint8,CORRECTINGWRONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.414475,0.0,0.0,2.0,true
﻿1,BP_VehicleAI217,6.613009,0,BP_SpawnPoint44,COLLISION_WITH_NavModifierVolume39,0.874681,0.0,7.180244,0.001406,81.215908,19.46229,0.166968,0.140479,0.0,7.48769,0.0,0.0,14.0,14.0,true
﻿1,BP_VehicleAI238,-750.700537,2,BP_SpawnPoint33,COLLISION_WITH_NavModifierVolume22,945.368903,362.683106,426.802375,0.000293,314.513208,62.557362,0.128004,130.421094,0.0,557.351473,0.0,0.0,45.0,45.0,true
﻿1,BP_VehicleAI226,-66.68701,2,BP_SpawnPoint34,COLLISION_WITH_NavModifierVolume22,915.838081,364.096289,778.116214,0.000101,313.589105,69.50818,0.043303,435.087842,0.0,1213.247359,0.0,0.0,50.0,50.0,true
﻿1,BP_VehicleAI234,-843.96109,2,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume5,881.342633,623.459072,514.359785,0.000471,349.050434,72.288507,0.230306,146.250523,0.0,660.840614,0.0,0.0,52.0,52.0,true
﻿1,BP_VehicleAI231,-775.693995,2,BP_SpawnPoint37,COLLISION_WITH_NavModifierVolume62,849.146333,769.08174,643.035711,0.000362,389.637218,77.849161,0.195487,199.302879,0.0,842.534078,0.0,0.0,56.0,56.0,true
﻿1,BP_VehicleAI218,-498.4887,3,BP_SpawnPoint40,COLLISION_WITH_NavModifierVolume10,754.575517,902.174443,819.301862,0.000759,417.790237,90.360633,0.441072,338.518326,0.0,1158.261259,0.0,0.0,65.0,65.0,true
﻿1,BP_VehicleAI243,70.822287,3,BP_SpawnPoint39,COLLISION_WITH_NavModifierVolume12,847.344157,896.15404,1179.768778,0.00017,442.451117,95.921288,0.104973,634.446733,0.0,1814.320485,0.0,0.0,69.0,69.0,true
﻿1,BP_VehicleAI249,1115.916306,3,BP_SpawnPoint49,COLLISION_WITH_NavModifierVolume14,586.412698,592.131488,1463.921035,0.000319,431.930896,97.311451,0.191623,830.347834,0.0,2294.460492,0.0,0.0,70.0,70.0,true
﻿1,BP_VehicleAI245,-458.936065,3,BP_SpawnPoint48,COLLISION_WITH_NavModifierVolume54,755.085523,1107.376876,1010.594165,0.000775,432.7428,98.701615,0.42565,392.506519,0.0,1403.526333,0.0,0.0,71.0,71.0,true
﻿1,BP_VehicleAI221,1592.203477,3,BP_SpawnPoint16,COLLISION_WITH_NavModifierVolume30,132.029253,607.727357,1408.221659,0.000034,519.463232,101.481942,0.022903,923.715523,0.0,2331.960086,0.0,0.0,73.0,73.0,true
﻿1,BP_VehicleAI220,-110.448352,4,BP_SpawnPoint3,COLLISION_WITH_NavModifierVolume20,779.86289,1181.985985,1253.695884,0.000098,481.998451,111.213087,0.060531,597.644109,0.0,1851.400524,0.0,0.0,80.0,80.0,true
﻿1,BP_VehicleAI213,-582.533969,4,BP_SpawnPoint4,COLLISION_WITH_NavModifierVolume133,939.134525,1490.407983,1321.161423,0.000122,623.866311,120.944232,0.10827,525.738847,0.0,1847.008539,0.0,0.0,87.0,87.0,true
﻿1,BP_VehicleAI223,1340.740884,4,BP_SpawnPoint41,COLLISION_WITH_NavModifierVolume10,711.488373,1015.870834,1928.085107,0.000651,555.579957,123.72456,0.498914,1139.516069,0.0,3068.100091,0.0,0.0,89.0,89.0,true
﻿1,BP_VehicleAI225,-778.43026,4,BP_SpawnPoint47,COLLISION_WITH_BP_IntersectionBorder166,971.16793,1603.780039,1292.484518,0.002426,559.140539,123.72456,0.692183,503.341008,0.0,1796.517709,0.0,0.0,89.0,89.0,true
﻿1,BP_VehicleAI20,114.164104,4,BP_SpawnPoint2,COLLISION_WITH_NavModifierVolume10,679.039284,1571.870586,1624.574496,0.000741,599.399322,130.675378,0.615691,739.883787,0.0,2365.073974,0.0,0.0,94.0,94.0,true
﻿1,BP_VehicleAI211,-187.951273,4,BP_SpawnPoint50,COLLISION_WITH_BP_IntersectionBorder182,915.654408,1716.854631,1634.83184,0.000835,659.66798,139.016359,0.697454,809.028472,0.0,2444.557766,0.0,0.0,100.0,100.0,true
