Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿1,1.0,-699634.557842,7.983333,COLLISION_WITH_NavModifierVolume53,COLLISION_WITH_NavModifierVolume133,5
﻿2,1.0,-199702.895511,5.916667,COLLISION_WITH_NavModifierVolume30,LAZY,18
﻿3,1.0,-38494.483614,4.183333,COLLISION_WITH_NavModifierVolume59,LAZY,30
﻿4,1.0,-1.124708,4.433333,COLLISION_WITH_NavModifierVolume53,LAZY,29
﻿5,1.0,-0.130949,4.083333,COLLISION_WITH_BP_IntersectionBorder28,LAZY,33
﻿6,1.0,0.08655,4.616667,LAZY,LAZY,32
﻿7,1.0,0.013384,4.033333,COLLISION_WITH_NavModifierVolume8,LAZY,28
﻿8,1.0,0.022671,4.683333,COLLISION_WITH_NavModifierVolume8,LAZY,31
﻿9,0.906973,0.064212,4.583333,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿10,0.936949,0.039912,4.733333,COLLISION_WITH_NavModifierVolume8,LAZY,29
﻿11,0.793417,-0.025775,4.116667,COLLISION_WITH_NavModifierVolume43,LAZY,30
﻿12,0.855824,-0.037454,4.333333,COLLISION_WITH_NavModifierVolume8,LAZY,32
﻿13,0.893559,-0.172535,4.833333,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿14,0.860816,-0.055495,4.233333,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿15,0.884961,-0.127918,4.533333,COLLISION_WITH_NavModifierVolume8,LAZY,26
﻿16,1.0,0.001853,5.116667,CORRECTINGWRONG,LAZY,31
﻿17,0.646842,-0.00885,4.4,CORRECTINGWRONG,LAZY,33
﻿18,0.965021,-0.066041,4.666667,COLLISION_WITH_NavModifierVolume53,LAZY,33
﻿19,0.804794,0.037918,3.983333,COLLISION_WITH_NavModifierVolume23,LAZY,28
﻿20,0.941207,-0.132328,4.55,COLLISION_WITH_NavModifierVolume53,LAZY,29
﻿21,0.89803,0.066129,4.45,COLLISION_WITH_NavModifierVolume43,LAZY,32
﻿22,0.958091,-0.140639,4.216667,COLLISION_WITH_NavModifierVolume53,LAZY,29
﻿23,0.955712,-0.041266,4.983333,COLLISION_WITH_NavModifierVolume53,LAZY,28
﻿24,1.0,-0.319621,5.1,COLLISION_WITH_BP_IntersectionBorder46,LAZY,31
