Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-3095.603255,3628.758865,11.4,STOP_VIOLATION,STOP_VIOLATION,8,25
﻿2,-2107.307037,2269.862402,9.75,COLLISION_WITH_NavModifierVolume19,STOP_VIOLATION,7,24
﻿3,-2314.532321,2954.112803,11.5,COLLISION_WITH_NavModifierVolume19,STOP_VIOLATION,8,24
﻿4,-377.693668,1352.13555,7.791667,COLLISION_WITH_NavModifierVolume10,LAZY,14,24
﻿5,-2292.132767,4420.945387,12.25,STOP_VIOLATION,STOP_VIOLATION,6,24
﻿6,6802.619328,2259.605378,8.958333,COLLISION_WITH_NavModifierVolume30,LAZY,10,24
﻿7,-2121.865832,2678.834524,9.416667,STOP_VIOLATION,STOP_VIOLATION,8,24
﻿8,1254.407254,1711.418359,8.041667,COLLISION_WITH_BP_IntersectionBorder164,COLLISION_WITH_NavModifierVolume43,2,24
﻿9,10053.835435,905.948645,7.875,COLLISION_WITH_BP_IntersectionBorder108,LAZY,6,24
﻿10,26850.901864,3278.542352,11.75,COLLISION_WITH_BP_IntersectionBorder3,LAZY,3,24
﻿11,27239.096371,4130.661326,17.083333,STOP_VIOLATION,STOP_VIOLATION,8,24
﻿12,8238.216907,4497.649251,14.916667,COLLISION_WITH_NavModifierVolume30,STOP_VIOLATION,8,24
﻿13,8352.369292,465.257266,9.0,STOP_VIOLATION,LAZY,12,24
﻿14,7117.808469,2252.692771,10.625,COLLISION_WITH_NavModifierVolume18,LAZY,12,24
﻿15,7226.521238,1460.328472,8.208333,COLLISION_WITH_NavModifierVolume43,LAZY,15,24
﻿16,17705.893918,3135.191421,10.416667,STOP_VIOLATION,LAZY,14,24
﻿17,4789.006015,1050.280585,8.0,STOP_VIOLATION,LAZY,13,24
﻿18,10410.985292,2343.723539,10.333333,STOP_VIOLATION,LAZY,12,24
﻿19,9108.151837,1792.665582,9.0,COLLISION_WITH_BP_IntersectionBorder147,LAZY,4,24
﻿20,2853.509771,1776.540544,9.833333,LAZY,LAZY,14,24
﻿21,13070.333029,2053.818312,8.75,COLLISION_WITH_NavModifierVolume30,LAZY,15,24
﻿22,11379.186674,1750.601262,8.791667,STOP_VIOLATION,LAZY,13,24
