Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-1.770747,-35.161799,4.0,LAZY,LAZY,51,51
﻿2,7917.030473,198.364034,5.843137,TRAFFIC_VIOLATION,LAZY,27,51
﻿3,8955.183699,-24.804805,5.647059,LAZY,LAZY,22,51
﻿4,10914.297611,184.714872,6.098039,COLLISION_WITH_NavModifierVolume134,LAZY,25,51
﻿5,7678.492726,-786.155755,5.960784,COLLISION_WITH_NavModifierVolume134,LAZY,19,51
﻿6,4685.225605,-44.985682,5.078431,COLLISION_WITH_NavModifierVolume134,LAZY,31,51
﻿7,2847.323576,-414.5749,5.215686,COLLISION_WITH_NavModifierVolume134,LAZY,33,51
﻿8,3935.485587,-194.813103,5.019608,COLLISION_WITH_NavModifierVolume135,LAZY,30,51
﻿9,9382.084912,-187.880366,5.980392,TRAFFIC_VIOLATION,LAZY,25,51
﻿10,1976.767783,-17.626783,5.176471,COLLISION_WITH_NavModifierVolume134,LAZY,28,51
﻿11,4961.739991,-35.009541,5.490196,COLLISION_WITH_NavModifierVolume134,LAZY,31,51
﻿12,6328.615657,108.066402,4.607843,COLLISION_WITH_NavModifierVolume135,LAZY,34,51
﻿13,7762.134255,-921.916577,6.431373,COLLISION_WITH_NavModifierVolume134,LAZY,33,51
﻿14,10676.373937,132.574108,5.0,COLLISION_WITH_NavModifierVolume134,LAZY,34,51
﻿15,5593.033592,-172.241975,5.058824,COLLISION_WITH_NavModifierVolume134,LAZY,30,51
﻿16,9104.666686,240.473454,5.745098,COLLISION_WITH_NavModifierVolume134,LAZY,25,51
﻿17,14704.539506,290.56903,5.509804,CORRECTINGWRONG,LAZY,28,51
﻿18,8762.805526,-1161.441053,6.627451,COLLISION_WITH_NavModifierVolume134,LAZY,27,51
﻿19,6102.540402,47.996765,5.372549,COLLISION_WITH_NavModifierVolume135,LAZY,28,51
﻿20,8145.072517,148.149444,5.843137,COLLISION_WITH_NavModifierVolume134,LAZY,29,51
﻿21,7107.501493,-120.009133,5.490196,COLLISION_WITH_NavModifierVolume134,LAZY,29,51
﻿22,1891.654073,-45.660926,5.039216,COLLISION_WITH_NavModifierVolume134,LAZY,33,51
﻿23,3742.208385,-154.090028,5.196078,CORRECTINGWRONG,LAZY,31,51
﻿24,6048.310571,66.437817,5.215686,COLLISION_WITH_NavModifierVolume134,LAZY,29,51
﻿25,3467.174894,-151.497676,5.117647,COLLISION_WITH_NavModifierVolume134,LAZY,31,51
﻿26,9237.059237,-86.868903,5.137255,COLLISION_WITH_NavModifierVolume135,LAZY,26,51
﻿27,7834.333875,-64.123807,5.980392,COLLISION_WITH_NavModifierVolume134,LAZY,29,51
