Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped
﻿1,BP_VehicleAI232,-625.349626,2,BP_SpawnPoint12,COLLISION_WITH_NavModifierVolume44,511.003783,257.683655,131.67159,0.000024,244.540006,50.045889,0.008153,11.658069,0.0,143.337813,0.0,0.0,36.0,36.0,true,2.143676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI234,-965.145677,2,BP_SpawnPoint47,COLLISION_WITH_NavModifierVolume15,881.440478,435.652215,298.677558,0.000216,283.892591,59.777034,0.084756,53.184702,0.0,351.947015,0.0,0.0,43.0,43.0,true,2.569194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI21,-642.630249,2,BP_SpawnPoint7,COLLISION_WITH_NavModifierVolume12,1016.602706,474.741747,618.033851,0.000369,282.187032,65.337689,0.145297,230.535057,0.0,848.714204,0.0,0.0,47.0,47.0,true,2.728238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI212,-304.363466,2,BP_SpawnPoint29,COLLISION_WITH_NavModifierVolume19,303.509335,250.482981,230.395123,0.0,323.295028,65.337689,0.0,19.233726,0.0,249.628849,0.0,0.0,47.0,47.0,true,2.097161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI29,-615.865532,2,BP_SpawnPoint22,COLLISION_WITH_NavModifierVolume12,726.202632,513.162218,503.112611,0.000551,329.835983,69.50818,0.253204,120.133503,0.0,623.499318,0.0,0.0,50.0,50.0,true,2.600495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI223,-486.905392,3,BP_SpawnPoint20,COLLISION_WITH_NavModifierVolume25,356.870276,491.342447,330.570596,0.0,390.294678,82.019652,0.000006,30.73673,0.0,361.307331,0.0,0.0,59.0,59.0,true,2.326727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI239,-870.259278,3,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume27,528.328859,889.358545,466.549312,0.000215,407.542813,84.799979,0.122349,80.756465,0.0,547.428126,0.0,0.0,61.0,61.0,true,2.580847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI216,39.464953,3,BP_SpawnPoint27,COLLISION_WITH_NavModifierVolume17,1841.518696,557.730297,1540.701265,0.000112,481.888171,87.580306,0.075683,897.936998,0.0,2438.713946,0.0,0.0,63.0,63.0,true,3.400344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI240,-421.738024,3,BP_SpawnPoint14,COLLISION_WITH_NavModifierVolume50,381.915688,601.246331,492.431136,0.000001,427.407145,87.580306,0.000565,68.992294,0.0,561.423995,0.0,0.0,63.0,63.0,true,2.525367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI224,162.077762,3,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume36,1940.581514,291.905779,2164.410876,0.000407,494.028369,98.701615,0.280567,1496.676857,0.0,3661.368301,0.0,1068.443701,71.0,71.0,true,3.737758,0.0,0.0,0.0,1.064336,21.0,198.359544,0.0,0.0,0.0
