Generation BestFit MeanFit BestFitMA MeanFitMA
1 97719.816561 38199.163767 97719.816561 38199.163767
2 101330.664076 38092.377873 99525.2403185 38145.77082
3 89203.470939 31637.195431 96084.650525333345 35976.24569033333
4 99443.860513 38708.860383 96924.45302225 36659.3993635
5 96496.713336 25417.618329 96838.905085 34411.0431566
6 93536.253487 32137.516544 96288.463152 34032.1220545
7 94162.539696 24898.877301 95984.759801142864 32727.372804000002
8 77872.928126 21463.413618 93720.78084175 31319.37790575
9 98183.243261 33783.97958 94216.609999444452 31593.22253622222
10 94963.623336 38662.323826 94291.3113331 32300.132665199995
11 89339.462564 32191.176512 93841.143263181832 32290.22756036363
12 91623.09739 36839.038981 93656.306107083336 32669.295178749995
13 95961.545438 35975.774054 93833.632209461546 32923.639707615381
14 104685.404901 27534.514862 94608.758830285718 32538.702218642855
15 103371.862483 36063.1074 95192.965740466665 32773.662564066661
16 96531.540426 35641.333762 95276.6266583125 32952.8920139375
17 97648.904521 37631.470988 95416.172414941175 33228.102541823529
18 95199.343542 36790.364797 95404.126366444456 33426.006000444439
19 94430.794019 35571.96878 95352.898348157891 33538.951409894733
20 74255.603286 28738.81376 94298.03359505 33298.9445274
21 88875.7198 25214.653014 94039.8281762381 32913.978264857142
22 85090.864077 32636.454203 93633.05708081818 32901.363534772725
23 98346.920078 36315.963083 93838.007645913036 33049.824384695654
24 88329.075868 31729.404869 93608.468821833318 32994.806904875
25 105450.834161 31244.875275 94082.163435399983 32924.809639679996
26 102146.552595 27412.491306 94392.332249230734 32712.797396076923
27 92411.177556 36598.630154 94318.956149481455 32856.717127851851
28 98972.493673 35747.276178 94485.153918178548 32959.951379642858
29 95573.335931 30505.391208 94522.677435862046 32875.311373724144
30 101351.391634 29338.078217 94750.301242466638 32757.403601833335
31 89429.782714 30932.459401 94473.9667809 32515.180122966667
32 86463.433992 30720.259104 93978.39244476665 32269.44283066667
33 115547.844997 44372.995471 94856.5382467 32693.969498666676
34 101157.11027 39805.623775 94913.646571933336 32730.5282784
35 95244.564668 28600.186785 94871.908283000012 32836.6138936
36 40959.884129 30796.864259 93119.362637733328 32791.9254841
37 106257.941496 40462.302813 93522.542697733341 33310.706334500006
38 105948.090537 31208.340796 94458.381444766681 33635.537240433339
39 104510.596068 39306.22674 94669.293205000009 33819.612145766674
40 121885.231983 35555.634526 95566.680159900032 33716.055835766674
41 86448.750519 33932.861447 95470.323091733342 33774.112000266665
42 91240.019867 37374.362551 95457.553840966677 33791.956119266666
43 117037.90638 30170.793147 96160.099205700011 33598.456755700005
44 117990.68189 39801.386899 96603.608438666677 34007.352490266669
45 90961.786382 37626.304896 96189.939235300015 34059.459073466671
46 87378.773338 32745.878125 95884.84699903334 33962.943885566674
47 88686.229248 30895.146758 95586.0911566 33738.399744566668
48 110029.233998 32654.398051 96080.420838466656 33600.534186366669
49 86911.602711 22215.390383 95829.781128199989 33155.314906466665
50 52353.571628 31262.213506 95099.713406266659 33239.428231333331
51 83150.525297 42677.246293 94908.8735895 33821.51467396666
52 44720.316703 24213.476827 93563.188677033322 33540.748761433329
53 110412.91026 24495.845561 93965.388349766654 33146.744844033332
54 96135.177046 28977.324039 94225.591722366647 33055.008816366666
55 109506.758577 38510.447896 94360.7892029 33297.1945704
56 134959.454364 34504.83877 95454.5525952 33533.606152533335
57 102664.089725 35699.996205 95796.316334166637 33503.651687566671
58 100053.908376 36703.535591 95832.36349093332 33535.527001333336
59 102398.711967 25926.559166 96059.876025466641 33382.899266600005
60 105236.805139 37898.189994 96189.389808966633 33668.236325833335
61 120325.238948 27554.800751 97219.238350099971 33555.647704166666
62 69949.072014 26051.813143 96668.759617499993 33400.0328388
63 38666.009546 26972.669542 94106.031769133333 32820.0219745
64 38219.063735 26645.142552 92008.096884633327 32381.339267066669
65 76615.5452 33921.045882 91387.129569033335 32558.70123696667
66 89202.501911 33648.94716 92995.216828433331 32653.770667
67 47695.495521 35786.370344 91043.135295933331 32497.906251366669
68 47204.944206 34382.665355 89085.03041823332 32603.717070000002
69 57923.132657 35317.042368 87532.11497119999 32470.7442576
70 78527.906989 34897.439961 86086.87080473332 32448.804438766667
71 71701.06926 36189.823474 85595.281429433322 32524.03650633333
72 83213.372871 36118.911862 85327.726529566644 32482.188150033333
73 72621.046205 26435.843653 83847.164523733314 32357.689833566663
74 91741.256041 38809.509192 82972.183662100011 32324.627243333332
75 73336.263448 29110.640435 82384.666230966657 32040.771761299995
76 91266.510237 32964.739706 82514.257460933353 32048.067147333331
77 80043.780187 37160.268355 82226.1758255667 32256.904533899993
78 79201.596008 39483.366056 81198.587892566677 32484.536800733327
79 61346.655848 28100.659107 80346.422997133355 32680.712424866662
80 83842.699186 36189.855646 81396.060582400023 32844.967162866662
81 84010.59714 31997.019865 81424.729643833343 32488.95961526666
82 85813.814924 28257.624249 82794.5129178667 32623.764529333326
83 73329.267828 28865.569505 81558.391503466672 32769.421994133329
84 73424.890197 32972.886839 80801.38194183333 32902.6074208
85 81450.087468 32732.055323 79866.159571533339 32709.994335033331
86 92712.558003 40586.188284 78457.929692833321 32912.7059855
87 89337.197334 23329.344713 78013.699946466659 32500.350935766663
88 91165.612863 32632.665187 77717.423429366652 32364.65525563333
89 84670.698578 32332.293531 77126.489649733325 32578.179734466667
90 84807.578767 33173.411684 76445.515437333321 32420.687124133336
91 79386.816171 33391.996631 75080.901344766651 32615.260320133337
92 89478.488531 35412.740603 75731.88189533331 32927.291235466677
93 88668.811035 26810.332935 77398.641944966657 32921.880015233335
94 90343.121171 31861.375189 79136.110526166653 33095.754436466668
95 89713.169958 27114.910854 79572.698018099982 32868.883268866666
96 93047.468827 38372.238486 79700.863581966652 33026.326313066667
97 72161.194895 31197.669228 80516.386894433337 32873.3696092
98 87149.112016 37031.240005 81847.859154766658 32961.655430866667
99 88005.259114 32084.249059 82850.596703333329 32853.895653900006
100 79950.607875 31038.767308 82898.020066200013 32725.273232133339
101 88055.661244 34656.743549 83443.173132333337 32674.17056796667
102 82535.565293 39593.087588 83420.579546400011 32789.976425500005
103 90055.851311 34163.726775 84001.7397166 33047.572529566671
104 92092.969846 39832.753857 84013.463510100017 33081.680685066669
105 38662.365548 27024.194814 82857.666913433364 33012.132497700011
106 81257.851834 24457.875958 82524.044966666683 32728.570372766673
107 80911.46199 35264.915263 82552.967693433355 32665.391936366672
108 82444.278152 33606.633889 82661.057098233359 32469.500864133337
109 92302.791732 34160.236187 83692.9282943667 32671.486766800004
110 88162.582738 36579.856421 83836.92441276669 32684.486792633335
111 85557.915213 29344.24046 83888.501681866677 32596.060812466665
112 51067.358317 25361.72639 82730.286461633354 32499.530883833337
113 75994.867861 23461.634493 82819.139796066665 32319.39971676666
114 79224.995193 34231.106687 83012.476629266675 32361.340378366665
115 78734.998273 29484.649358 82921.9736561 32253.093512866664
116 84423.549227 28008.330062 82645.673363566661 31833.831572133335
117 77462.4002 29467.984595 82249.846792433353 32038.452901533332
118 36643.597126 21413.944106 80432.44626786669 31664.495532166664
119 56778.671219 29269.824337 79502.712022566688 31562.4132257
120 94465.422403 32363.313234 79824.640143766679 31535.409944033334
121 87780.122124 35394.291976 80104.417008866658 31602.153122199994
122 77755.945595 30312.611813 79713.665577666659 31432.1488292
123 79235.868705 25633.61116 79399.234166666647 31392.924770033336
124 87674.687699 34468.116631 79310.286384266656 31479.816151433333
125 60437.287648 29141.35371 78334.423640599984 31547.364246633333
126 87219.777175 32750.672912 78140.167252199986 31359.9787275
127 59430.167577 30164.274024 77715.799674933325 31325.532220700003
128 76301.188327 36201.979655 77354.20221863332 31297.890209033336
129 77957.248739 34102.589106 77019.268539466662 31365.168210600004
130 39108.801154 24165.687279 75657.874982100009 31136.065542966669
131 79515.14501 26010.887765 75373.191107633334 30847.870350166668
132 77015.322006 35236.76066 75189.1829980667 30702.65945256667
133 76318.736514 31362.175882 74731.27917150002 30609.274422800005
134 78139.183427 27429.321515 74266.152957533341 30195.826678066671
135 61573.662988 22812.263191 75029.862872200014 30055.428957300002
136 79490.347414 34396.36644 74970.9460582 30386.711973366666
137 77939.690605 23351.865283 74871.887012033345 29989.610307366667
138 59973.433166 31224.626416 74122.858845833325 29910.210058266664
139 72625.737916 28446.078435 73466.957051966674 29719.7381332
140 80264.883019 22852.669101 73203.700394666666 29262.165222533331
141 80684.291036 25862.522829 73041.246255433332 29146.107968166663
142 71768.81088 30896.028331 73731.2946742 29330.58469953333
