Generation BestFit MeanFit BestFitMA MeanFitMA
34 -304.141871 15788.489682 2480.3154045999991 20599.46542286667
35 -236.351325 21419.02472 2487.5244644333329 20793.1932232
36 -349.741985 29470.203845 -304.25356230000085 20965.412744433335
37 9792.823182 19368.908928 33.046629599999179 20770.485921000003
38 -247.533178 18902.134705 35.012540499999183 20900.836607366669
39 -251.843712 23099.869093 34.979576266665845 20987.035219933332
40 -273.321991 22368.27701 36.721046066665842 21054.771684533331
41 -297.453994 22868.565532 36.442229933332513 21003.549019333332
42 -297.533425 19165.716634 35.599672666665839 21092.858893833331
43 -319.924546 20981.237051 33.458724766665839 21035.398273699993
44 -284.731704 25400.034851 32.859947699999175 21252.81306869999
45 -345.701622 20698.823439 28.53452829999917 21158.760580566657
46 -293.31413 17421.498132 35.733566433332506 20873.558836333323
47 -348.317863 20776.016686 34.932206066665834 20798.247606733326
48 -234.421427 17436.870835 34.1267126333325 20575.992471999991
49 -278.565708 25771.532534 35.470779966665837 20966.962640299989
50 -325.452447 26154.589676 36.255915466665833 21224.960432299988
51 -240.47917 21597.138228 42.189570233332496 21217.89590203332
52 -494.897069 21570.054363 37.251130499999164 21277.335320399983
53 -366.590843 17871.761881 38.20532456666583 21178.611958233316
54 -231.775064 24805.285222 41.138096833332504 21534.52824029998
55 -322.087159 18577.678359 36.986441899999171 21371.143866766648
56 -325.886527 26312.836896 38.427491533332507 21571.15342229998
57 -146.627953 23741.02511 41.506340399999175 21573.175848466646
58 -346.37647 21821.83082 40.862026266665843 21482.79274539998
59 -274.978371 21705.491262 41.572481033332515 21592.08363886665
60 -186.023704 22334.370289 46.36507056666585 21498.857975033312
61 -315.150799 17930.778875 46.624893599999183 21343.031855899979
62 -267.444912 22838.992506 45.456483499999187 21544.089878266645
63 -300.683178 25458.183778 42.849034499999192 21788.574031399978
64 -213.392089 23921.77715 45.874027233332527 22059.683613666642
65 -229.065274 14829.001094 46.1168955999992 21840.016159466642
66 -358.724811 22485.3667 45.81746806666586 21607.188254633311
67 -204.551224 22022.319592 -287.42834546666745 21695.635276766643
68 -328.30146 19427.456088 -290.12062153333414 21713.145989533306
69 -236.718445 19454.990257 -289.61644596666753 21591.650028333308
70 -191.110156 21163.992607 -286.87605146666749 21551.507214899979
71 -294.750551 20249.838296 -286.78593670000083 21464.216307033312
72 -333.933156 22148.725813 -287.99926106666749 21563.649946333313
73 -239.28852 20172.625176 -285.31139353333413 21536.696217166646
74 -279.290791 27020.311869 -285.13002976666746 21590.705451099977
75 -333.709199 19923.250989 -284.73028233333412 21564.853036099976
76 -217.192547 25120.420957 -282.19289623333412 21821.483796933309
77 -325.95574 24984.320664 -281.44749213333409 21961.760596199972
78 -320.880698 22979.174634 -284.32946783333415 22146.504056166643
