Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-0.252795,-26.203838,3.0,LAZY,LAZY,50,50
﻿2,1194.201217,-89.175771,3.3,COLLISION_WITH_BP_IntersectionBorder177,LAZY,25,50
﻿3,4031.760502,-564.999306,3.92,CORRECTINGWRONG,LAZY,24,50
﻿4,3072.495672,-253.348233,4.18,COLLISION_WITH_NavModifierVolume37,LAZY,15,50
﻿5,102.881777,-530.153204,3.54,LAZY,LAZY,20,50
﻿6,2541.478248,61.803511,3.62,COLLISION_WITH_NavModifierVolume10,LAZY,18,50
﻿7,3040.682675,119.860841,3.7,COLLISION_WITH_NavModifierVolume30,LAZY,20,50
﻿8,3145.304735,77.615451,4.32,COLLISION_WITH_NavModifierVolume14,LAZY,15,50
﻿9,4392.192254,22.20181,3.46,CORRECTINGWRONG,LAZY,16,50
﻿10,269.839248,-154.921766,3.58,COLLISION_WITH_NavModifierVolume17,LAZY,10,50
﻿11,2498.58917,354.528195,3.92,COLLISION_WITH_NavModifierVolume50,LAZY,14,50
﻿12,2535.129841,44.033727,3.84,COLLISION_WITH_NavModifierVolume32,REVERSE,14,50
﻿13,519.242805,-270.983865,3.62,LAZY,LAZY,18,50
﻿14,2566.201212,188.821764,4.04,COLLISION_WITH_NavModifierVolume45,LAZY,15,50
﻿15,1649.322679,45.750889,3.42,COLLISION_WITH_NavModifierVolume50,LAZY,18,50
﻿16,240.127704,68.42455,3.36,LAZY,REVERSE,14,50
﻿17,1561.867577,-138.965333,3.88,CORRECTINGWRONG,LAZY,18,50
﻿18,9983.840103,162.915613,3.68,COLLISION_WITH_NavModifierVolume25,LAZY,16,50
﻿19,1197.799185,-271.338473,3.78,COLLISION_WITH_NavModifierVolume13,LAZY,9,50
﻿20,265.5077,-512.600174,3.64,LAZY,LAZY,16,50
﻿21,2012.271937,292.790893,3.72,COLLISION_WITH_NavModifierVolume61,LAZY,17,50
﻿22,4736.767664,486.664396,3.8,COLLISION_WITH_BP_IntersectionBorder213,LAZY,18,50
﻿23,2310.275672,-42.992851,3.3,CORRECTINGWRONG,LAZY,17,50
﻿24,793.282864,183.817234,3.76,COLLISION_WITH_NavModifierVolume18,LAZY,17,50
﻿25,10675.279061,-241.408336,3.68,COLLISION_WITH_NavModifierVolume5,LAZY,16,50
﻿26,35419.458175,-694.916132,5.72,COLLISION_WITH_NavModifierVolume142,LAZY,11,50
﻿27,19952.204583,156.827948,5.02,COLLISION_WITH_NavModifierVolume16,LAZY,18,50
﻿28,8518.402267,-379.316965,4.36,COLLISION_WITH_NavModifierVolume,LAZY,19,50
﻿29,12577.274379,319.547967,4.46,COLLISION_WITH_BP_IntersectionBorder6,LAZY,16,50
﻿30,4707.689543,-196.800036,5.64,COLLISION_WITH_BP_IntersectionBorder181,LAZY,18,50
﻿31,24525.433572,-200.038535,5.34,COLLISION_WITH_BP_IntersectionBorder50,LAZY,19,50
﻿32,11345.457297,-293.468013,4.04,COLLISION_WITH_BP_IntersectionBorder128,LAZY,21,50
﻿33,15436.651106,-252.474116,4.38,COLLISION_WITH_NavModifierVolume60,LAZY,22,50
﻿34,3006.397926,165.797613,4.32,COLLISION_WITH_NavModifierVolume29,LAZY,18,50
﻿35,18682.719955,-525.094746,4.9,COLLISION_WITH_BP_IntersectionBorder85,LAZY,21,50
﻿36,609.717417,-97.55566,3.86,COLLISION_WITH_BP_IntersectionBorder117,LAZY,23,50
﻿37,5949.584854,854.207418,4.54,COLLISION_WITH_NavModifierVolume8,LAZY,22,50
﻿38,20683.214154,561.325643,4.12,COLLISION_WITH_NavModifierVolume141,LAZY,25,50
﻿39,3610.791429,38.483154,4.6,CORRECTINGWRONG,LAZY,23,50
﻿40,4067.493235,270.31613,4.18,COLLISION_WITH_NavModifierVolume13,LAZY,19,50
﻿41,227.650187,-145.789174,3.72,COLLISION_WITH_NavModifierVolume140,LAZY,18,50
﻿42,8952.012535,197.831029,4.12,COLLISION_WITH_NavModifierVolume46,LAZY,23,50
﻿43,11923.5071,-171.082313,6.62,COLLISION_WITH_BP_IntersectionBorder95,LAZY,22,50
﻿44,1850.987694,-93.490568,3.48,COLLISION_WITH_BP_IntersectionBorder97,LAZY,23,50
﻿45,414.399883,-10.573254,3.76,LAZY,LAZY,19,50
﻿46,16452.333239,183.563482,4.86,COLLISION_WITH_NavModifierVolume30,LAZY,21,50
﻿47,868.143284,-929.331314,5.76,COLLISION_WITH_BP_IntersectionBorder164,LAZY,23,50
﻿48,2640.989545,147.817575,3.76,COLLISION_WITH_NavModifierVolume21,LAZY,19,50
﻿49,29464.389311,-977.895678,4.48,COLLISION_WITH_NavModifierVolume141,LAZY,23,50
﻿50,18494.04291,199.617195,4.22,COLLISION_WITH_NavModifierVolume133,LAZY,18,50
﻿51,8417.795507,-348.762507,4.12,COLLISION_WITH_NavModifierVolume48,LAZY,21,50
﻿52,568.147711,-140.776446,3.76,REVERSE,LAZY,21,50
﻿53,3263.286459,100.415847,4.1,COLLISION_WITH_NavModifierVolume33,LAZY,19,50
﻿54,3910.009247,13.693633,3.88,COLLISION_WITH_BP_IntersectionBorder170,LAZY,20,50
﻿55,12706.201594,328.521474,4.18,COLLISION_WITH_NavModifierVolume49,LAZY,22,50
﻿56,924.486115,34.875616,4.28,COLLISION_WITH_NavModifierVolume46,LAZY,25,50
﻿57,1258.321378,-39.365888,4.1,COLLISION_WITH_NavModifierVolume140,LAZY,19,50
﻿58,6934.535035,-153.216599,3.52,COLLISION_WITH_BP_IntersectionBorder6,LAZY,16,50
﻿59,5573.129677,-189.935651,3.88,COLLISION_WITH_NavModifierVolume142,LAZY,21,50
﻿60,16129.584505,-256.683076,4.36,COLLISION_WITH_NavModifierVolume133,LAZY,18,50
﻿61,17120.27462,-93.259413,4.66,COLLISION_WITH_BP_IntersectionBorder36,LAZY,17,50
﻿62,6430.092122,479.409656,4.26,COLLISION_WITH_BP_IntersectionBorder104,LAZY,21,50
﻿63,992.260913,-72.464333,4.36,COLLISION_WITH_BP_IntersectionBorder116,LAZY,16,50
﻿64,11688.28034,-63.170323,4.56,COLLISION_WITH_NavModifierVolume32,LAZY,15,50
﻿65,2538.720407,-158.700424,3.82,COLLISION_WITH_NavModifierVolume32,LAZY,15,50
﻿66,596.460447,25.530927,3.82,COLLISION_WITH_NavModifierVolume8,LAZY,18,50
﻿67,25869.921214,-313.939874,5.04,COLLISION_WITH_NavModifierVolume11,LAZY,18,50
﻿68,7786.810794,-197.338403,3.82,COLLISION_WITH_NavModifierVolume12,LAZY,18,50
﻿69,2692.482336,383.383245,4.7,COLLISION_WITH_BP_IntersectionBorder97,LAZY,23,50
﻿70,16249.680689,-668.691809,4.24,COLLISION_WITH_NavModifierVolume133,LAZY,18,50
﻿71,13637.535371,253.773737,4.48,COLLISION_WITH_NavModifierVolume49,LAZY,20,50
﻿72,3601.700583,-303.81886,3.56,LAZY,LAZY,21,50
﻿73,4321.000044,-1117.384931,4.9,COLLISION_WITH_NavModifierVolume13,LAZY,18,50
﻿74,24362.495334,324.246769,4.06,CORRECTINGWRONG,LAZY,22,50
﻿75,2585.919965,-179.931357,3.68,COLLISION_WITH_NavModifierVolume32,LAZY,21,50
﻿76,2528.931588,-91.571113,3.88,COLLISION_WITH_NavModifierVolume54,LAZY,17,50
﻿77,13899.489468,-1250.444157,5.68,COLLISION_WITH_NavModifierVolume48,LAZY,20,50
﻿78,10240.689694,510.70257,4.24,COLLISION_WITH_NavModifierVolume30,LAZY,16,50
﻿79,16685.834436,-307.677339,3.96,COLLISION_WITH_NavModifierVolume48,LAZY,14,50
﻿80,8717.923955,-643.067981,4.56,COLLISION_WITH_NavModifierVolume46,LAZY,16,50
﻿81,900.87751,-90.903123,3.8,COLLISION_WITH_NavModifierVolume133,LAZY,19,50
﻿82,1598.566473,161.0033,4.06,COLLISION_WITH_NavModifierVolume17,LAZY,16,50
﻿83,4677.475314,63.169652,3.6,COLLISION_WITH_BP_IntersectionBorder125,REVERSE,16,50
﻿84,2778.120159,269.599655,3.9,COLLISION_WITH_NavModifierVolume32,LAZY,19,50
﻿85,1691.694119,-106.073755,3.76,REVERSE,LAZY,16,50
﻿86,5011.409861,22.671172,4.0,COLLISION_WITH_NavModifierVolume5,LAZY,24,50
﻿87,5536.540027,-268.692244,5.96,COLLISION_WITH_NavModifierVolume35,LAZY,17,50
﻿88,29355.490843,-24.392033,4.64,COLLISION_WITH_NavModifierVolume133,LAZY,18,50
﻿89,27861.416309,-515.195196,5.66,COLLISION_WITH_NavModifierVolume133,LAZY,23,50
﻿90,1150.638092,-150.295465,3.7,COLLISION_WITH_BP_IntersectionBorder86,LAZY,18,50
﻿91,1111.668398,398.533475,4.26,COLLISION_WITH_NavModifierVolume16,LAZY,18,50
﻿92,7234.664595,-419.877808,4.48,COLLISION_WITH_NavModifierVolume54,LAZY,13,50
﻿93,22461.401006,-231.722327,4.12,COLLISION_WITH_NavModifierVolume141,LAZY,19,50
﻿94,5981.558862,-102.100806,4.48,COLLISION_WITH_NavModifierVolume54,LAZY,19,50
﻿95,13376.416616,118.570121,4.8,COLLISION_WITH_BP_IntersectionBorder147,LAZY,17,50
﻿96,5962.546235,81.204633,4.16,COLLISION_WITH_NavModifierVolume32,LAZY,20,50
﻿97,11626.025631,125.33082,4.1,COLLISION_WITH_NavModifierVolume30,LAZY,21,50
﻿98,8227.759026,-183.928591,4.26,COLLISION_WITH_BP_IntersectionBorder94,LAZY,18,50
﻿99,22844.421224,-367.602752,4.66,COLLISION_WITH_BP_IntersectionBorder50,LAZY,20,50
﻿100,6393.88903,-540.530145,3.96,COLLISION_WITH_NavModifierVolume54,LAZY,19,50
﻿101,15125.019144,-445.531054,4.82,COLLISION_WITH_NavModifierVolume46,LAZY,16,50
﻿102,1864.514995,-1110.694317,5.28,COLLISION_WITH_NavModifierVolume46,LAZY,17,50
﻿103,9806.05588,129.243653,4.04,COLLISION_WITH_NavModifierVolume20,LAZY,17,50
﻿104,1113.970453,-94.459403,4.08,COLLISION_WITH_BP_IntersectionBorder117,LAZY,18,50
﻿105,984.035993,-217.116276,3.64,COLLISION_WITH_NavModifierVolume2,LAZY,20,50
﻿106,807.408128,162.799646,4.02,COLLISION_WITH_NavModifierVolume24,LAZY,17,50
