Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,86252.835507,28015.554911,50.0625,TIMEFINISHED,TIMEFINISHED,7,32
﻿2,-605.127804,21851.002054,39.0,COLLISION_WITH_NavModifierVolume33,TIMEFINISHED,6,32
﻿3,-407.951139,23718.930697,45.625,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,3,32
﻿4,-380.620386,22924.397251,44.96875,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,6,32
﻿5,77809.457523,21096.662598,40.1875,TIMEFINISHED,TIMEFINISHED,7,32
﻿6,-313.724123,19003.46325,42.09375,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,5,32
﻿7,77872.447438,20468.326945,46.40625,TIMEFINISHED,TIMEFINISHED,5,32
﻿8,-338.472084,19678.485583,41.96875,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,6,32
﻿9,-224.744571,13874.223168,29.15625,COLLISION_WITH_BP_IntersectionBorder71,COLLISION_WITH_NavModifierVolume43,4,32
﻿10,-197.58814,17415.111331,36.71875,COLLISION_WITH_BP_IntersectionBorder71,COLLISION_WITH_BP_IntersectionBorder147,5,32
﻿11,-256.687942,19166.775301,38.53125,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,4,32
﻿12,-592.366887,22177.143939,45.03125,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,5,32
﻿13,-277.30384,20430.598224,37.65625,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,5,32
﻿14,-272.808418,15620.123694,32.125,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,3,32
﻿15,-310.541746,19901.968829,42.375,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,4,32
﻿16,-308.035067,17553.84318,37.8125,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,4,32
﻿17,-185.183977,16142.322968,38.25,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,2,32
﻿18,-378.199923,22355.923437,44.625,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,3,32
﻿19,-361.016921,19590.582088,40.5,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,4,32
﻿20,-303.209754,20718.358701,45.15625,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,7,32
﻿21,-325.36055,14875.100504,30.53125,COLLISION_WITH_BP_IntersectionBorder71,COLLISION_WITH_BP_IntersectionBorder203,5,32
﻿22,-388.495111,24715.73656,45.65625,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,6,32
﻿23,-221.534668,21553.102424,44.21875,COLLISION_WITH_BP_IntersectionBorder71,TIMEFINISHED,5,32
﻿24,78239.414551,16352.773565,37.28125,TIMEFINISHED,TIMEFINISHED,4,32
﻿25,85746.429061,25251.924009,52.46875,TIMEFINISHED,TIMEFINISHED,7,32
﻿26,33907.143708,18667.90519,37.21875,COLLISION_WITH_BP_IntersectionBorder155,COLLISION_WITH_BP_IntersectionBorder221,3,32
﻿27,60928.702704,14519.333821,32.03125,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,3,32
﻿28,3474.058355,15802.981256,33.53125,COLLISION_WITH_BP_IntersectionBorder147,STOP_VIOLATION,4,32
﻿29,78640.972059,20949.419464,41.96875,TIMEFINISHED,TIMEFINISHED,3,32
﻿30,73034.389957,21802.859415,43.59375,TIMEFINISHED,TIMEFINISHED,5,32
﻿31,94579.611716,22757.560078,45.84375,TIMEFINISHED,TIMEFINISHED,5,32
﻿32,68132.468428,22385.433857,52.34375,TIMEFINISHED,TIMEFINISHED,3,32
﻿33,82871.554625,25495.214763,56.0625,TIMEFINISHED,TIMEFINISHED,7,32
﻿34,60794.660034,26891.276316,54.0,TIMEFINISHED,TIMEFINISHED,8,32
﻿35,81688.786124,27291.721501,52.625,TIMEFINISHED,TIMEFINISHED,8,32
﻿36,83536.766748,26199.897021,56.3125,TIMEFINISHED,TIMEFINISHED,9,32
﻿37,95667.049264,19831.529492,42.5625,TIMEFINISHED,TIMEFINISHED,4,32
﻿38,3622.228313,13100.746891,28.96875,COLLISION_WITH_BP_IntersectionBorder147,COLLISION_WITH_NavModifierVolume50,4,32
﻿39,3640.968675,15145.588767,30.09375,COLLISION_WITH_BP_IntersectionBorder147,COLLISION_WITH_BP_IntersectionBorder147,4,32
﻿40,78005.89777,16551.484165,34.46875,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder200,4,32
﻿41,97697.366067,22223.187091,39.96875,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder220,4,32
﻿42,85543.04301,17573.672673,34.09375,TIMEFINISHED,TIMEFINISHED,3,32
﻿43,3599.934508,16057.494344,30.90625,COLLISION_WITH_BP_IntersectionBorder147,COLLISION_WITH_BP_IntersectionBorder147,3,32
﻿44,91205.002461,13481.014993,30.53125,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder203,4,32
﻿45,3611.524352,19186.707142,39.96875,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,4,32
﻿46,107130.645575,16457.739993,31.1875,TIMEFINISHED,TIMEFINISHED,4,32
﻿47,3520.077749,17815.321198,36.09375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,4,32
﻿48,3433.960402,10803.40967,25.9375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,2,32
﻿49,92091.965596,15097.869152,28.25,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder220,3,32
﻿50,95182.822705,9949.140622,23.9375,TIMEFINISHED,STOP_VIOLATION,3,32
﻿51,3568.382671,8606.346608,28.6875,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,3,32
﻿52,3518.498783,4928.666052,34.75,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,6,32
﻿53,3540.593126,7986.393021,50.46875,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,9,32
﻿54,65301.515044,9299.161507,42.125,TIMEFINISHED,TIMEFINISHED,8,32
﻿55,3581.505127,12529.558993,46.6875,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,9,32
﻿56,3547.824469,8620.219212,27.15625,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,3,32
﻿57,3390.243989,5765.478282,32.4375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,6,32
﻿58,3501.923173,11714.675439,39.0625,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,7,32
﻿59,3663.958462,8313.731784,44.09375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,7,32
﻿60,3341.465097,11751.110604,37.09375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,5,32
﻿61,3483.231301,8891.259269,35.03125,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,5,32
﻿62,3224.267716,8496.487958,34.0,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,4,32
﻿63,3343.589453,7092.524685,21.875,COLLISION_WITH_BP_IntersectionBorder147,STOP_VIOLATION,3,32
﻿64,3591.659499,7579.295568,32.65625,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,5,32
﻿65,3397.184422,8024.08183,30.34375,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,3,32
﻿66,3452.136339,13728.3202,48.875,COLLISION_WITH_BP_IntersectionBorder147,TIMEFINISHED,7,32
﻿67,3686.925312,9459.862376,28.9375,COLLISION_WITH_BP_IntersectionBorder147,COLLISION_WITH_BP_IntersectionBorder220,6,32
