Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,409194.465218,107972.43524,163.777778,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder130,7,27
﻿2,285622.175266,58212.647085,94.37037,COLLISION_WITH_BP_IntersectionBorder221,COLLISION_WITH_BP_IntersectionBorder221,9,27
﻿3,435934.118473,86060.163814,127.962963,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder130,8,27
﻿4,426694.743753,70162.932587,106.37037,TIMEFINISHED,STOP_VIOLATION,5,27
﻿5,350717.678708,80124.347927,142.074074,COLLISION_WITH_BP_IntersectionBorder221,COLLISION_WITH_BP_IntersectionBorder221,6,27
﻿6,348753.760977,75826.210051,110.925926,COLLISION_WITH_BP_IntersectionBorder139,COLLISION_WITH_BP_IntersectionBorder221,9,27
﻿7,290130.796582,57902.085372,90.148148,COLLISION_WITH_BP_IntersectionBorder66,COLLISION_WITH_BP_IntersectionBorder66,7,27
﻿8,389856.219189,63128.267344,97.407407,COLLISION_WITH_BP_IntersectionBorder66,STOP_VIOLATION,7,27
﻿9,269319.718028,39770.187045,63.333333,COLLISION_WITH_BP_IntersectionBorder212,COLLISION_WITH_BP_IntersectionBorder66,5,27
﻿10,442567.878533,48792.934139,75.888889,COLLISION_WITH_BP_IntersectionBorder139,COLLISION_WITH_BP_IntersectionBorder221,7,27
﻿11,369238.943383,74063.654041,110.296296,COLLISION_WITH_NavModifierVolume43,STOP_VIOLATION,6,27
﻿12,8591.81495,42354.149139,67.074074,COLLISION_WITH_NavModifierVolume25,COLLISION_WITH_BP_IntersectionBorder221,5,27
﻿13,126059.791523,36518.916172,56.703704,COLLISION_WITH_BP_IntersectionBorder66,COLLISION_WITH_BP_IntersectionBorder66,6,27
﻿14,207929.262187,46340.116442,74.407407,COLLISION_WITH_BP_IntersectionBorder192,STOP_VIOLATION,4,27
﻿15,179387.141561,40434.566408,66.0,COLLISION_WITH_BP_IntersectionBorder221,STOP_VIOLATION,5,27
