Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-2133.419607,9993.539151,18.627451,STOP_VIOLATION,STOP_VIOLATION,9,51
﻿2,18579.274215,5664.966312,12.92,STOP_VIOLATION,LAZY,9,50
﻿3,6713.197013,5592.035204,14.68,COLLISION_WITH_NavModifierVolume58,LAZY,9,50
﻿4,1113.991735,5042.722507,14.46,COLLISION_WITH_NavModifierVolume38,LAZY,9,50
﻿5,-1743.861898,4385.521965,12.22,STOP_VIOLATION,LAZY,9,50
﻿6,24399.834486,3540.447096,10.88,COLLISION_WITH_NavModifierVolume53,LAZY,26,50
﻿7,14632.069319,6844.585354,15.8,COLLISION_WITH_BP_IntersectionBorder46,LAZY,10,50
﻿8,667.433877,3105.758527,10.22,COLLISION_WITH_BP_IntersectionBorder116,LAZY,29,50
﻿9,12841.367148,2450.366764,8.6,COLLISION_WITH_BP_IntersectionBorder147,LAZY,29,50
﻿10,16162.790834,3153.585597,10.46,STOP_VIOLATION,LAZY,27,50
﻿11,2726.93812,4828.156778,14.26,COLLISION_WITH_BP_IntersectionBorder116,LAZY,13,50
﻿12,66349.4726,3962.033162,11.32,COLLISION_WITH_NavModifierVolume141,LAZY,31,50
﻿13,12956.576371,5583.739984,20.32,COLLISION_WITH_BP_IntersectionBorder73,STOP_VIOLATION,7,50
﻿14,8176.987839,4215.615735,13.0,COLLISION_WITH_NavModifierVolume54,LAZY,28,50
﻿15,35904.078662,4087.228152,11.76,COLLISION_WITH_NavModifierVolume54,LAZY,29,50
﻿16,11399.0554,4766.470078,12.64,COLLISION_WITH_BP_IntersectionBorder86,LAZY,28,50
﻿17,10266.808136,3327.44436,11.56,STOP_VIOLATION,LAZY,28,50
﻿18,13838.088968,3030.20672,10.9,STOP_VIOLATION,LAZY,29,50
﻿19,69955.162707,5615.848787,15.46,TIMEFINISHED,LAZY,23,50
﻿20,66480.205462,13501.410772,30.76,TIMEFINISHED,LAZY,11,50
﻿21,51049.232903,4893.694727,15.4,COLLISION_WITH_NavModifierVolume15,LAZY,31,50
﻿22,56314.356779,6068.392083,16.2,COLLISION_WITH_BP_IntersectionBorder67,LAZY,28,50
﻿23,31721.291364,5008.140105,16.08,COLLISION_WITH_NavModifierVolume40,LAZY,27,50
﻿24,20130.632004,5865.868754,17.64,COLLISION_WITH_NavModifierVolume141,LAZY,10,50
﻿25,62740.46444,6692.03716,16.94,TIMEFINISHED,LAZY,10,50
﻿26,12937.179709,4278.882375,12.66,COLLISION_WITH_BP_IntersectionBorder86,LAZY,29,50
﻿27,39490.690281,9550.005818,21.5,COLLISION_WITH_NavModifierVolume19,LAZY,29,50
﻿28,8751.586403,4221.673218,15.3,COLLISION_WITH_BP_IntersectionBorder3,LAZY,29,50
﻿29,72848.383477,9682.877427,25.02,TIMEFINISHED,LAZY,11,50
﻿30,74248.301284,22157.098183,49.42,TIMEFINISHED,LAZY,12,50
﻿31,14473.255209,15757.980488,40.96,COLLISION_WITH_NavModifierVolume30,LAZY,10,50
﻿32,37119.54436,10910.343038,26.34,COLLISION_WITH_NavModifierVolume53,LAZY,30,50
﻿33,60181.435765,9129.848098,24.38,TIMEFINISHED,LAZY,31,50
﻿34,56523.42233,8412.214109,21.58,COLLISION_WITH_NavModifierVolume53,LAZY,29,50
﻿35,12688.113552,10518.704343,26.02,STOP_VIOLATION,LAZY,29,50
﻿36,19546.074289,10989.314409,27.74,COLLISION_WITH_BP_IntersectionBorder147,LAZY,25,50
﻿37,9043.050712,8227.675686,22.28,STOP_VIOLATION,LAZY,30,50
﻿38,22959.890522,8330.421907,22.12,STOP_VIOLATION,LAZY,10,50
﻿39,1653.184036,6188.654505,18.78,COLLISION_WITH_NavModifierVolume38,LAZY,29,50
﻿40,67575.818552,5266.509336,17.06,TIMEFINISHED,LAZY,27,50
﻿41,10103.385179,8375.829214,23.6,STOP_VIOLATION,LAZY,9,50
﻿42,6902.634733,9343.559286,23.22,STOP_VIOLATION,LAZY,9,50
﻿43,15387.902341,9960.968376,26.26,COLLISION_WITH_BP_IntersectionBorder131,LAZY,28,50
﻿44,33562.499677,7385.9591,22.12,STOP_VIOLATION,LAZY,31,50
﻿45,4938.58632,8414.8665,23.78,LAZY,LAZY,28,50
﻿46,28282.459188,9287.443828,27.72,STOP_VIOLATION,LAZY,32,50
﻿47,2752.200941,8344.460299,23.36,STOP_VIOLATION,LAZY,27,50
﻿48,19297.607308,12381.971992,29.76,COLLISION_WITH_BP_IntersectionBorder86,LAZY,7,50
﻿49,43654.011364,11414.366993,26.9,COLLISION_WITH_NavModifierVolume53,LAZY,27,50
﻿50,11652.45134,8569.013357,24.98,STOP_VIOLATION,LAZY,28,50
﻿51,33645.612464,11279.217478,28.04,COLLISION_WITH_BP_IntersectionBorder150,LAZY,7,50
﻿52,3213.574622,6990.490096,21.78,COLLISION_WITH_BP_IntersectionBorder116,LAZY,27,50
﻿53,26375.218907,12331.290121,29.42,STOP_VIOLATION,LAZY,30,50
﻿54,34363.049623,10473.548519,28.28,COLLISION_WITH_BP_IntersectionBorder86,LAZY,30,50
﻿55,6136.208655,10913.250331,28.4,LAZY,LAZY,31,50
﻿56,79211.115916,10873.12844,28.02,TIMEFINISHED,LAZY,27,50
﻿57,11253.981479,15919.578848,36.08,COLLISION_WITH_NavModifierVolume53,LAZY,11,50
﻿58,8963.045489,9281.946527,23.42,COLLISION_WITH_BP_IntersectionBorder147,LAZY,29,50
﻿59,42661.450346,7548.317683,19.16,STOP_VIOLATION,LAZY,31,50
﻿60,23063.489736,9342.976314,23.82,COLLISION_WITH_BP_IntersectionBorder200,LAZY,29,50
﻿61,72638.919099,9093.402246,24.14,TIMEFINISHED,LAZY,29,50
﻿62,10770.642202,9538.781187,24.14,STOP_VIOLATION,LAZY,29,50
﻿63,27642.422529,11946.909458,27.58,STOP_VIOLATION,LAZY,30,50
﻿64,25178.083897,10824.826778,24.94,COLLISION_WITH_BP_IntersectionBorder147,LAZY,29,50
﻿65,12080.843391,9412.757929,22.8,STOP_VIOLATION,LAZY,28,50
﻿66,11149.406572,8289.492387,21.5,STOP_VIOLATION,LAZY,25,50
﻿67,26358.56369,7819.248278,20.62,COLLISION_WITH_NavModifierVolume53,LAZY,28,50
﻿68,6711.139273,8100.929088,21.02,COLLISION_WITH_BP_IntersectionBorder86,LAZY,27,50
﻿69,22507.782504,8803.790879,22.9,COLLISION_WITH_NavModifierVolume43,LAZY,31,50
﻿70,28124.836574,14129.194788,31.48,STOP_VIOLATION,LAZY,7,50
﻿71,25378.45071,12765.439344,31.22,COLLISION_WITH_BP_IntersectionBorder200,LAZY,12,50
﻿72,20885.062611,10328.415623,24.76,COLLISION_WITH_BP_IntersectionBorder86,LAZY,29,50
﻿73,51566.863806,11285.753308,26.4,COLLISION_WITH_NavModifierVolume53,LAZY,29,50
﻿74,3697.55648,4972.014242,17.92,COLLISION_WITH_BP_IntersectionBorder116,LAZY,9,50
﻿75,7648.350881,9411.910556,25.72,LAZY,LAZY,13,50
﻿76,13178.723577,9697.067381,24.24,STOP_VIOLATION,LAZY,25,50
﻿77,4747.278922,10269.989487,26.06,COLLISION_WITH_BP_IntersectionBorder117,LAZY,13,50
﻿78,29104.290702,10407.380012,26.14,STOP_VIOLATION,LAZY,31,50
﻿79,13419.571342,9003.863787,25.32,COLLISION_WITH_NavModifierVolume53,LAZY,31,50
﻿80,10724.455075,6600.66822,19.88,COLLISION_WITH_BP_IntersectionBorder147,LAZY,30,50
﻿81,72097.690554,10900.568132,26.02,COLLISION_WITH_NavModifierVolume53,LAZY,31,50
﻿82,56618.949533,8889.601859,24.72,COLLISION_WITH_NavModifierVolume53,LAZY,28,50
﻿83,2107.727424,10712.719343,25.12,COLLISION_WITH_NavModifierVolume38,LAZY,11,50
﻿84,18021.261445,11457.231649,29.14,COLLISION_WITH_BP_IntersectionBorder200,LAZY,10,50
﻿85,23383.028564,9113.979826,21.52,COLLISION_WITH_BP_IntersectionBorder86,LAZY,32,50
﻿86,42692.58721,11204.858418,28.16,COLLISION_WITH_BP_IntersectionBorder150,LAZY,27,50
