Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness,Acum_StopCompletionBonus,NumStopsCompleted,Acum_YieldCompletionBonus,NumYieldsCompleted,Acum_NavPenalty,NumRoundaboutsEntered,NumRoundaboutsCompleted,Acum_SpeedAtRoundaboutEntry,Acum_FrontObstAtRoundaboutEntry,Ticks_InRoundabout,Acum_SteeringInRoundabout,Acum_ThrottleInRoundabout,CollisionsInRoundabout,R_CurrentExitNumber,R_EntryDir_First,R_EntryDir_Second,R_EntryDir_Third,R_Exit1_Count,R_Exit2_Count,R_Exit3Plus_Count,R_Exit1_Deaths,R_Exit2_Deaths,R_Exit3Plus_Deaths,R_Exit1_Steering,R_Exit2_Steering,R_Exit3Plus_Steering,R_Exit1_Ticks,R_Exit2_Ticks,R_Exit3Plus_Ticks,R_Exit1_Throttle,R_Exit2_Throttle,R_Exit3Plus_Throttle,Acum_RoundaboutBonus,Acum_RndCompletionBonus,Acum_RndEntryPenalty,Acum_RndThrottlePenalty,Acum_AlignmentPenalty,NumCarOverlaps,NumYieldFreePasses,SpeedAtYieldValidation,Acum_TimeBlockedAtCrossing,FrontObstAtDeath,Acum_SteerApproachWrongDir,Acum_SteerApproachRightDir,Acum_CarOverlapPenaltyShadow,FirstSteerAfterReleaseTicks,Acum_CarOverlapPenalty,Acum_QueueWaitBonus,CurrentTrigger
﻿1,BP_VehicleAI228,1574.174375,15,BP_SpawnPoint44,COLLISION_WITH_NavModifierVolume51,915.298711,984.974069,3340.856659,1.322742,0.0,3342.179401,0.0,0.0,233.0,233.0,true,6.253047,0.365681,1.677577,0.326988,0.0,5.0,0.0,0.0,0.0,0.103234,0.0,0.0,0.0,0.0,76.4522,76.4522,29,111.03422,0.0,0.0,5.0,0,0.0,0,0.0,5.496828,0,3479.195849,0.0,0,509.039266,1,0.0,1,0,389.647644,0.956272,200,62.487317,64.896105,0,1,1,0,0,1,0,0,1,0,0,97.062107,0.0,0.0,200.0,0.0,0.0,64.896105,0.0,0.0,-371.17144,0.0,0.0,371.17144,0.00001,0,1,582.545715,0.3,0.103552,1.952704,0.0,0.0,1,0.0,0.0,BP_IntersectionTrigger48
﻿1,BP_VehicleAI230,1699.781976,25,BP_SpawnPoint10,COLLISION_WITH_NavModifierVolume32,95.83061,3696.733778,5595.544589,2.340692,0.0,5597.885281,0.0,0.0,387.0,387.0,true,6.33199,0.537865,8.298736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.242622,49.242622,31,146.159201,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,2375.429971,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.129318,0.0,0.0,105.538927,1,105.538917,0.0,BP_IntersectionTrigger35
﻿1,BP_VehicleAI26,3350.95392,27,BP_SpawnPoint49,COLLISION_WITH_NavModifierVolume33,162.486048,4215.478051,7759.971166,3.518159,0.0,7763.489325,0.0,0.0,414.0,414.0,true,7.174616,0.764597,8.262092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.418481,58.418481,7,142.812333,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4199.170681,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.116438,0.0,0.0,171.477147,1,34.571307,0.0,BP_IntersectionTrigger41
﻿1,BP_VehicleAI29,11775.158916,30,BP_SpawnPoint11,COLLISION_WITH_BP_IntersectionBorder240,408.775628,435.214364,12108.652233,5.02389,0.0,12113.676124,0.0,0.0,462.0,462.0,true,8.739468,0.489779,1.847256,0.30552,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.128917,-40.128917,10,160.302288,0.0,0.0,5.0,0,0.0,0,0.0,7.720341,0,12236.601134,0.0,0,643.019969,1,0.0,1,0,693.925659,1.0,242,-45.417714,56.827029,1,2,0,0,1,1,1,0,0,1,0,107.138537,6.949633,0.0,235.0,7.0,0.0,50.296875,6.530154,0.0,-129.826837,0.0,0.0,129.826837,0.000006,0,1,654.736572,0.3,0.26096,0.0,2.87871,0.0,19,0.0,0.0,BP_IntersectionTrigger71
﻿1,BP_VehicleAI211,11886.612698,36,BP_SpawnPoint58,COLLISION_WITH_BP_IntersectionBorder242,359.677862,535.517894,11918.707,5.014651,464.568465,11923.721651,0.0,0.0,551.0,551.0,true,9.999211,3.071082,3.316341,3.020353,0.0,72.0,0.0,0.00001,0.0,0.114366,1.236873,0.0,0.0,0.0,60.886052,60.886052,12,237.956732,0.0,0.0,72.0,0,0.0,0,0.0,40.653832,1,12251.235539,0.0,0,526.537725,1,0.0,1,0,653.099487,1.0,419,43.401212,51.686946,1,2,0,0,1,1,1,0,0,1,0,147.91576,60.135372,0.0,347.0,72.0,0.0,20.712839,30.974107,0.0,-92.251098,0.0,0.0,92.251098,0.000083,0,1,592.473755,3.4,0.260581,0.0,3.788427,0.0,1,0.0,0.0,BP_IntersectionTrigger70
﻿1,BP_VehicleAI217,12459.218539,39,BP_SpawnPoint28,COLLISION_WITH_NavModifierVolume19,89.720549,0.19037,12543.810634,5.318824,0.0,12549.129458,0.0,0.0,608.0,608.0,true,6.890242,0.384252,13.411302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.737736,137.737736,18,195.697424,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,12548.939088,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.243616,0.0,0.0,0.0,1,0.0,0.0,BP_IntersectionTrigger25
﻿1,BP_VehicleAI210,14193.441815,42,BP_SpawnPoint45,STOP_VIOLATION_EXIT,1423.404938,387.320116,17486.620889,11.781631,0.0,17498.402519,95.776597,0.0,640.0,658.0,true,10.872795,1.483994,9.905832,0.998638,2.210994,166.0,785.973011,0.0,0.0,47.695328,0.0,0.0,0.0,4.1,142.719138,142.719138,11,226.038066,0.0,166.0,0.0,0,0.0,0,0.0,564.743947,1,16315.859584,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046768,0,0,0.0,0.0,0.0,4.850368,3.836219,0.0,1,0.0,0.0,BP_IntersectionTrigger59
﻿1,BP_VehicleAI221,18373.088367,50,BP_SpawnPoint22,COLLISION_WITH_NavModifierVolume58,106.538903,2523.230256,19796.262959,8.566387,0.0,19804.829347,0.0,0.0,803.0,803.0,true,11.035753,1.295582,11.02162,0.702059,0.0,12.0,0.0,0.0,0.0,0.111166,0.66405,0.0,0.0,0.0,44.322136,44.322136,22,189.646598,0.0,0.0,12.0,0,0.0,0,0.0,24.825142,1,19083.403908,0.0,0,1355.152172,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000004,1,2,633.735718,0.6,0.001276,3.140304,2.612459,132.187699,184,132.187681,0.0,BP_IntersectionTrigger63
﻿1,BP_VehicleAI225,16072.926995,51,BP_SpawnPoint56,COLLISION_WITH_BP_IntersectionBorder240,405.656979,401.362942,16087.732995,6.504452,0.0,16094.237447,0.0,0.0,812.0,812.0,true,11.850478,0.926296,8.90455,0.558548,0.0,10.0,0.0,0.0,0.0,0.157056,0.0,0.0,0.0,0.0,-154.050602,-154.050602,26,277.918414,0.0,0.0,10.0,0,0.0,0,0.0,8.522776,0,16524.806215,0.0,0,919.872465,2,0.0,1,0,362.387909,0.233071,275,-71.056517,79.983474,1,2,0,0,1,1,1,0,0,1,0,144.966515,6.94624,0.0,268.0,7.0,0.0,73.515483,6.467991,0.0,-125.483131,0.0,16.722814,108.760317,0.000033,0,2,501.565704,0.6,0.260851,1.154219,1.972488,0.0,1,0.0,0.0,BP_IntersectionTrigger71
﻿1,BP_VehicleAI218,20515.491683,53,BP_SpawnPoint59,COLLISION_WITH_BP_IntersectionBorder87,330.904244,2139.197112,22298.121363,9.796423,521.865841,22307.917787,0.0,0.0,858.0,858.0,true,12.510059,3.932418,5.102114,3.171438,0.0,82.0,0.0,0.000011,0.0,0.124229,0.805096,0.0,0.0,0.0,194.480968,194.480968,19,279.574048,0.0,0.0,82.0,0,0.0,0,0.0,38.150536,1,21189.40452,0.0,0,526.436622,1,0.0,1,0,698.388123,0.986508,421,174.469437,25.404537,0,1,1,0,0,1,0,0,0,0,0,209.550402,0.0,0.0,421.0,0.0,0.0,25.404537,0.0,0.0,-270.041662,0.0,0.0,270.041662,0.000083,1,0,4.489522,3.1,0.001698,0.0,3.418825,408.712513,1,62.31069,0.0,BP_IntersectionTrigger30
