Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-659.495063,111.901186,6.019608,COLLISION_WITH_NavModifierVolume32,LAZY,31,51
﻿2,-1233.941525,-276.557518,3.294118,COLLISION_WITH_NavModifierVolume141,LAZY,5,51
﻿3,-2671.662196,13.157756,4.470588,TRAFFIC_VIOLATION,LAZY,23,51
﻿4,-1074.281972,-94.488823,4.705882,COLLISION_WITH_NavModifierVolume21,LAZY,21,51
﻿5,6519.466328,144.494062,5.627451,LAZY,LAZY,22,51
﻿6,1308.172316,294.962107,6.392157,COLLISION_WITH_NavModifierVolume24,LAZY,31,51
﻿7,610.512182,102.157559,5.607843,COLLISION_WITH_NavModifierVolume14,LAZY,36,51
﻿8,2305.901059,553.554378,6.803922,COLLISION_WITH_BP_IntersectionBorder87,LAZY,35,51
﻿9,2603.17635,223.764565,6.666667,COLLISION_WITH_NavModifierVolume3,LAZY,40,51
﻿10,20852.685167,612.875024,6.137255,COLLISION_WITH_NavModifierVolume142,LAZY,24,51
﻿11,4448.410253,658.591096,5.921569,COLLISION_WITH_NavModifierVolume43,LAZY,13,51
﻿12,14247.11838,943.375422,7.019608,COLLISION_WITH_NavModifierVolume41,LAZY,24,51
﻿13,9490.742013,1007.853872,8.215686,COLLISION_WITH_NavModifierVolume46,LAZY,19,51
﻿14,9996.672547,650.78858,6.745098,COLLISION_WITH_NavModifierVolume133,LAZY,12,51
﻿15,3073.653179,364.534086,6.156863,COLLISION_WITH_NavModifierVolume137,LAZY,18,51
﻿16,2838.222824,531.102757,6.647059,COLLISION_WITH_NavModifierVolume13,LAZY,16,51
﻿17,8140.895805,448.946192,6.333333,CORRECTINGWRONG,LAZY,28,51
﻿18,9672.401912,719.119942,6.333333,COLLISION_WITH_BP_IntersectionBorder85,LAZY,26,51
﻿19,6170.360241,766.174715,7.941176,COLLISION_WITH_BP_IntersectionBorder206,LAZY,14,51
﻿20,1027.085632,460.865564,6.54902,COLLISION_WITH_NavModifierVolume54,LAZY,28,51
﻿21,3727.569009,441.295629,6.294118,CORRECTINGWRONG,LAZY,27,51
﻿22,5373.88058,367.989137,6.764706,COLLISION_WITH_NavModifierVolume46,LAZY,29,51
﻿23,5097.765377,575.496114,5.352941,COLLISION_WITH_NavModifierVolume53,LAZY,11,51
﻿24,8038.623345,595.619657,6.333333,LAZY,LAZY,15,51
﻿25,11226.245972,525.541385,7.882353,CORRECTINGWRONG,LAZY,17,51
﻿26,1758.700685,622.449396,5.352941,COLLISION_WITH_NavModifierVolume57,LAZY,10,51
﻿27,2003.553086,353.817323,6.254902,COLLISION_WITH_NavModifierVolume50,LAZY,18,51
﻿28,9306.107815,399.337842,6.019608,COLLISION_WITH_BP_IntersectionBorder40,LAZY,29,51
﻿29,5428.373984,558.577353,7.0,LAZY,LAZY,22,51
﻿30,1979.752485,300.605423,5.411765,COLLISION_WITH_BP_IntersectionBorder173,LAZY,21,51
﻿31,2599.827919,1051.697532,7.764706,COLLISION_WITH_NavModifierVolume2,LAZY,33,51
﻿32,4175.101595,764.309347,7.882353,COLLISION_WITH_NavModifierVolume11,LAZY,32,51
﻿33,11788.240459,583.678653,7.0,COLLISION_WITH_NavModifierVolume133,LAZY,27,51
﻿34,3200.858757,468.811091,7.098039,COLLISION_WITH_NavModifierVolume50,LAZY,17,51
﻿35,12840.178495,867.386398,10.117647,COLLISION_WITH_BP_IntersectionBorder6,LAZY,26,51
﻿36,5516.857447,444.437588,5.529412,COLLISION_WITH_NavModifierVolume53,LAZY,15,51
﻿37,4708.864023,367.737552,6.568627,STOP_VIOLATION,LAZY,33,51
﻿38,10916.721246,784.317516,5.980392,YIELD_VIOLATION,LAZY,11,51
﻿39,8080.059637,605.372209,7.137255,STOP_VIOLATION,LAZY,25,51
﻿40,5406.700751,395.84669,7.137255,COLLISION_WITH_BP_IntersectionBorder106,LAZY,29,51
﻿41,9318.154244,771.576208,6.54902,YIELD_VIOLATION,LAZY,23,51
﻿42,2015.799545,450.711641,6.607843,COLLISION_WITH_NavModifierVolume37,LAZY,17,51
﻿43,597.57813,920.419486,7.117647,LAZY,LAZY,15,51
﻿44,4731.956157,867.735377,6.019608,COLLISION_WITH_NavModifierVolume48,LAZY,22,51
﻿45,2107.297842,547.626763,6.313725,COLLISION_WITH_BP_IntersectionBorder2,LAZY,9,51
﻿46,6080.358935,695.599597,6.529412,COLLISION_WITH_NavModifierVolume2,LAZY,19,51
﻿47,1324.696626,370.1695,6.117647,COLLISION_WITH_BP_IntersectionBorder86,LAZY,29,51
﻿48,2897.273144,1105.463294,8.901961,LAZY,LAZY,26,51
﻿49,14792.08908,969.852839,8.568627,LAZY,LAZY,22,51
﻿50,2039.384254,426.962639,6.098039,COLLISION_WITH_NavModifierVolume48,LAZY,32,51
﻿51,18730.160172,624.047565,7.235294,COLLISION_WITH_NavModifierVolume133,LAZY,36,51
﻿52,12447.859542,693.417015,6.27451,COLLISION_WITH_NavModifierVolume2,LAZY,26,51
﻿53,2503.090967,553.851114,6.176471,COLLISION_WITH_NavModifierVolume12,LAZY,34,51
﻿54,11626.227313,520.826097,5.607843,COLLISION_WITH_NavModifierVolume141,LAZY,13,51
﻿55,5065.248801,308.485352,6.176471,COLLISION_WITH_NavModifierVolume142,LAZY,31,51
﻿56,1065.327114,431.737241,7.54902,COLLISION_WITH_BP_IntersectionBorder169,LAZY,27,51
﻿57,15876.124494,963.084496,7.803922,COLLISION_WITH_NavModifierVolume53,LAZY,12,51
﻿58,3382.937395,358.781723,8.54902,COLLISION_WITH_NavModifierVolume50,LAZY,14,51
﻿59,5520.995006,582.34579,6.235294,COLLISION_WITH_NavModifierVolume25,LAZY,13,51
﻿60,2571.893024,404.926142,6.27451,LAZY,LAZY,12,51
﻿61,6677.795876,468.614117,6.72549,CORRECTINGWRONG,LAZY,22,51
﻿62,4444.738987,547.861611,6.294118,LAZY,LAZY,23,51
﻿63,17459.895553,488.675991,6.098039,COLLISION_WITH_NavModifierVolume133,LAZY,29,51
﻿64,2185.65375,226.075156,7.529412,COLLISION_WITH_NavModifierVolume19,LAZY,18,51
﻿65,6185.772803,846.055344,7.45098,STOP_VIOLATION,LAZY,27,51
﻿66,3420.02616,586.068105,7.470588,LAZY,LAZY,26,51
﻿67,5873.756564,774.107047,7.313725,COLLISION_WITH_NavModifierVolume18,LAZY,23,51
﻿68,3784.789394,347.414693,5.019608,COLLISION_WITH_NavModifierVolume22,LAZY,11,51
﻿69,1982.245944,652.683099,7.058824,LAZY,LAZY,30,51
﻿70,7844.609165,443.802885,6.843137,COLLISION_WITH_NavModifierVolume18,LAZY,28,51
﻿71,4281.892285,538.183673,6.156863,COLLISION_WITH_BP_IntersectionBorder170,LAZY,21,51
﻿72,17395.369272,573.239178,7.784314,STOP_VIOLATION,LAZY,32,51
﻿73,2302.700673,421.23581,6.54902,COLLISION_WITH_BP_IntersectionBorder163,LAZY,35,51
﻿74,6821.759568,480.407325,7.078431,COLLISION_WITH_NavModifierVolume20,LAZY,28,51
﻿75,9163.513838,522.950188,6.882353,STOP_VIOLATION,LAZY,28,51
﻿76,11922.67569,1119.009926,7.647059,COLLISION_WITH_NavModifierVolume46,LAZY,31,51
﻿77,2489.285597,570.510594,6.764706,LAZY,LAZY,25,51
﻿78,9073.26291,522.504,6.470588,COLLISION_WITH_NavModifierVolume8,LAZY,37,51
﻿79,8143.78632,1002.309616,8.686275,COLLISION_WITH_NavModifierVolume142,LAZY,23,51
﻿80,3277.284701,317.421623,6.823529,COLLISION_WITH_NavModifierVolume37,LAZY,35,51
﻿81,8551.200852,688.282766,6.843137,CORRECTINGWRONG,LAZY,32,51
﻿82,11144.684071,621.257529,7.27451,COLLISION_WITH_NavModifierVolume48,LAZY,23,51
﻿83,5536.560853,466.463264,7.058824,LAZY,LAZY,36,51
﻿84,4944.835983,423.247566,5.960784,CORRECTINGWRONG,LAZY,30,51
﻿85,10670.99936,976.856557,7.627451,YIELD_VIOLATION,LAZY,15,51
﻿86,14722.936016,425.845751,7.764706,LAZY,LAZY,34,51
﻿87,4613.674662,656.948681,7.745098,LAZY,LAZY,28,51
﻿88,1812.556586,519.881457,5.882353,COLLISION_WITH_NavModifierVolume133,LAZY,20,51
﻿89,6215.178606,1032.712344,6.72549,COLLISION_WITH_BP_IntersectionBorder94,LAZY,26,51
﻿90,2653.946256,441.707346,6.078431,LAZY,LAZY,32,51
﻿91,1902.118038,406.563282,6.0,COLLISION_WITH_NavModifierVolume16,LAZY,24,51
﻿92,1703.360921,382.351755,8.27451,COLLISION_WITH_NavModifierVolume8,LAZY,28,51
﻿93,2204.630106,409.67841,7.117647,COLLISION_WITH_NavModifierVolume37,LAZY,24,51
﻿94,11032.019619,364.378965,7.647059,COLLISION_WITH_NavModifierVolume133,LAZY,29,51
﻿95,2566.399382,535.551696,7.039216,LAZY,LAZY,20,51
﻿96,5161.593759,376.884259,5.921569,LAZY,LAZY,29,51
﻿97,3347.721006,391.962763,6.294118,COLLISION_WITH_NavModifierVolume53,LAZY,24,51
﻿98,4525.88417,538.202671,6.117647,COLLISION_WITH_BP_IntersectionBorder97,LAZY,17,51
﻿99,9478.489862,302.669563,6.568627,LAZY,LAZY,33,51
﻿100,7063.989139,623.203153,7.215686,COLLISION_WITH_NavModifierVolume46,LAZY,25,51
﻿101,2544.983194,346.656191,6.294118,COLLISION_WITH_NavModifierVolume21,LAZY,24,51
﻿102,2138.857905,335.224727,5.843137,LAZY,LAZY,19,51
