Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,8323.422848,-481.443979,5.137255,COLLISION_WITH_BP_IntersectionBorder106,LAZY,6,51
﻿2,8133.105867,72.724486,4.72549,COLLISION_WITH_NavModifierVolume13,LAZY,15,51
﻿3,1122.872241,-238.054881,4.627451,COLLISION_WITH_NavModifierVolume21,LAZY,32,51
﻿4,1479.860799,-95.295582,4.54902,COLLISION_WITH_NavModifierVolume45,LAZY,30,51
﻿5,1047.595057,-303.150756,4.607843,CORRECTINGWRONG,LAZY,24,51
﻿6,446.507053,-156.573602,4.705882,LAZY,LAZY,27,51
﻿7,495.236329,-236.027802,4.666667,COLLISION_WITH_NavModifierVolume23,LAZY,27,51
