Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,97719.816561,38199.163767,62.9,TIMEFINISHED,TIMEFINISHED,6,30
﻿2,101330.664076,38092.377873,61.166667,TIMEFINISHED,TIMEFINISHED,9,30
﻿3,89203.470939,31637.195431,52.633333,TIMEFINISHED,STOP_VIOLATION,5,30
﻿4,99443.860513,38708.860383,58.666667,TIMEFINISHED,TIMEFINISHED,10,30
﻿5,96496.713336,25417.618329,40.7,TIMEFINISHED,TIMEFINISHED,4,30
﻿6,93536.253487,32137.516544,50.8,TIMEFINISHED,TIMEFINISHED,6,30
﻿7,94162.539696,24898.877301,43.733333,TIMEFINISHED,STOP_VIOLATION,5,30
﻿8,77872.928126,21463.413618,42.033333,TIMEFINISHED,STOP_VIOLATION,5,30
﻿9,98183.243261,33783.97958,52.433333,TIMEFINISHED,TIMEFINISHED,6,30
﻿10,94963.623336,38662.323826,61.6,TIMEFINISHED,TIMEFINISHED,7,30
﻿11,89339.462564,32191.176512,53.2,TIMEFINISHED,TIMEFINISHED,7,30
﻿12,91623.09739,36839.038981,59.033333,TIMEFINISHED,TIMEFINISHED,7,30
﻿13,95961.545438,35975.774054,56.5,TIMEFINISHED,TIMEFINISHED,7,30
﻿14,104685.404901,27534.514862,43.766667,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,5,30
﻿15,103371.862483,36063.1074,60.533333,TIMEFINISHED,TIMEFINISHED,9,30
﻿16,96531.540426,35641.333762,56.5,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,5,30
﻿17,97648.904521,37631.470988,60.733333,TIMEFINISHED,TIMEFINISHED,8,30
﻿18,95199.343542,36790.364797,62.0,TIMEFINISHED,TIMEFINISHED,10,30
﻿19,94430.794019,35571.96878,57.2,TIMEFINISHED,TIMEFINISHED,6,30
﻿20,74255.603286,28738.81376,54.066667,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,6,30
﻿21,88875.7198,25214.653014,43.333333,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder230,5,30
﻿22,85090.864077,32636.454203,59.466667,TIMEFINISHED,TIMEFINISHED,8,30
﻿23,98346.920078,36315.963083,58.4,TIMEFINISHED,TIMEFINISHED,10,30
﻿24,88329.075868,31729.404869,54.166667,TIMEFINISHED,TIMEFINISHED,8,30
﻿25,105450.834161,31244.875275,50.533333,TIMEFINISHED,TIMEFINISHED,6,30
﻿26,102146.552595,27412.491306,46.933333,TIMEFINISHED,TIMEFINISHED,6,30
﻿27,92411.177556,36598.630154,57.766667,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,7,30
﻿28,98972.493673,35747.276178,55.266667,TIMEFINISHED,COLLISION_WITH_NavModifierVolume43,6,30
﻿29,95573.335931,30505.391208,49.166667,TIMEFINISHED,TIMEFINISHED,6,30
﻿30,101351.391634,29338.078217,50.366667,TIMEFINISHED,TIMEFINISHED,5,30
﻿31,89429.782714,30932.459401,50.7,TIMEFINISHED,STOP_VIOLATION,5,30
﻿32,86463.433992,30720.259104,48.633333,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,7,30
﻿33,115547.844997,44372.995471,68.466667,TIMEFINISHED,TIMEFINISHED,8,30
﻿34,101157.11027,39805.623775,62.6,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,8,30
﻿35,95244.564668,28600.186785,48.733333,TIMEFINISHED,STOP_VIOLATION,10,30
