Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,221721.097189,3732.985674,46.52,COLLISION_WITH_BP_IntersectionBorder203,CORRECTINGWRONG,8,50
﻿2,67631.834645,2236.431972,20.32,STOP_VIOLATION,STOP_VIOLATION,7,50
﻿3,5080.856614,1978.330129,6.8,CORRECTINGWRONG,LAZY,15,50
﻿4,24422.202766,3043.401906,10.76,CORRECTINGWRONG,LAZY,13,50
﻿5,11980.674784,570.514485,5.24,COLLISION_WITH_NavModifierVolume44,LAZY,15,50
﻿6,13928.606444,1971.446692,7.1,COLLISION_WITH_NavModifierVolume22,LAZY,14,50
﻿7,84565.323453,1726.676529,13.54,COLLISION_WITH_NavModifierVolume142,LAZY,14,50
﻿8,8974.885,1683.381477,14.14,COLLISION_WITH_NavModifierVolume19,LAZY,14,50
﻿9,7129.580343,1950.20337,12.94,COLLISION_WITH_NavModifierVolume22,LAZY,14,50
﻿10,7610.804581,1288.110006,9.24,COLLISION_WITH_BP_IntersectionBorder156,REVERSE,13,50
﻿11,18470.140242,987.394326,26.54,COLLISION_WITH_NavModifierVolume18,LAZY,17,50
﻿12,83228.399458,2432.652355,13.86,STOP_VIOLATION,LAZY,13,50
﻿13,26135.892479,2278.584395,12.42,COLLISION_WITH_NavModifierVolume142,REVERSE,14,50
﻿14,132472.930358,657.925992,15.18,COLLISION_WITH_NavModifierVolume43,LAZY,16,50
﻿15,159868.454135,631.444173,22.04,COLLISION_WITH_NavModifierVolume22,REVERSE,11,50
﻿16,17655.728763,339.22941,11.56,COLLISION_WITH_NavModifierVolume133,LAZY,17,50
﻿17,77014.004675,2689.212459,16.54,STOP_VIOLATION,LAZY,13,50
﻿18,19938.696755,4008.884224,32.84,COLLISION_WITH_BP_IntersectionBorder57,LAZY,14,50
﻿19,98057.361108,2859.248037,17.78,STOP_VIOLATION,LAZY,18,50
﻿20,111358.117103,1778.844294,17.32,COLLISION_WITH_NavModifierVolume53,LAZY,15,50
﻿21,134715.201326,-717.619324,16.14,STOP_VIOLATION,REVERSE,13,50
﻿22,14259.869795,880.787537,5.28,COLLISION_WITH_NavModifierVolume142,LAZY,23,50
﻿23,64140.301581,2168.220343,11.0,CORRECTINGWRONG,LAZY,14,50
﻿24,225364.56237,-1280.659742,29.98,STOP_VIOLATION,LAZY,15,50
﻿25,34664.820593,2941.850871,19.44,COLLISION_WITH_NavModifierVolume49,LAZY,8,50
﻿26,116973.417464,2783.935037,18.98,STOP_VIOLATION,LAZY,21,50
﻿27,9188.380376,3071.104185,11.1,COLLISION_WITH_BP_IntersectionBorder206,LAZY,14,50
﻿28,30432.115591,2220.763663,6.46,COLLISION_WITH_NavModifierVolume133,LAZY,18,50
﻿29,37537.959395,3363.062488,13.1,COLLISION_WITH_NavModifierVolume142,LAZY,16,50
﻿30,89046.225182,1582.818969,13.9,COLLISION_WITH_BP_IntersectionBorder53,LAZY,15,50
﻿31,67991.887901,2155.599082,14.62,COLLISION_WITH_NavModifierVolume43,LAZY,14,50
﻿32,129456.113568,3121.021428,13.94,COLLISION_WITH_NavModifierVolume19,LAZY,15,50
﻿33,19370.259069,-48.147374,9.14,COLLISION_WITH_BP_IntersectionBorder92,LAZY,13,50
﻿34,11367.322792,3273.546836,19.1,COLLISION_WITH_BP_IntersectionBorder94,LAZY,15,50
﻿35,52829.960876,1379.18316,8.36,CORRECTINGWRONG,LAZY,19,50
﻿36,5804.250562,2150.792922,8.06,STOP_VIOLATION,LAZY,20,50
﻿37,24190.076117,2104.267458,12.1,STOP_VIOLATION,REVERSE,13,50
﻿38,77921.701664,543.507279,11.14,COLLISION_WITH_BP_IntersectionBorder206,LAZY,17,50
﻿39,26360.610732,2247.779989,5.5,COLLISION_WITH_NavModifierVolume22,LAZY,17,50
﻿40,52239.775683,2401.061663,9.88,CORRECTINGWRONG,LAZY,15,50
﻿41,30248.360926,2682.651793,9.08,COLLISION_WITH_NavModifierVolume133,LAZY,14,50
﻿42,351.545813,900.391837,7.24,COLLISION_WITH_BP_IntersectionBorder182,LAZY,13,50
﻿43,5663.463537,1646.556957,14.86,COLLISION_WITH_BP_IntersectionBorder10,LAZY,18,50
﻿44,83259.336144,2113.151489,8.96,CORRECTINGWRONG,LAZY,13,50
﻿45,14270.427013,472.98071,9.4,CORRECTINGWRONG,LAZY,19,50
﻿46,15964.179125,2260.450046,10.18,CORRECTINGWRONG,REVERSE,16,50
﻿47,24488.029439,-5933.776948,29.72,TIMEFINISHED,LAZY,16,50
﻿48,5788.798015,772.144146,14.86,STOP_VIOLATION,REVERSE,14,50
﻿49,4771.010293,987.841191,7.44,COLLISION_WITH_BP_IntersectionBorder104,LAZY,16,50
﻿50,10373.49107,1114.322866,6.54,COLLISION_WITH_NavModifierVolume22,LAZY,15,50
﻿51,81321.736484,1508.084943,14.78,COLLISION_WITH_NavModifierVolume16,LAZY,13,50
﻿52,5452.395625,1412.330833,7.12,COLLISION_WITH_BP_IntersectionBorder10,REVERSE,13,50
﻿53,36148.898967,1919.715592,6.8,COLLISION_WITH_NavModifierVolume16,LAZY,19,50
﻿54,36416.189271,5731.198323,16.66,COLLISION_WITH_NavModifierVolume13,LAZY,14,50
﻿55,17365.623752,1237.142987,10.38,STOP_VIOLATION,LAZY,14,50
﻿56,4834.921712,835.644247,17.68,COLLISION_WITH_NavModifierVolume13,LAZY,13,50
﻿57,5864.114195,2370.358775,11.84,COLLISION_WITH_BP_IntersectionBorder29,LAZY,18,50
﻿58,17420.067078,533.196768,5.76,STOP_VIOLATION,LAZY,15,50
﻿59,6112.033248,3830.981586,16.56,COLLISION_WITH_BP_IntersectionBorder29,LAZY,16,50
﻿60,31914.699629,1153.0712,5.76,COLLISION_WITH_NavModifierVolume133,LAZY,13,50
﻿61,105726.45121,3053.508329,13.3,COLLISION_WITH_NavModifierVolume43,LAZY,15,50
﻿62,82765.532156,4564.715669,12.84,COLLISION_WITH_NavModifierVolume16,REVERSE,13,50
﻿63,8134.647598,231.863006,4.66,COLLISION_WITH_BP_IntersectionBorder104,LAZY,14,50
﻿64,19087.625901,2412.041315,7.06,COLLISION_WITH_NavModifierVolume133,LAZY,17,50
﻿65,15463.407693,1002.049413,5.56,COLLISION_WITH_NavModifierVolume16,LAZY,16,50
﻿66,161943.952569,-679.016781,14.6,COLLISION_WITH_NavModifierVolume22,REVERSE,13,50
﻿67,32012.192189,-239.859241,11.34,COLLISION_WITH_NavModifierVolume22,LAZY,15,50
﻿68,136.016237,1503.195992,7.88,COLLISION_WITH_NavModifierVolume133,LAZY,14,50
﻿69,79955.010023,1690.369346,18.08,COLLISION_WITH_BP_IntersectionBorder66,LAZY,18,50
﻿70,81929.841984,1509.619906,11.32,STOP_VIOLATION,LAZY,15,50
﻿71,19156.918849,1612.3445,10.78,COLLISION_WITH_BP_IntersectionBorder92,LAZY,16,50
﻿72,19077.994868,712.094662,11.28,STOP_VIOLATION,LAZY,21,50
﻿73,81523.519376,1562.816412,23.04,STOP_VIOLATION,REVERSE,16,50
﻿74,18851.743126,3223.830281,18.24,STOP_VIOLATION,LAZY,14,50
﻿75,20563.727285,3210.029814,11.24,COLLISION_WITH_NavModifierVolume8,LAZY,17,50
﻿76,5330.12526,1316.411395,8.1,STOP_VIOLATION,LAZY,17,50
﻿77,4979.762708,-27.114156,7.26,COLLISION_WITH_NavModifierVolume61,LAZY,17,50
﻿78,122959.514392,-283.272553,19.52,STOP_VIOLATION,LAZY,17,50
﻿79,5685.516718,1845.556875,9.28,STOP_VIOLATION,LAZY,14,50
﻿80,21301.60502,1122.373263,10.26,COLLISION_WITH_NavModifierVolume49,LAZY,13,50
﻿81,18623.614611,2023.587399,10.58,STOP_VIOLATION,LAZY,17,50
﻿82,39452.725136,1714.495629,11.98,STOP_VIOLATION,LAZY,16,50
﻿83,27984.772998,2618.271058,11.7,COLLISION_WITH_NavModifierVolume133,LAZY,16,50
﻿84,76398.827192,968.289152,11.06,CORRECTINGWRONG,LAZY,13,50
﻿85,91276.597244,4031.538134,12.06,COLLISION_WITH_NavModifierVolume10,LAZY,15,50
﻿86,6032.415948,1552.682194,7.64,COLLISION_WITH_BP_IntersectionBorder10,LAZY,16,50
﻿87,31648.666592,1857.988384,6.64,COLLISION_WITH_NavModifierVolume133,LAZY,17,50
﻿88,13668.060773,3406.831482,7.34,COLLISION_WITH_NavModifierVolume142,LAZY,16,50
﻿89,5640.261919,1963.327741,8.76,STOP_VIOLATION,LAZY,20,50
﻿90,101244.529155,2707.76892,17.48,CORRECTINGWRONG,LAZY,18,50
﻿91,11251.671743,1388.490525,6.44,COLLISION_WITH_NavModifierVolume142,LAZY,17,50
﻿92,19107.255884,3180.879544,11.0,STOP_VIOLATION,LAZY,15,50
﻿93,57866.329335,604.259822,16.68,CORRECTINGWRONG,LAZY,15,50
﻿94,207.478707,3575.319262,10.94,COLLISION_WITH_NavModifierVolume133,LAZY,21,50
﻿95,89321.820112,2630.01113,13.54,CORRECTINGWRONG,LAZY,16,50
﻿96,77728.38686,3183.870387,13.92,COLLISION_WITH_NavModifierVolume16,LAZY,15,50
﻿97,6046.216606,747.250584,12.36,STOP_VIOLATION,REVERSE,14,50
﻿98,11474.593391,1051.09361,8.92,COLLISION_WITH_BP_IntersectionBorder94,LAZY,15,50
﻿99,5307.898473,651.677536,5.96,COLLISION_WITH_BP_IntersectionBorder29,LAZY,20,50
﻿100,10866.015681,511.927914,6.94,STOP_VIOLATION,LAZY,14,50
﻿101,94348.91746,-1130.412632,7.7,STOP_VIOLATION,LAZY,21,50
﻿102,114015.097143,-768.743145,14.14,COLLISION_WITH_BP_IntersectionBorder206,LAZY,15,50
﻿103,17121.655242,4214.320431,11.46,COLLISION_WITH_NavModifierVolume133,LAZY,13,50
﻿104,18010.598923,1153.547139,7.26,COLLISION_WITH_NavModifierVolume133,LAZY,16,50
﻿105,5899.681766,1051.503995,9.78,STOP_VIOLATION,LAZY,15,50
﻿106,53440.140821,-675.413162,8.88,COLLISION_WITH_NavModifierVolume22,LAZY,16,50
﻿107,5942.631987,2336.987062,9.76,STOP_VIOLATION,LAZY,14,50
﻿108,79104.322276,1734.145403,22.98,COLLISION_WITH_NavModifierVolume16,LAZY,14,50
﻿109,30780.540325,4537.267177,12.5,COLLISION_WITH_NavModifierVolume142,LAZY,14,50
﻿110,1158.012286,1115.916846,8.2,COLLISION_WITH_BP_IntersectionBorder164,LAZY,13,50
﻿111,42649.506094,3252.297844,19.24,COLLISION_WITH_BP_IntersectionBorder40,LAZY,15,50
﻿112,17401.866398,1486.57658,15.86,COLLISION_WITH_NavModifierVolume13,LAZY,19,50
﻿113,81660.188946,-529.894569,10.42,COLLISION_WITH_NavModifierVolume59,LAZY,16,50
﻿114,18602.451351,2445.257235,7.32,STOP_VIOLATION,LAZY,18,50
﻿115,10622.563371,44.125079,8.62,COLLISION_WITH_NavModifierVolume142,LAZY,14,50
﻿116,90883.77705,3282.256644,12.44,COLLISION_WITH_BP_IntersectionBorder57,LAZY,16,50
﻿117,36745.088973,2723.642508,8.38,COLLISION_WITH_NavModifierVolume142,LAZY,19,50
﻿118,91287.540258,1621.822539,11.96,COLLISION_WITH_BP_IntersectionBorder53,REVERSE,14,50
﻿119,87616.53646,1560.266585,17.6,CORRECTINGWRONG,LAZY,16,50
﻿120,27182.161051,2977.656775,11.62,COLLISION_WITH_NavModifierVolume17,LAZY,12,50
﻿121,13758.272515,2599.526963,8.82,COLLISION_WITH_NavModifierVolume142,LAZY,15,50
﻿122,36877.631357,2633.991594,8.12,COLLISION_WITH_NavModifierVolume142,LAZY,14,50
﻿123,17487.304657,3676.389729,12.92,COLLISION_WITH_NavModifierVolume133,LAZY,17,50
﻿124,6120.107431,2711.793309,15.26,COLLISION_WITH_BP_IntersectionBorder29,LAZY,13,50
﻿125,4753.788709,1682.711546,8.2,COLLISION_WITH_NavModifierVolume13,LAZY,18,50
﻿126,5805.981271,409.553638,8.32,COLLISION_WITH_BP_IntersectionBorder10,LAZY,15,50
﻿127,81871.299807,3220.499832,11.76,COLLISION_WITH_BP_IntersectionBorder57,LAZY,18,50
﻿128,18841.785219,1630.972841,10.56,STOP_VIOLATION,LAZY,16,50
﻿129,86473.075592,3230.843139,13.22,COLLISION_WITH_NavModifierVolume16,LAZY,16,50
﻿130,189324.977638,2478.6192,21.74,STOP_VIOLATION,LAZY,16,50
﻿131,5082.249565,-1037.870923,7.9,COLLISION_WITH_NavModifierVolume13,LAZY,14,50
﻿132,33475.562195,2319.720085,11.64,COLLISION_WITH_NavModifierVolume142,LAZY,17,50
﻿133,5322.028842,-303.621847,18.38,STOP_VIOLATION,LAZY,18,50
﻿134,76106.638884,954.123633,8.52,STOP_VIOLATION,LAZY,20,50
﻿135,85266.874748,159.858362,8.8,COLLISION_WITH_BP_IntersectionBorder57,LAZY,18,50
﻿136,6545.052482,2777.30682,13.1,COLLISION_WITH_NavModifierVolume3,LAZY,22,50
﻿137,5749.905637,1435.166103,6.52,STOP_VIOLATION,LAZY,15,50
﻿138,140793.868928,2557.456733,17.28,COLLISION_WITH_BP_IntersectionBorder57,LAZY,14,50
﻿139,35162.306539,2452.35098,7.82,COLLISION_WITH_NavModifierVolume142,LAZY,19,50
﻿140,2933.929957,-2048.245186,18.06,STOP_VIOLATION,LAZY,17,50
﻿141,5840.058853,2620.574744,9.88,COLLISION_WITH_NavModifierVolume13,LAZY,14,50
﻿142,11460.927703,817.382185,12.16,COLLISION_WITH_BP_IntersectionBorder94,LAZY,17,50
﻿143,128102.456223,192.629939,15.66,COLLISION_WITH_BP_IntersectionBorder57,LAZY,17,50
﻿144,5252.616874,596.61055,13.9,COLLISION_WITH_NavModifierVolume35,LAZY,13,50
﻿145,11704.648454,1845.927218,8.1,COLLISION_WITH_NavModifierVolume142,LAZY,21,50
﻿146,84440.123747,5217.229456,14.56,COLLISION_WITH_BP_IntersectionBorder57,LAZY,16,50
﻿147,19281.801845,957.828175,11.72,STOP_VIOLATION,LAZY,11,50
﻿148,14289.384949,2530.237288,7.46,COLLISION_WITH_NavModifierVolume142,LAZY,18,50
﻿149,73114.483455,307.883663,14.26,CORRECTINGWRONG,LAZY,14,50
﻿150,15086.45089,-168.296718,9.1,STOP_VIOLATION,LAZY,14,50
﻿151,25808.489643,3247.082728,13.04,STOP_VIOLATION,LAZY,15,50
﻿152,84961.37613,1972.823546,11.58,CORRECTINGWRONG,LAZY,15,50
﻿153,18364.406403,4318.104792,14.94,COLLISION_WITH_BP_IntersectionBorder92,LAZY,19,50
﻿154,134984.320414,2847.32722,14.86,STOP_VIOLATION,LAZY,19,50
﻿155,19185.521708,3827.211436,8.94,COLLISION_WITH_NavModifierVolume22,LAZY,18,50
﻿156,19077.405075,4102.985822,11.48,STOP_VIOLATION,LAZY,18,50
﻿157,15878.126378,2793.687333,11.44,COLLISION_WITH_NavModifierVolume17,LAZY,14,50
﻿158,19660.279979,1507.537189,15.6,STOP_VIOLATION,REVERSE,13,50
﻿159,19701.947517,492.845623,18.12,STOP_VIOLATION,REVERSE,16,50
﻿160,19464.611045,4065.419408,9.42,COLLISION_WITH_NavModifierVolume133,LAZY,16,50
﻿161,14991.596458,40.279745,12.26,COLLISION_WITH_NavModifierVolume133,LAZY,15,50
﻿162,76478.306257,2870.975552,13.14,STOP_VIOLATION,LAZY,16,50
﻿163,170213.315288,5399.618863,27.58,COLLISION_WITH_BP_IntersectionBorder206,LAZY,11,50
﻿164,1853.268748,2718.137102,11.16,REVERSE,LAZY,16,50
