Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-3202.046749,4819.594517,16.4,STOP_VIOLATION,STOP_VIOLATION,8,25
﻿2,7250.391494,2663.204276,15.125,STOP_VIOLATION,STOP_VIOLATION,8,24
﻿3,11742.157305,3269.116428,11.666667,STOP_VIOLATION,STOP_VIOLATION,7,24
﻿4,4486.99604,2692.092056,10.708333,COLLISION_WITH_BP_IntersectionBorder86,STOP_VIOLATION,6,24
﻿5,6823.507739,1927.827887,6.833333,COLLISION_WITH_BP_IntersectionBorder147,LAZY,4,24
﻿6,18767.95612,2554.408897,9.333333,STOP_VIOLATION,LAZY,12,24
﻿7,23930.574668,4683.292863,14.416667,COLLISION_WITH_BP_IntersectionBorder3,STOP_VIOLATION,9,24
﻿8,2426.693649,3076.193876,10.333333,LAZY,STOP_VIOLATION,4,24
﻿9,15972.678214,2446.036792,9.5,STOP_VIOLATION,LAZY,14,24
﻿10,5087.970266,1579.908158,10.333333,STOP_VIOLATION,LAZY,16,24
﻿11,5736.77963,2734.993755,10.458333,COLLISION_WITH_NavModifierVolume43,LAZY,13,24
﻿12,1891.103206,1644.386007,7.958333,COLLISION_WITH_BP_IntersectionBorder51,LAZY,4,24
﻿13,27599.007482,3638.592156,12.541667,STOP_VIOLATION,LAZY,13,24
﻿14,1763.558768,2551.947923,14.916667,STOP_VIOLATION,STOP_VIOLATION,5,24
﻿15,32470.849309,3544.711647,12.666667,STOP_VIOLATION,LAZY,13,24
﻿16,5400.410948,3372.761075,11.666667,COLLISION_WITH_NavModifierVolume58,STOP_VIOLATION,6,24
﻿17,788.587062,547.691702,9.583333,COLLISION_WITH_BP_IntersectionBorder116,LAZY,13,24
﻿18,23335.389165,2631.171583,9.791667,STOP_VIOLATION,LAZY,11,24
﻿19,2649.213356,1705.116537,9.041667,COLLISION_WITH_BP_IntersectionBorder67,LAZY,9,24
﻿20,27365.463484,3637.261366,17.333333,STOP_VIOLATION,STOP_VIOLATION,4,24
