Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-2384.891771,10349.869147,21.686275,STOP_VIOLATION,STOP_VIOLATION,7,51
﻿2,7695.873584,8097.936811,17.22,COLLISION_WITH_NavModifierVolume137,LAZY,6,50
﻿3,19970.981219,8639.810478,18.7,COLLISION_WITH_BP_IntersectionBorder50,LAZY,9,50
﻿4,11482.463447,9047.866015,17.14,COLLISION_WITH_BP_IntersectionBorder147,LAZY,11,50
﻿5,100329.840768,5929.430802,13.32,TIMEFINISHED,LAZY,27,50
﻿6,86014.597438,9540.03186,19.26,TIMEFINISHED,LAZY,12,50
﻿7,26163.957621,3468.468625,11.18,COLLISION_WITH_NavModifierVolume2,LAZY,12,50
﻿8,430.043385,5022.336571,12.92,COLLISION_WITH_BP_IntersectionBorder116,LAZY,28,50
﻿9,59669.874238,6271.791269,14.56,COLLISION_WITH_NavModifierVolume40,LAZY,11,50
﻿10,21792.385889,5702.037283,13.3,STOP_VIOLATION,LAZY,29,50
﻿11,19394.527079,5950.755798,11.96,COLLISION_WITH_NavModifierVolume137,LAZY,8,50
﻿12,50894.107491,6657.411849,14.08,COLLISION_WITH_NavModifierVolume141,LAZY,7,50
﻿13,40096.085723,6832.029832,15.68,COLLISION_WITH_BP_IntersectionBorder67,LAZY,11,50
﻿14,69786.240217,4044.517263,11.28,TIMEFINISHED,LAZY,29,50
﻿15,3735.189888,5306.148087,12.94,COLLISION_WITH_NavModifierVolume14,LAZY,29,50
﻿16,53723.397884,5764.700579,13.12,COLLISION_WITH_NavModifierVolume54,LAZY,27,50
﻿17,22882.407133,5389.478822,13.74,COLLISION_WITH_BP_IntersectionBorder46,LAZY,12,50
﻿18,2791.188454,2312.670633,9.14,COLLISION_WITH_BP_IntersectionBorder86,LAZY,31,50
﻿19,1576.550247,4448.489541,16.12,COLLISION_WITH_BP_IntersectionBorder116,LAZY,28,50
﻿20,24845.10173,4312.354461,12.66,COLLISION_WITH_BP_IntersectionBorder46,LAZY,30,50
﻿21,6132.512405,5386.385653,13.46,COLLISION_WITH_NavModifierVolume58,LAZY,29,50
﻿22,7979.354443,8373.874788,20.06,STOP_VIOLATION,LAZY,8,50
﻿23,10076.384617,4626.688035,12.2,STOP_VIOLATION,LAZY,28,50
﻿24,48874.847432,5275.332648,14.02,COLLISION_WITH_NavModifierVolume141,LAZY,10,50
﻿25,7681.874871,3154.8007,9.78,STOP_VIOLATION,LAZY,31,50
﻿26,15057.196305,7444.987605,16.86,COLLISION_WITH_BP_IntersectionBorder200,LAZY,29,50
﻿27,20715.969425,4435.188151,11.44,COLLISION_WITH_BP_IntersectionBorder86,LAZY,30,50
﻿28,20136.921271,9188.646683,19.52,COLLISION_WITH_BP_IntersectionBorder212,LAZY,29,50
﻿29,20386.978269,6418.137463,15.08,STOP_VIOLATION,LAZY,25,50
﻿30,69844.749883,6877.769112,16.42,COLLISION_WITH_NavModifierVolume40,LAZY,22,50
﻿31,45047.272744,5370.417514,14.02,COLLISION_WITH_NavModifierVolume53,LAZY,29,50
﻿32,17281.871578,5634.802083,13.18,COLLISION_WITH_NavModifierVolume53,LAZY,26,50
﻿33,8501.032697,5618.604086,14.52,COLLISION_WITH_NavModifierVolume53,LAZY,12,50
﻿34,89498.245192,6911.334387,16.44,TIMEFINISHED,LAZY,17,50
﻿35,88985.368767,4962.826198,13.3,TIMEFINISHED,LAZY,30,50
﻿36,72785.960333,9118.713942,16.66,COLLISION_WITH_BP_IntersectionBorder67,LAZY,28,50
﻿37,6569.619469,6152.865378,15.74,STOP_VIOLATION,LAZY,9,50
﻿38,5982.990854,8225.747661,16.58,COLLISION_WITH_BP_IntersectionBorder147,LAZY,11,50
﻿39,21423.699617,7306.147546,16.12,STOP_VIOLATION,LAZY,26,50
﻿40,6288.428715,6413.933838,16.18,LAZY,LAZY,14,50
﻿41,67609.936327,6421.15889,15.56,TIMEFINISHED,LAZY,29,50
﻿42,8426.451511,5231.243693,13.7,STOP_VIOLATION,LAZY,31,50
﻿43,19225.160635,11488.647985,23.98,COLLISION_WITH_NavModifierVolume53,LAZY,31,50
﻿44,15736.235962,11732.545504,21.3,COLLISION_WITH_BP_IntersectionBorder86,LAZY,30,50
﻿45,16345.959348,5986.18534,14.74,COLLISION_WITH_BP_IntersectionBorder150,LAZY,29,50
﻿46,39994.665979,7757.099588,16.24,COLLISION_WITH_NavModifierVolume53,LAZY,29,50
﻿47,93703.143392,8111.005422,17.62,TIMEFINISHED,LAZY,28,50
﻿48,20242.642035,5337.299297,15.56,STOP_VIOLATION,LAZY,30,50
﻿49,85398.400198,8628.544623,18.5,TIMEFINISHED,LAZY,27,50
﻿50,23434.425014,7612.621991,16.48,STOP_VIOLATION,LAZY,31,50
﻿51,7402.80066,6634.759009,15.78,LAZY,LAZY,30,50
﻿52,24311.820494,10912.027351,21.46,COLLISION_WITH_NavModifierVolume43,LAZY,12,50
﻿53,1704.417907,8057.128443,17.84,COLLISION_WITH_NavModifierVolume38,LAZY,22,50
﻿54,66961.923146,10652.383211,22.24,TIMEFINISHED,LAZY,30,50
﻿55,106864.262009,8840.185195,17.7,TIMEFINISHED,LAZY,28,50
﻿56,4766.86025,17564.088709,31.34,COLLISION_WITH_BP_IntersectionBorder86,LAZY,7,50
﻿57,1149.295378,5755.114748,16.36,COLLISION_WITH_NavModifierVolume9,LAZY,18,50
﻿58,69763.01855,6100.42926,15.88,TIMEFINISHED,LAZY,26,50
﻿59,94332.69507,9263.227665,20.0,TIMEFINISHED,LAZY,30,50
﻿60,46054.574352,6853.86134,15.7,COLLISION_WITH_NavModifierVolume53,LAZY,30,50
﻿61,85063.526266,11789.370674,22.02,TIMEFINISHED,LAZY,27,50
﻿62,82729.944835,8427.037153,18.68,TIMEFINISHED,LAZY,30,50
﻿63,12843.601785,7337.346114,17.4,COLLISION_WITH_NavModifierVolume21,LAZY,11,50
﻿64,27180.785037,7007.372236,17.0,STOP_VIOLATION,LAZY,28,50
﻿65,20563.193364,6425.274514,17.96,COLLISION_WITH_BP_IntersectionBorder86,LAZY,27,50
﻿66,6672.195764,8582.84364,21.14,COLLISION_WITH_NavModifierVolume20,LAZY,10,50
﻿67,39572.704998,9917.056431,20.56,STOP_VIOLATION,LAZY,30,50
﻿68,1814.142736,8349.96311,19.5,COLLISION_WITH_BP_IntersectionBorder116,LAZY,29,50
﻿69,76026.106253,8600.457084,17.58,TIMEFINISHED,LAZY,28,50
﻿70,19597.594977,6306.272335,15.18,STOP_VIOLATION,LAZY,30,50
﻿71,25820.6897,9138.433827,20.06,STOP_VIOLATION,LAZY,10,50
﻿72,67267.721237,8376.052783,17.78,COLLISION_WITH_NavModifierVolume53,LAZY,18,50
﻿73,2013.675778,7767.918741,20.46,COLLISION_WITH_BP_IntersectionBorder116,LAZY,10,50
﻿74,27175.782225,8099.426123,19.28,COLLISION_WITH_NavModifierVolume54,LAZY,30,50
﻿75,32549.853146,10512.154051,20.5,COLLISION_WITH_BP_IntersectionBorder86,LAZY,29,50
