Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿1,1.0,-15729.266451,3.0,LAZY,LAZY,60
﻿2,1.0,-35168.503678,4.083333,COLLISION_WITH_NavModifierVolume43,LAZY,27
﻿3,1.0,-1386182.655233,5.866667,CORRECTINGWRONG,LAZY,19
﻿4,1.0,-143613.454586,5.916667,COLLISION_WITH_BP_IntersectionBorder19,LAZY,18
﻿5,1.0,-221616.197411,4.55,COLLISION_WITH_NavModifierVolume12,LAZY,25
﻿6,1.0,-26262.679275,4.933333,COLLISION_WITH_BP_IntersectionBorder19,LAZY,31
﻿7,1.0,-29736.894753,4.9,COLLISION_WITH_BP_IntersectionBorder92,LAZY,31
