Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-9357.007692,-1198.409507,2.807692,COLLISION_WITH_NavModifierVolume37,COLLISION_WITH_NavModifierVolume8,6,52
﻿2,-1032.471781,-538.229764,3.269231,COLLISION_WITH_NavModifierVolume7,LAZY,4,52
﻿3,-2434.047553,-718.820464,3.442308,COLLISION_WITH_NavModifierVolume51,COLLISION_WITH_NavModifierVolume13,3,52
﻿4,2335.590365,-366.65136,3.692308,COLLISION_WITH_NavModifierVolume18,LAZY,5,52
﻿5,-970.428095,-455.453153,3.346154,COLLISION_WITH_NavModifierVolume8,LAZY,5,52
﻿6,-1033.190326,-453.34319,4.384615,COLLISION_WITH_NavModifierVolume8,LAZY,21,52
﻿7,-1519.358124,-477.288741,4.230769,COLLISION_WITH_NavModifierVolume141,LAZY,14,52
﻿8,-971.765518,-488.350037,4.076923,COLLISION_WITH_NavModifierVolume12,LAZY,25,52
﻿9,-1182.198183,-441.984696,3.884615,COLLISION_WITH_NavModifierVolume20,LAZY,16,52
﻿10,-1261.536772,-385.97915,4.75,COLLISION_WITH_NavModifierVolume45,LAZY,20,52
﻿11,-940.195885,-535.752842,4.173077,COLLISION_WITH_NavModifierVolume10,LAZY,24,52
﻿12,-1248.79957,-248.903877,4.134615,COLLISION_WITH_NavModifierVolume5,LAZY,25,52
﻿13,-1410.008892,-342.312479,4.634615,COLLISION_WITH_NavModifierVolume12,LAZY,13,52
﻿14,-518.650451,-103.92893,4.076923,COLLISION_WITH_NavModifierVolume8,LAZY,14,52
﻿15,903.582271,-462.869168,3.730769,COLLISION_WITH_NavModifierVolume2,LAZY,9,52
﻿16,-150.107378,-391.898062,4.25,LAZY,LAZY,24,52
﻿17,-533.045983,-558.640545,4.211538,COLLISION_WITH_NavModifierVolume55,LAZY,18,52
﻿18,6911.628622,-241.488346,5.326923,COLLISION_WITH_NavModifierVolume,LAZY,20,52
﻿19,4655.186702,-71.692464,4.788462,COLLISION_WITH_NavModifierVolume8,LAZY,20,52
﻿20,1952.410738,-467.026592,4.403846,COLLISION_WITH_NavModifierVolume54,LAZY,16,52
﻿21,4580.853434,-183.666553,4.634615,COLLISION_WITH_NavModifierVolume7,LAZY,13,52
﻿22,128.288291,-616.992598,3.461538,COLLISION_WITH_NavModifierVolume20,LAZY,9,52
﻿23,2162.760205,-525.111641,4.538462,COLLISION_WITH_NavModifierVolume141,LAZY,27,52
﻿24,2045.91236,-389.648864,4.096154,COLLISION_WITH_NavModifierVolume15,LAZY,24,52
﻿25,2767.378221,-242.852931,4.634615,COLLISION_WITH_NavModifierVolume11,LAZY,27,52
﻿26,16915.95921,98.494478,4.384615,STOP_VIOLATION,LAZY,24,52
﻿27,1586.987004,-835.496147,3.096154,COLLISION_WITH_NavModifierVolume13,LAZY,5,52
﻿28,344.101566,-547.365751,4.269231,STOP_VIOLATION,LAZY,26,52
﻿29,2080.786366,-273.317568,4.25,YIELD_VIOLATION,LAZY,24,52
﻿30,560.222201,-328.101554,4.307692,COLLISION_WITH_NavModifierVolume55,LAZY,15,52
﻿31,743.563768,-489.696382,4.211538,COLLISION_WITH_NavModifierVolume56,LAZY,25,52
﻿32,6791.190232,-210.578876,4.346154,COLLISION_WITH_NavModifierVolume62,LAZY,20,52
﻿33,216.065766,-518.478216,4.25,COLLISION_WITH_NavModifierVolume45,LAZY,26,52
﻿34,1140.032181,-351.504051,4.615385,COLLISION_WITH_NavModifierVolume141,LAZY,19,52
﻿35,589.837486,-104.91772,4.692308,COLLISION_WITH_NavModifierVolume14,LAZY,15,52
﻿36,1675.58354,-506.504801,4.538462,COLLISION_WITH_NavModifierVolume54,LAZY,26,52
﻿37,1434.867112,-469.700694,4.346154,COLLISION_WITH_NavModifierVolume32,LAZY,7,52
﻿38,474.463499,-565.537219,2.980769,LAZY,LAZY,5,52
﻿39,1187.229569,-280.845087,4.576923,COLLISION_WITH_NavModifierVolume62,LAZY,23,52
﻿40,2615.536211,-405.961656,3.826923,COLLISION_WITH_NavModifierVolume18,LAZY,7,52
﻿41,339.731943,-543.947682,4.653846,COLLISION_WITH_NavModifierVolume55,LAZY,19,52
﻿42,350.763501,-481.693572,4.25,LAZY,LAZY,25,52
﻿43,4770.218511,-252.037314,4.634615,COLLISION_WITH_NavModifierVolume18,LAZY,15,52
﻿44,4994.428142,-338.725333,3.942308,COLLISION_WITH_NavModifierVolume20,LAZY,13,52
﻿45,215.056133,-567.868853,3.788462,COLLISION_WITH_NavModifierVolume28,LAZY,22,52
﻿46,266.835522,-455.80109,4.057692,COLLISION_WITH_NavModifierVolume57,LAZY,27,52
﻿47,4675.524199,-377.481762,4.192308,COLLISION_WITH_NavModifierVolume50,LAZY,12,52
﻿48,5124.301787,-266.580889,4.346154,COLLISION_WITH_NavModifierVolume43,LAZY,18,52
﻿49,2628.319514,-110.529018,5.5,COLLISION_WITH_NavModifierVolume5,LAZY,9,52
﻿50,4042.080158,-267.1248,4.288462,COLLISION_WITH_BP_IntersectionBorder8,LAZY,12,52
﻿51,2138.46887,-418.463528,4.384615,COLLISION_WITH_NavModifierVolume8,LAZY,20,52
﻿52,134.185601,-531.284274,3.769231,COLLISION_WITH_NavModifierVolume55,LAZY,21,52
﻿53,784.140946,-503.777479,3.480769,COLLISION_WITH_NavModifierVolume22,LAZY,8,52
﻿54,10849.818699,-230.410742,3.980769,YIELD_VIOLATION,LAZY,25,52
﻿55,702.288815,-439.656589,3.846154,COLLISION_WITH_NavModifierVolume47,LAZY,20,52
﻿56,1392.050556,-432.27627,4.307692,COLLISION_WITH_NavModifierVolume37,LAZY,21,52
﻿57,415.267873,-268.994558,4.192308,COLLISION_WITH_NavModifierVolume4,LAZY,19,52
﻿58,1173.691637,-426.567372,4.019231,COLLISION_WITH_NavModifierVolume53,LAZY,25,52
﻿59,1889.326368,-399.508445,4.173077,COLLISION_WITH_NavModifierVolume62,LAZY,26,52
﻿60,1191.080677,-595.259146,4.038462,COLLISION_WITH_NavModifierVolume24,LAZY,26,52
﻿61,1545.115385,-609.395822,4.192308,COLLISION_WITH_NavModifierVolume33,LAZY,7,52
﻿62,938.258152,-473.515963,4.442308,COLLISION_WITH_NavModifierVolume32,LAZY,18,52
﻿63,2194.94225,-409.576269,4.288462,COLLISION_WITH_NavModifierVolume3,LAZY,24,52
﻿64,2233.577193,-378.307094,3.865385,COLLISION_WITH_NavModifierVolume53,LAZY,16,52
﻿65,1484.551913,-498.066305,4.076923,COLLISION_WITH_NavModifierVolume141,LAZY,23,52
﻿66,2889.723759,-451.750689,4.538462,COLLISION_WITH_NavModifierVolume8,LAZY,19,52
﻿67,791.061578,-498.857808,4.211538,COLLISION_WITH_NavModifierVolume,LAZY,26,52
﻿68,1855.620572,-454.14076,4.134615,COLLISION_WITH_NavModifierVolume5,LAZY,20,52
﻿69,5344.126632,-496.51443,4.25,COLLISION_WITH_NavModifierVolume140,LAZY,19,52
﻿70,783.114575,-482.471785,4.038462,COLLISION_WITH_NavModifierVolume44,LAZY,28,52
﻿71,1161.764097,-559.672625,4.134615,COLLISION_WITH_NavModifierVolume53,LAZY,25,52
﻿72,1575.721212,-330.69722,4.288462,COLLISION_WITH_NavModifierVolume13,LAZY,14,52
﻿73,286.833795,-552.598594,3.653846,COLLISION_WITH_NavModifierVolume55,LAZY,7,52
﻿74,443.141045,-426.010534,3.365385,COLLISION_WITH_NavModifierVolume12,LAZY,9,52
﻿75,301.825018,-509.63413,3.75,COLLISION_WITH_NavModifierVolume17,LAZY,19,52
﻿76,1915.180108,-463.873851,3.403846,COLLISION_WITH_NavModifierVolume21,LAZY,7,52
﻿77,1445.464798,-505.256501,4.211538,COLLISION_WITH_NavModifierVolume8,LAZY,20,52
﻿78,2058.323543,-502.157267,4.076923,COLLISION_WITH_NavModifierVolume18,LAZY,19,52
﻿79,2394.034435,-413.132332,4.0,COLLISION_WITH_NavModifierVolume22,LAZY,26,52
﻿80,1477.952858,-731.281963,4.461538,COLLISION_WITH_NavModifierVolume40,LAZY,23,52
﻿81,2294.546445,-389.856142,4.173077,COLLISION_WITH_BP_IntersectionBorder35,LAZY,20,52
﻿82,719.904259,-584.387206,3.961538,COLLISION_WITH_NavModifierVolume12,LAZY,17,52
﻿83,1716.281382,-490.224613,4.519231,LAZY,LAZY,28,52
﻿84,5028.813848,-508.359174,4.211538,COLLISION_WITH_NavModifierVolume14,LAZY,26,52
﻿85,303.506224,-705.466542,3.173077,COLLISION_WITH_NavModifierVolume6,LAZY,7,52
﻿86,2345.317247,-295.232849,4.288462,COLLISION_WITH_BP_IntersectionBorder94,LAZY,23,52
﻿87,1166.169765,-461.093284,5.115385,COLLISION_WITH_NavModifierVolume39,LAZY,16,52
﻿88,2462.126147,-320.225234,4.461538,COLLISION_WITH_BP_IntersectionBorder1,LAZY,18,52
﻿89,2428.367718,-213.506092,5.096154,COLLISION_WITH_NavModifierVolume2,LAZY,21,52
﻿90,400.079643,-630.152097,3.903846,COLLISION_WITH_NavModifierVolume47,LAZY,24,52
﻿91,1510.252673,-423.665388,4.307692,COLLISION_WITH_NavModifierVolume57,LAZY,20,52
﻿92,2193.971728,-471.62265,4.269231,STOP_VIOLATION,LAZY,29,52
﻿93,968.529742,-402.901898,4.153846,COLLISION_WITH_NavModifierVolume49,LAZY,24,52
﻿94,846.039939,-554.080593,4.057692,COLLISION_WITH_NavModifierVolume24,LAZY,27,52
﻿95,4722.588795,-390.018834,4.384615,COLLISION_WITH_NavModifierVolume18,LAZY,22,52
﻿96,569.019825,-392.939004,4.673077,LAZY,LAZY,17,52
﻿97,4336.303755,-128.0771,4.269231,COLLISION_WITH_NavModifierVolume8,LAZY,16,52
﻿98,240.434052,-475.499278,4.019231,COLLISION_WITH_NavModifierVolume19,LAZY,24,52
﻿99,535.441348,-591.510911,3.923077,COLLISION_WITH_NavModifierVolume38,LAZY,21,52
﻿100,437.636564,-429.772957,4.153846,COLLISION_WITH_NavModifierVolume38,LAZY,27,52
﻿101,17047.367833,7.306747,4.115385,COLLISION_WITH_NavModifierVolume41,LAZY,27,52
﻿102,1169.529009,-897.707106,2.653846,COLLISION_WITH_NavModifierVolume3,COLLISION_WITH_NavModifierVolume8,5,52
﻿103,2823.789383,-389.12445,4.5,COLLISION_WITH_BP_IntersectionBorder18,LAZY,26,52
﻿104,6762.201439,-501.245736,3.115385,COLLISION_WITH_NavModifierVolume54,LAZY,5,52
﻿105,1379.355257,-395.261567,4.711538,LAZY,LAZY,25,52
﻿106,3071.948593,-321.528367,4.442308,COLLISION_WITH_NavModifierVolume61,LAZY,21,52
﻿107,1318.881678,-491.151215,3.961538,COLLISION_WITH_NavModifierVolume27,LAZY,25,52
﻿108,5519.063299,-401.582321,4.038462,COLLISION_WITH_BP_IntersectionBorder94,LAZY,28,52
﻿109,4718.82525,-255.955785,4.307692,COLLISION_WITH_NavModifierVolume20,LAZY,24,52
﻿110,184.722351,-627.589368,3.134615,COLLISION_WITH_NavModifierVolume14,LAZY,9,52
﻿111,6144.734004,-379.67632,4.230769,YIELD_VIOLATION,LAZY,25,52
﻿112,906.180679,-637.55669,4.019231,COLLISION_WITH_NavModifierVolume57,LAZY,16,52
﻿113,316.937982,-457.229374,3.788462,COLLISION_WITH_NavModifierVolume14,LAZY,22,52
﻿114,785.014208,-518.441596,3.942308,COLLISION_WITH_BP_IntersectionBorder50,LAZY,25,52
﻿115,1676.782841,-313.406853,4.403846,COLLISION_WITH_NavModifierVolume37,LAZY,17,52
﻿116,2221.668123,-385.082256,4.288462,COLLISION_WITH_NavModifierVolume33,LAZY,25,52
﻿117,2953.501818,-374.308378,4.346154,STOP_VIOLATION,LAZY,26,52
﻿118,366.96676,-617.503858,3.923077,COLLISION_WITH_NavModifierVolume15,LAZY,23,52
﻿119,82.647625,-606.867119,3.980769,LAZY,LAZY,28,52
﻿120,678.153783,-598.861131,4.173077,COLLISION_WITH_NavModifierVolume36,LAZY,25,52
﻿121,2141.087666,-675.960306,4.826923,COLLISION_WITH_BP_IntersectionBorder110,LAZY,21,52
﻿122,1631.392309,-343.434211,4.596154,COLLISION_WITH_NavModifierVolume33,LAZY,24,52
﻿123,750.292469,-569.192653,4.25,COLLISION_WITH_NavModifierVolume16,LAZY,24,52
﻿124,2334.946799,-353.74958,4.057692,YIELD_VIOLATION,LAZY,21,52
﻿125,1391.499271,-422.726973,4.096154,COLLISION_WITH_NavModifierVolume51,LAZY,20,52
﻿126,149.70431,-577.714835,4.153846,COLLISION_WITH_NavModifierVolume49,LAZY,27,52
﻿127,2728.449764,-530.553038,4.5,COLLISION_WITH_NavModifierVolume56,LAZY,16,52
﻿128,2104.520455,-555.14157,4.403846,COLLISION_WITH_NavModifierVolume2,LAZY,25,52
﻿129,748.892071,-432.037925,4.096154,COLLISION_WITH_BP_IntersectionBorder116,LAZY,20,52
﻿130,485.264517,-672.616506,4.673077,COLLISION_WITH_NavModifierVolume55,LAZY,13,52
﻿131,663.047736,-606.275167,4.057692,COLLISION_WITH_NavModifierVolume32,LAZY,26,52
﻿132,621.01855,-540.241255,4.096154,COLLISION_WITH_NavModifierVolume10,LAZY,24,52
﻿133,7251.595124,-405.559357,3.730769,COLLISION_WITH_NavModifierVolume2,LAZY,9,52
﻿134,5656.762311,-289.765275,4.307692,COLLISION_WITH_BP_IntersectionBorder107,LAZY,25,52
﻿135,1807.084824,-564.426106,4.307692,COLLISION_WITH_NavModifierVolume19,LAZY,18,52
﻿136,1003.67841,-397.997708,4.192308,COLLISION_WITH_NavModifierVolume15,LAZY,14,52
﻿137,2092.145418,-532.070163,3.615385,COLLISION_WITH_NavModifierVolume20,LAZY,5,52
﻿138,1863.52006,-513.224255,4.230769,COLLISION_WITH_NavModifierVolume35,LAZY,20,52
﻿139,2032.595443,-474.496848,4.326923,COLLISION_WITH_NavModifierVolume61,LAZY,15,52
﻿140,6078.783581,-196.676035,4.326923,YIELD_VIOLATION,LAZY,22,52
﻿141,4977.937115,-459.167603,4.519231,COLLISION_WITH_NavModifierVolume43,LAZY,22,52
﻿142,1656.392534,-588.131202,3.134615,COLLISION_WITH_NavModifierVolume17,LAZY,6,52
﻿143,3286.703497,-418.605376,3.942308,COLLISION_WITH_NavModifierVolume14,LAZY,22,52
﻿144,5519.398038,-296.650283,4.173077,COLLISION_WITH_NavModifierVolume50,LAZY,17,52
﻿145,3875.853229,-339.820425,4.288462,COLLISION_WITH_NavModifierVolume13,LAZY,18,52
﻿146,782.100032,-622.075588,4.096154,COLLISION_WITH_NavModifierVolume32,LAZY,28,52
﻿147,1653.892263,-436.833237,4.25,COLLISION_WITH_NavModifierVolume54,LAZY,24,52
﻿148,897.621564,-349.238453,4.423077,COLLISION_WITH_NavModifierVolume21,LAZY,24,52
﻿149,1152.537497,-481.390384,3.884615,COLLISION_WITH_NavModifierVolume19,LAZY,27,52
﻿150,1572.057198,-505.144125,4.326923,COLLISION_WITH_NavModifierVolume14,LAZY,21,52
﻿151,1062.043704,-213.195131,4.365385,CORRECTINGWRONG,LAZY,22,52
﻿152,2064.521797,-282.312199,4.596154,COLLISION_WITH_NavModifierVolume32,LAZY,22,52
﻿153,611.814246,-483.891866,4.25,COLLISION_WITH_NavModifierVolume13,LAZY,20,52
﻿154,407.893648,-492.94113,4.038462,COLLISION_WITH_NavModifierVolume32,LAZY,26,52
﻿155,1474.199819,-360.516279,3.980769,COLLISION_WITH_NavModifierVolume5,LAZY,25,52
﻿156,710.936917,-443.711692,4.038462,COLLISION_WITH_NavModifierVolume47,LAZY,25,52
﻿157,492.762597,-323.530522,3.884615,COLLISION_WITH_NavModifierVolume7,LAZY,8,52
﻿158,935.763917,-623.668711,4.538462,COLLISION_WITH_NavModifierVolume61,LAZY,20,52
﻿159,452.857458,-673.405708,4.230769,COLLISION_WITH_NavModifierVolume52,LAZY,25,52
﻿160,3786.889074,-491.973404,3.423077,CORRECTINGWRONG,LAZY,15,52
﻿161,5458.92091,-365.621693,4.096154,YIELD_VIOLATION,LAZY,22,52
﻿162,403.196528,-652.555176,4.596154,COLLISION_WITH_NavModifierVolume55,LAZY,25,52
﻿163,2409.305271,-362.804217,4.384615,COLLISION_WITH_BP_IntersectionBorder86,LAZY,17,52
﻿164,2606.329195,-388.195275,4.403846,COLLISION_WITH_NavModifierVolume26,LAZY,13,52
