Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-4296.180653,-358.128987,4.125,COLLISION_WITH_NavModifierVolume44,YIELD_VIOLATION,2,48
﻿2,-852.039346,-599.280501,3.5625,COLLISION_WITH_NavModifierVolume142,COLLISION_WITH_NavModifierVolume30,3,48
﻿3,-705.820362,-140.48507,3.6875,COLLISION_WITH_NavModifierVolume5,COLLISION_WITH_NavModifierVolume8,4,48
﻿4,3061.218077,-680.569161,2.875,STOP_VIOLATION,COLLISION_WITH_NavModifierVolume8,4,48
﻿5,-896.006511,-695.654169,3.833333,COLLISION_WITH_NavModifierVolume142,COLLISION_WITH_NavModifierVolume133,2,48
﻿6,-1413.438557,-444.978751,4.395833,COLLISION_WITH_NavModifierVolume142,LAZY,22,48
﻿7,-2911.223515,-138.695736,4.8125,COLLISION_WITH_NavModifierVolume133,LAZY,22,48
﻿8,-1977.842281,74.252092,5.125,COLLISION_WITH_NavModifierVolume37,LAZY,5,48
﻿9,-1446.007815,-112.471341,4.6875,COLLISION_WITH_NavModifierVolume15,LAZY,18,48
﻿10,-805.040173,37.779152,4.729167,COLLISION_WITH_NavModifierVolume26,LAZY,22,48
﻿11,-2498.484751,-439.002898,4.1875,COLLISION_WITH_BP_IntersectionBorder112,LAZY,10,48
﻿12,-2392.27375,-352.198445,4.520833,COLLISION_WITH_NavModifierVolume37,LAZY,24,48
﻿13,-10980.671955,-501.088827,5.083333,COLLISION_WITH_NavModifierVolume15,LAZY,14,48
﻿14,-813.226936,336.230158,5.1875,COLLISION_WITH_NavModifierVolume15,LAZY,5,48
﻿15,1343.74502,-178.296368,5.479167,COLLISION_WITH_BP_IntersectionBorder116,LAZY,8,48
﻿16,1590.348992,-429.679151,3.979167,COLLISION_WITH_NavModifierVolume10,LAZY,11,48
﻿17,-1523.444358,-518.221492,3.604167,COLLISION_WITH_NavModifierVolume15,LAZY,9,48
﻿18,-150.387262,-495.586177,4.020833,LAZY,LAZY,25,48
﻿19,5021.572007,-531.338251,5.979167,COLLISION_WITH_NavModifierVolume14,LAZY,20,48
﻿20,1813.863415,-521.114067,4.833333,COLLISION_WITH_NavModifierVolume37,LAZY,14,48
﻿21,-1888.254059,-41.618498,4.75,COLLISION_WITH_BP_IntersectionBorder112,LAZY,18,48
﻿22,-150.209422,-491.497667,4.770833,LAZY,LAZY,23,48
﻿23,-324.957619,138.966946,5.395833,COLLISION_WITH_NavModifierVolume54,LAZY,15,48
﻿24,-650.577116,-258.498754,4.333333,COLLISION_WITH_BP_IntersectionBorder112,LAZY,23,48
﻿25,8992.403172,-286.91745,4.333333,YIELD_VIOLATION,LAZY,10,48
﻿26,-309.204395,28.664393,3.8125,COLLISION_WITH_NavModifierVolume54,COLLISION_WITH_NavModifierVolume7,2,48
﻿27,1723.180501,-94.076967,4.604167,COLLISION_WITH_NavModifierVolume133,LAZY,7,48
