Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,85539.651134,21998.314663,37.966667,TIMEFINISHED,TIMEFINISHED,4,30
﻿2,89607.888684,21159.062297,34.3,TIMEFINISHED,TIMEFINISHED,3,30
﻿3,90774.290525,27716.32624,45.1,TIMEFINISHED,TIMEFINISHED,4,30
﻿4,97475.304919,24587.155133,38.1,TIMEFINISHED,TIMEFINISHED,5,30
﻿5,79163.443985,26623.734158,44.333333,TIMEFINISHED,TIMEFINISHED,5,30
﻿6,95904.374867,28248.000947,44.033333,TIMEFINISHED,TIMEFINISHED,5,30
﻿7,91266.453643,28888.733428,46.6,TIMEFINISHED,TIMEFINISHED,5,30
﻿8,80373.487484,26452.03434,47.433333,TIMEFINISHED,TIMEFINISHED,5,30
﻿9,96023.738176,25665.629404,40.533333,TIMEFINISHED,TIMEFINISHED,4,30
﻿10,86067.22276,21492.681328,36.066667,TIMEFINISHED,TIMEFINISHED,4,30
﻿11,96830.347773,22371.361684,38.066667,TIMEFINISHED,TIMEFINISHED,4,30
﻿12,94798.612713,23137.625947,37.166667,TIMEFINISHED,TIMEFINISHED,4,30
﻿13,10082.635489,16832.82573,28.533333,COLLISION_WITH_NavModifierVolume25,COLLISION_WITH_BP_IntersectionBorder192,3,30
﻿14,78518.55505,21403.927547,36.733333,TIMEFINISHED,TIMEFINISHED,3,30
﻿15,95672.018485,24944.864165,42.366667,TIMEFINISHED,TIMEFINISHED,7,30
﻿16,81770.639169,19730.227663,34.2,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,4,30
﻿17,98299.652882,23762.801876,39.6,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,5,30
﻿18,88554.542251,20565.219729,34.933333,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,3,30
﻿19,95040.173357,23649.104812,37.066667,TIMEFINISHED,TIMEFINISHED,4,30
﻿20,96698.534256,27117.430755,42.2,TIMEFINISHED,TIMEFINISHED,5,30
﻿21,104762.005035,32297.990732,49.433333,TIMEFINISHED,TIMEFINISHED,6,30
﻿22,97122.065224,33156.950323,49.4,TIMEFINISHED,TIMEFINISHED,7,30
﻿23,10170.781625,15974.115172,34.1,COLLISION_WITH_NavModifierVolume25,COLLISION_WITH_BP_IntersectionBorder212,4,30
﻿24,83948.380061,23431.665742,41.8,TIMEFINISHED,TIMEFINISHED,6,30
﻿25,95314.710251,25554.572246,38.866667,TIMEFINISHED,TIMEFINISHED,6,30
﻿26,95369.272883,24952.369905,39.966667,TIMEFINISHED,TIMEFINISHED,5,30
﻿27,101406.206677,20367.849341,32.633333,TIMEFINISHED,COLLISION_WITH_NavModifierVolume43,5,30
﻿28,100000.521074,21447.832687,33.6,TIMEFINISHED,TIMEFINISHED,4,30
﻿29,103180.063816,24037.702909,39.066667,TIMEFINISHED,COLLISION_WITH_NavModifierVolume43,4,30
﻿30,97163.245317,21350.090628,34.833333,TIMEFINISHED,STOP_VIOLATION,4,30
﻿31,94964.559855,26665.39372,40.966667,TIMEFINISHED,TIMEFINISHED,5,30
﻿32,95865.790709,28824.495812,44.266667,TIMEFINISHED,TIMEFINISHED,6,30
﻿33,99069.089633,25519.280893,40.833333,TIMEFINISHED,TIMEFINISHED,4,30
﻿34,97068.307833,26707.45912,40.633333,TIMEFINISHED,TIMEFINISHED,4,30
﻿35,107417.746444,28179.252366,43.266667,TIMEFINISHED,TIMEFINISHED,5,30
﻿36,102043.881655,22060.206243,35.833333,TIMEFINISHED,STOP_VIOLATION,5,30
﻿37,99417.20765,32350.510957,50.1,TIMEFINISHED,TIMEFINISHED,7,30
﻿38,99560.027947,22518.895197,35.433333,TIMEFINISHED,TIMEFINISHED,4,30
﻿39,95338.916818,21461.663973,34.2,TIMEFINISHED,TIMEFINISHED,3,30
﻿40,10444.9694,14987.905889,26.133333,COLLISION_WITH_NavModifierVolume25,COLLISION_WITH_BP_IntersectionBorder192,4,30
﻿41,91852.735624,25325.811583,40.4,TIMEFINISHED,COLLISION_WITH_BP_IntersectionBorder221,4,30
﻿42,96573.673151,28469.511023,45.066667,TIMEFINISHED,STOP_VIOLATION,6,30
﻿43,97284.497516,25552.089091,42.3,COLLISION_WITH_BP_IntersectionBorder192,TIMEFINISHED,4,30
﻿44,95888.952156,27820.797549,42.133333,TIMEFINISHED,TIMEFINISHED,7,30
﻿45,95375.048931,28078.948439,42.5,TIMEFINISHED,TIMEFINISHED,6,30
