Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-5963.465861,-1285.308476,3.634615,COLLISION_WITH_NavModifierVolume53,COLLISION_WITH_NavModifierVolume8,3,52
﻿2,-4212.755831,-786.694124,3.211538,TRAFFIC_VIOLATION,LAZY,5,52
﻿3,-556.355601,-881.16106,3.461538,COLLISION_WITH_NavModifierVolume62,COLLISION_WITH_NavModifierVolume8,4,52
﻿4,-915.171674,-534.688955,3.307692,COLLISION_WITH_NavModifierVolume62,LAZY,5,52
﻿5,-682.327223,-11.848777,4.865385,COLLISION_WITH_NavModifierVolume62,LAZY,14,52
