Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-3596.194223,14.114595,5.803922,COLLISION_WITH_NavModifierVolume,LAZY,38,51
﻿2,-2484.317684,-221.740532,4.960784,COLLISION_WITH_BP_IntersectionBorder50,LAZY,9,51
﻿3,-2050.049182,-269.31811,3.568627,COLLISION_WITH_NavModifierVolume141,LAZY,6,51
﻿4,-2818.462908,-459.874169,3.196078,COLLISION_WITH_BP_IntersectionBorder71,LAZY,6,51
﻿5,-607.893857,-200.541913,4.352941,COLLISION_WITH_NavModifierVolume9,LAZY,14,51
﻿6,-315.200337,-261.351443,2.627451,COLLISION_WITH_NavModifierVolume9,LAZY,5,51
﻿7,-226.934186,-529.75877,2.235294,COLLISION_WITH_NavModifierVolume9,LAZY,7,51
﻿8,-5348.913377,-611.1782,2.235294,COLLISION_WITH_BP_IntersectionBorder27,LAZY,6,51
﻿9,-150.574642,-135.707889,3.784314,LAZY,LAZY,24,51
﻿10,6078.283696,45.677919,5.333333,COLLISION_WITH_BP_IntersectionBorder106,LAZY,47,51
﻿11,3359.762558,254.327518,6.372549,STOP_VIOLATION,LAZY,26,51
﻿12,1499.76621,174.923154,5.666667,COLLISION_WITH_NavModifierVolume21,LAZY,29,51
﻿13,6952.650862,168.826919,5.352941,COLLISION_WITH_NavModifierVolume54,LAZY,21,51
﻿14,-75.198056,386.921317,5.588235,LAZY,LAZY,14,51
﻿15,1323.383482,227.407556,5.27451,COLLISION_WITH_NavModifierVolume39,LAZY,17,51
﻿16,7350.550933,77.998844,5.705882,CORRECTINGWRONG,LAZY,35,51
﻿17,1668.307984,14.176212,4.196078,COLLISION_WITH_NavModifierVolume18,LAZY,17,51
﻿18,442.949426,-6.906443,4.647059,COLLISION_WITH_NavModifierVolume25,LAZY,31,51
