Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1150,7219.209538,2576.130365,10.431373,COLLISION_WITH_NavModifierVolume21,LAZY,28,51
﻿1151,55767.364871,2321.824273,9.431373,COLLISION_WITH_NavModifierVolume53,LAZY,26,51
﻿1152,76985.305278,2487.889276,8.745098,TIMEFINISHED,LAZY,31,51
﻿1153,5669.368083,3173.406654,11.313725,STOP_VIOLATION,LAZY,30,51
﻿1154,57032.002952,2942.377411,9.235294,STOP_VIOLATION,LAZY,26,51
﻿1155,24690.286611,1086.708066,7.156863,COLLISION_WITH_NavModifierVolume53,LAZY,15,51
﻿1156,11561.649914,1303.737307,8.647059,COLLISION_WITH_BP_IntersectionBorder150,LAZY,27,51
﻿1157,13049.562175,2155.488128,11.607843,COLLISION_WITH_BP_IntersectionBorder101,LAZY,25,51
﻿1158,11372.923969,954.686754,7.294118,COLLISION_WITH_BP_IntersectionBorder107,LAZY,24,51
﻿1159,4910.688606,2206.076849,7.823529,STOP_VIOLATION,LAZY,20,51
﻿1160,5736.17814,2666.137402,9.941176,STOP_VIOLATION,LAZY,15,51
﻿1161,36747.879726,2026.686384,9.607843,COLLISION_WITH_NavModifierVolume141,LAZY,21,51
﻿1162,11011.303772,3023.635991,9.72549,STOP_VIOLATION,LAZY,14,51
﻿1163,9417.876345,1539.901882,7.921569,COLLISION_WITH_NavModifierVolume43,LAZY,34,51
﻿1164,9613.759241,1149.918496,7.411765,COLLISION_WITH_NavModifierVolume60,LAZY,24,51
﻿1165,1544.262309,1042.434134,6.411765,STOP_VIOLATION,LAZY,26,51
﻿1166,3272.424102,797.232451,8.45098,STOP_VIOLATION,LAZY,20,51
﻿1167,5913.237472,404.830874,5.686275,STOP_VIOLATION,LAZY,28,51
﻿1168,10558.619517,1440.993778,7.843137,STOP_VIOLATION,LAZY,25,51
﻿1169,22651.313231,1673.080875,8.882353,COLLISION_WITH_BP_IntersectionBorder229,LAZY,23,51
﻿1170,4157.214413,2044.38844,7.764706,STOP_VIOLATION,LAZY,12,51
﻿1171,6241.032293,1088.374414,7.313725,STOP_VIOLATION,LAZY,21,51
﻿1172,9246.111228,1318.870092,7.078431,COLLISION_WITH_BP_IntersectionBorder86,LAZY,24,51
﻿1173,11156.465808,3377.051845,10.470588,STOP_VIOLATION,LAZY,25,51
﻿1174,66492.755331,2556.32675,10.117647,TIMEFINISHED,LAZY,26,51
﻿1175,13271.630926,672.526287,6.803922,STOP_VIOLATION,LAZY,25,51
﻿1176,6310.650106,2101.175065,9.45098,STOP_VIOLATION,LAZY,16,51
﻿1177,11772.198068,1009.608363,6.882353,COLLISION_WITH_NavModifierVolume43,LAZY,20,51
﻿1178,10532.294738,1916.782219,9.333333,STOP_VIOLATION,LAZY,20,51
﻿1179,11592.872161,1484.742337,8.27451,LAZY,LAZY,23,51
﻿1180,10291.454528,832.536035,6.784314,COLLISION_WITH_BP_IntersectionBorder147,LAZY,20,51
﻿1181,29441.645748,724.539906,5.627451,COLLISION_WITH_BP_IntersectionBorder15,LAZY,28,51
﻿1182,6549.65805,2336.312597,11.705882,STOP_VIOLATION,LAZY,25,51
﻿1183,46816.034492,2871.805969,9.431373,COLLISION_WITH_NavModifierVolume5,LAZY,10,51
﻿1184,13788.869356,1434.544896,8.607843,STOP_VIOLATION,LAZY,23,51
﻿1185,3905.816238,1037.100416,6.607843,STOP_VIOLATION,LAZY,24,51
﻿1186,23475.598895,1208.811109,6.058824,COLLISION_WITH_NavModifierVolume141,LAZY,10,51
﻿1187,10717.593241,2327.456083,11.313725,STOP_VIOLATION,LAZY,25,51
﻿1188,7773.210385,878.425458,7.039216,STOP_VIOLATION,LAZY,17,51
﻿1189,14219.199283,1583.588588,7.784314,STOP_VIOLATION,LAZY,29,51
﻿1190,6452.950558,867.24826,7.156863,STOP_VIOLATION,LAZY,24,51
﻿1191,6269.487714,1877.701783,9.72549,COLLISION_WITH_NavModifierVolume19,LAZY,17,51
﻿1192,974.209681,1200.640236,7.392157,STOP_VIOLATION,LAZY,17,51
﻿1193,9127.108843,1808.577662,9.058824,STOP_VIOLATION,LAZY,27,51
﻿1194,4333.104694,2230.402913,10.0,STOP_VIOLATION,LAZY,12,51
﻿1195,10695.067876,2712.506598,8.921569,STOP_VIOLATION,LAZY,13,51
﻿1196,52116.698577,1660.390778,7.72549,COLLISION_WITH_NavModifierVolume141,LAZY,29,51
﻿1197,2632.975874,778.519413,6.666667,COLLISION_WITH_NavModifierVolume21,LAZY,25,51
﻿1198,73546.509893,3146.779612,10.196078,COLLISION_WITH_BP_IntersectionBorder19,LAZY,12,51
