issue_iid,issue_id,titulo,tipo,estado,milestone,sprint_numero,labels,autor,autor_username,asignado_a,asignado_username,fecha_inicio,fecha_fin,duracion_planificada_dias,duracion_estimada_dias,creado_utc,actualizado_utc,cerrado_utc,descripcion,num_comentarios,primer_comentario_fecha,ultimo_comentario_fecha,autores_comentarios,ultimo_comentario,comentarios,url
62,189320244,REFINAMIENTO DE VALIDACIÓN EN CRUCES Y MANIOBRAS,Issue,Closed,SPRINT 9 - Refinamiento de intersecciones y lógica de comportamiento base,9,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-14,2026-04-17,4,,2026-04-30 10:03:38,2026-04-30 10:04:15,2026-04-30 10:04:15,,1,2026-04-30 10:04:16,2026-04-30 10:04:16,Sergio Alves Martín (@salvem00),"Implementación de penalizaciones específicas por retroceso (ReversePenalty) y mejora del sistema CheckStuck para detectar inactividad (""Lazy""). | Resolución de fallos en la validación de intersecciones que permitían bloqueos indefinidos mediante el uso de CrossingZones. | Sincronización de los IDs de chequeo (StopCrossingCheckID) para garantizar una reanudación segura de la marcha.","1. [2026-04-30 10:04:16] Sergio Alves Martín (@salvem00): Implementación de penalizaciones específicas por retroceso (ReversePenalty) y mejora del sistema CheckStuck para detectar inactividad (""Lazy""). | Resolución de fallos en la validación de intersecciones que permitían bloqueos indefinidos mediante el uso de CrossingZones. | Sincronización de los IDs de chequeo (StopCrossingCheckID) para garantizar una reanudación segura de la marcha.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/62
63,189320726,IMPLEMENTACIÓN DE FITNESS AVANZADO Y COMPORTAMIENTO ESTÁTICO,Issue,Closed,SPRINT 10 - Suavizado de control y estabilización del sistema evolutivo,10,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-20,2026-04-23,4,,2026-04-30 10:16:00,2026-04-30 10:16:55,2026-04-30 10:16:55,,1,2026-04-30 10:16:56,2026-04-30 10:16:56,Sergio Alves Martín (@salvem00),Introducción de la penalización por girar las ruedas mientras el vehículo está detenido (SteeringWhileStopped). | Implementación del CreepingPenalty para castigar el movimiento lento excesivo en líneas de parada. | Ajuste de las funciones de fitness para premiar el mantenimiento de la velocidad máxima permitida en trayectos despejados.,1. [2026-04-30 10:16:56] Sergio Alves Martín (@salvem00): Introducción de la penalización por girar las ruedas mientras el vehículo está detenido (SteeringWhileStopped). | Implementación del CreepingPenalty para castigar el movimiento lento excesivo en líneas de parada. | Ajuste de las funciones de fitness para premiar el mantenimiento de la velocidad máxima permitida en trayectos despejados.,https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/63
64,189320780,IMPLEMENTACIÓN DE SISTEMAS DE TIEMPO DE GRACIA Y MEJORA DE ESTADÍSTICAS,Issue,Closed,SPRINT 10 - Suavizado de control y estabilización del sistema evolutivo,10,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-24,2026-04-27,4,,2026-04-30 10:17:27,2026-04-30 10:18:23,2026-04-30 10:18:23,,1,2026-04-30 10:18:24,2026-04-30 10:18:24,Sergio Alves Martín (@salvem00),"Desarrollo del sistema ResumeGraceTime para evitar penalizaciones por inactividad inmediatamente después de una parada legal. | Mejora de la exportación de resultados estadísticos, incluyendo tasas de éxito y razones de muerte por generación. | Optimización del sistema de reparto de puntos de inicio mediante SpawnBag para asegurar variabilidad poblacional.","1. [2026-04-30 10:18:24] Sergio Alves Martín (@salvem00): Desarrollo del sistema ResumeGraceTime para evitar penalizaciones por inactividad inmediatamente después de una parada legal. | Mejora de la exportación de resultados estadísticos, incluyendo tasas de éxito y razones de muerte por generación. | Optimización del sistema de reparto de puntos de inicio mediante SpawnBag para asegurar variabilidad poblacional.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/64
65,189320814,OPTIMIZACIÓN DE ARQUITECTURA Y REFINAMIENTO POBLACIONAL,Issue,Closed,SPRINT 10 - Suavizado de control y estabilización del sistema evolutivo,10,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-27,2026-04-30,4,,2026-04-30 10:18:34,2026-04-30 10:19:41,2026-04-30 10:19:41,,1,2026-04-30 10:19:42,2026-04-30 10:19:42,Sergio Alves Martín (@salvem00),Implementación (TEMPORAL) de límites en la tasa de cambio de dirección (MaxSteeringRate) y aceleración (MaxThrottleRate) para un control más físico. | Evaluación de la respuesta directa de la red neuronal eliminando temporalmente el control gradual de pasos. | Ampliación de la arquitectura de la red neuronal incrementando a 16 el número de neuronas en la capa oculta. | Reequilibrio de las cuotas de mutación en la generación para ajustar la evolución entre pesos cargados y mejores pesos históricos.,1. [2026-04-30 10:19:42] Sergio Alves Martín (@salvem00): Implementación (TEMPORAL) de límites en la tasa de cambio de dirección (MaxSteeringRate) y aceleración (MaxThrottleRate) para un control más físico. | Evaluación de la respuesta directa de la red neuronal eliminando temporalmente el control gradual de pasos. | Ampliación de la arquitectura de la red neuronal incrementando a 16 el número de neuronas en la capa oculta. | Reequilibrio de las cuotas de mutación en la generación para ajustar la evolución entre pesos cargados y mejores pesos históricos.,https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/65
98,193728424,IMPLEMENTACIÓN DE TASA DE MUTACIÓN DINÁMICA Y ELITISMO VISUAL,Issue,Closed,SPRINT 11 - Refinamiento de lógica evolutiva y validación de paradas,11,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-05-01,2026-05-07,7,4,2026-07-01 18:55:44,2026-07-01 19:09:48,2026-07-01 19:09:48,Duración estimada: 4 días,1,2026-07-01 19:09:48,2026-07-01 19:09:48,Sergio Alves Martín (@salvem00),"Se ha implementado una lógica de **tasa de mutación dinámica** que aumenta proporcionalmente a las generaciones sin mejora, facilitando la salida de mínimos locales. Además, se añadió un sistema de **colores distintivos** para identificar visualmente al mejor coche de la sesión actual y al modelo histórico cargado durante el entrenamiento","1. [2026-07-01 19:09:48] Sergio Alves Martín (@salvem00): Se ha implementado una lógica de **tasa de mutación dinámica** que aumenta proporcionalmente a las generaciones sin mejora, facilitando la salida de mínimos locales. Además, se añadió un sistema de **colores distintivos** para identificar visualmente al mejor coche de la sesión actual y al modelo histórico cargado durante el entrenamiento",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/98
99,193728425,REFINAMIENTO DE VALIDACIÓN DE PARADA Y TIEMPOS DE ESPERA,Issue,Closed,SPRINT 11 - Refinamiento de lógica evolutiva y validación de paradas,11,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-05-07,2026-05-15,9,5,2026-07-01 18:55:44,2026-07-01 19:10:42,2026-07-01 19:10:42,Duración estimada: 5 días,1,2026-07-01 19:10:43,2026-07-01 19:10:43,Sergio Alves Martín (@salvem00),"Refinamiento de la función **ComputeStopValidationData** en señales de STOP. Ahora el modelo diferencia entre una parada técnica correcta y una aproximación lenta, integrando **bonificadores basados en el tiempo de espera aprendido** por la propia población de vehículos","1. [2026-07-01 19:10:43] Sergio Alves Martín (@salvem00): Refinamiento de la función **ComputeStopValidationData** en señales de STOP. Ahora el modelo diferencia entre una parada técnica correcta y una aproximación lenta, integrando **bonificadores basados en el tiempo de espera aprendido** por la propia población de vehículos",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/99
100,193728426,SISTEMA DE PENALIZACIÓN POR COLISIÓN DIRECCIONAL EN INTERSECCIONES,Issue,Closed,SPRINT 12 - Penalizaciones de colisión direccional y telemetría extendida,12,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-05-15,2026-05-23,9,5,2026-07-01 18:55:45,2026-07-01 19:11:31,2026-07-01 19:11:31,Duración estimada: 5 días,1,2026-07-01 19:11:32,2026-07-01 19:11:32,Sergio Alves Martín (@salvem00),Desarrollo del sistema de **colisiones direccionales** mediante el blueprint **BP_IntersectionBorders**. Ahora los vehículos reciben penalizaciones severas si colisionan mientras ejecutan un giro contrario a su intención de dirección (**DirectionIntent**) declarada al entrar en la intersección,1. [2026-07-01 19:11:32] Sergio Alves Martín (@salvem00): Desarrollo del sistema de **colisiones direccionales** mediante el blueprint **BP_IntersectionBorders**. Ahora los vehículos reciben penalizaciones severas si colisionan mientras ejecutan un giro contrario a su intención de dirección (**DirectionIntent**) declarada al entrar en la intersección,https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/100
101,193728427,DESARROLLO DE NAV_VIOLATION Y PENALIZACIONES POR MARCHA ATRÁS,Issue,Closed,SPRINT 12 - Penalizaciones de colisión direccional y telemetría extendida,12,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-05-22,2026-06-01,11,5,2026-07-01 18:55:45,2026-07-01 19:12:06,2026-07-01 19:12:06,Duración estimada: 5 días,1,2026-07-01 19:12:07,2026-07-01 19:12:07,Sergio Alves Martín (@salvem00),"Implementación de la razón de muerte **NAV_VIOLATION**, que monitoriza el tiempo acumulado fuera de los carriles legales. Se ajustó también la penalización por **marcha atrás (DeltaReversePenalty)**, que ahora escala de forma cuadrática con la velocidad para evitar que el modelo abuse de la reversa para corregir errores","1. [2026-07-01 19:12:07] Sergio Alves Martín (@salvem00): Implementación de la razón de muerte **NAV_VIOLATION**, que monitoriza el tiempo acumulado fuera de los carriles legales. Se ajustó también la penalización por **marcha atrás (DeltaReversePenalty)**, que ahora escala de forma cuadrática con la velocidad para evitar que el modelo abuse de la reversa para corregir errores",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/101
102,193728428,INTEGRACIÓN DE LÓGICA DE ROTONDAS Y SENSORES DE ENTRADA/SALIDA,Issue,Closed,SPRINT 13 - Implementación de rotondas y estadísticas de salida,13,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-06-01,2026-06-10,10,7,2026-07-01 18:55:45,2026-07-01 19:12:48,2026-07-01 19:12:48,Duración estimada: 7 días,1,2026-07-01 19:12:49,2026-07-01 19:12:49,Sergio Alves Martín (@salvem00),Integración de la lógica de **rotondas** en **BP_IntersectionTrigger**. Se han añadido sensores de entrada y salida que gestionan el conteo de giros y otorgan un **bonificador por completado (RndCompletionBonus)** basado en la fluidez y la ausencia de obstáculos frontales durante la maniobra,1. [2026-07-01 19:12:49] Sergio Alves Martín (@salvem00): Integración de la lógica de **rotondas** en **BP_IntersectionTrigger**. Se han añadido sensores de entrada y salida que gestionan el conteo de giros y otorgan un **bonificador por completado (RndCompletionBonus)** basado en la fluidez y la ausencia de obstáculos frontales durante la maniobra,https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/102
103,193728429,EXPANSIÓN DE TELEMETRÍA ESPECÍFICA PARA ANÁLISIS DE ROTONDAS,Issue,Closed,SPRINT 13 - Implementación de rotondas y estadísticas de salida,13,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-06-11,2026-06-20,10,6,2026-07-01 18:55:46,2026-07-01 19:13:23,2026-07-01 19:13:23,Duración estimada: 6 días,1,2026-07-01 19:13:24,2026-07-01 19:13:24,Sergio Alves Martín (@salvem00),"Expansión masiva de **Fitness_Debug.csv** para incluir **30 nuevas variables de telemetría** específicas para rotondas. Esto permite analizar el rendimiento por salida (Exit 1, 2 o 3+), registrar colisiones internas y evaluar el ángulo de giro (**SteeringInRoundabout**) empleado por los mejores modelos","1. [2026-07-01 19:13:24] Sergio Alves Martín (@salvem00): Expansión masiva de **Fitness_Debug.csv** para incluir **30 nuevas variables de telemetría** específicas para rotondas. Esto permite analizar el rendimiento por salida (Exit 1, 2 o 3+), registrar colisiones internas y evaluar el ángulo de giro (**SteeringInRoundabout**) empleado por los mejores modelos",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/103
104,193728430,SISTEMA DE DETECCIÓN DE SOLAPAMIENTO Y DISTANCIA ENTRE VEHÍCULOS,Issue,Closed,SPRINT 14 - Interacción entre vehículos y optimización de cedas,14,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-06-22,2026-06-26,5,4,2026-07-01 18:55:46,2026-07-01 19:14:03,2026-07-01 19:14:03,Duración estimada: 4 días,1,2026-07-01 19:14:04,2026-07-01 19:14:04,Sergio Alves Martín (@salvem00),"Introducción de **Debug_NumCarOverlaps** y **CarOverlapPenaltyShadow**. Este sistema detecta cuando un vehículo invade el espacio personal de otro antes de la colisión física, permitiendo al modelo **aprender a mantener la distancia de seguridad** mediante una penalización progresiva en el fitness","1. [2026-07-01 19:14:04] Sergio Alves Martín (@salvem00): Introducción de **Debug_NumCarOverlaps** y **CarOverlapPenaltyShadow**. Este sistema detecta cuando un vehículo invade el espacio personal de otro antes de la colisión física, permitiendo al modelo **aprender a mantener la distancia de seguridad** mediante una penalización progresiva en el fitness",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/104
105,193728431,OPTIMIZACIÓN DE COLAS DINÁMICAS DE LIBERACIÓN EN CEDAS (YIELD),Issue,Closed,SPRINT 14 - Interacción entre vehículos y optimización de cedas,14,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-06-29,2026-07-01,3,3,2026-07-01 18:55:46,2026-07-01 19:14:38,2026-07-01 19:14:38,Duración estimada: 3 días,1,2026-07-01 19:14:38,2026-07-01 19:14:38,Sergio Alves Martín (@salvem00),"Rediseño del sistema de liberación en señales de Ceda el Paso mediante **colas dinámicas (PendingReleaseYieldCars)**. La nueva lógica **Recheck_YieldRelease** verifica cada 0.3 segundos si el cruce está libre, permitiendo reanudar la marcha de forma más eficiente y evitando bloqueos innecesarios en la simulación","1. [2026-07-01 19:14:38] Sergio Alves Martín (@salvem00): Rediseño del sistema de liberación en señales de Ceda el Paso mediante **colas dinámicas (PendingReleaseYieldCars)**. La nueva lógica **Recheck_YieldRelease** verifica cada 0.3 segundos si el cruce está libre, permitiendo reanudar la marcha de forma más eficiente y evitando bloqueos innecesarios en la simulación",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/105
