issue_iid,issue_id,titulo,tipo,estado,milestone,sprint_numero,labels,autor,autor_username,asignado_a,asignado_username,fecha_inicio,fecha_fin,duracion_planificada_dias,duracion_estimada_dias,creado_utc,actualizado_utc,cerrado_utc,descripcion,num_comentarios,primer_comentario_fecha,ultimo_comentario_fecha,autores_comentarios,ultimo_comentario,comentarios,url
52,189230185,IMPLEMENTACIÓN DE MODO TEST PARA EL MODELO,Issue,Closed,"SPRINT 7 - Modo TEST, corrección y ajustes de la RN, normalización del Fitness y mejora SpawnPoints",7,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-05,2026-03-09,5,,2026-04-29 12:43:04,2026-04-29 12:45:29,2026-04-29 12:45:29,,1,2026-04-29 12:45:30,2026-04-29 12:45:30,Sergio Alves Martín (@salvem00),"Implementación de un modo TEST que carga el mejor modelo y lo genera en los spawnpoints disponibles. Solo guarda datos, no muta ni cambian pesos y tiene la opción de ser un test de un solo vehículo seleccionando un único punto en el mapa.","1. [2026-04-29 12:45:30] Sergio Alves Martín (@salvem00): Implementación de un modo TEST que carga el mejor modelo y lo genera en los spawnpoints disponibles. Solo guarda datos, no muta ni cambian pesos y tiene la opción de ser un test de un solo vehículo seleccionando un único punto en el mapa.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/52
53,189230356,"MEJORA DEL ANÁLISIS DE DATOS, CAMBIOS EN LAS PENALIZACIONES Y AJUSTES EVOLUTIVOS",Issue,Closed,"SPRINT 7 - Modo TEST, corrección y ajustes de la RN, normalización del Fitness y mejora SpawnPoints",7,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-09,2026-03-11,3,,2026-04-29 12:46:46,2026-04-29 12:49:41,2026-04-29 12:49:41,,1,2026-04-29 12:49:42,2026-04-29 12:49:42,Sergio Alves Martín (@salvem00),"Guardado y exportación completa de datos en el fitness, se refinan las muertes por reversa o corregir erroneamente la dirección, y se modifican los parametros evolutivos.","1. [2026-04-29 12:49:42] Sergio Alves Martín (@salvem00): Guardado y exportación completa de datos en el fitness, se refinan las muertes por reversa o corregir erroneamente la dirección, y se modifican los parametros evolutivos.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/53
54,189230594,"NORMALIZACIÓN DEL FITNESS x SPAWN, AJUSTE BORDES DEL MAPA, MEJORAS Y CAMBIOS DEL TEST",Issue,Closed,"SPRINT 7 - Modo TEST, corrección y ajustes de la RN, normalización del Fitness y mejora SpawnPoints",7,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-11,2026-03-16,6,,2026-04-29 12:49:52,2026-04-29 12:55:17,2026-04-29 12:55:17,,1,2026-04-29 12:55:20,2026-04-29 12:55:20,Sergio Alves Martín (@salvem00),"Se implementa la dinámica de normalización del fitness. Ahora, para la elección del mejor modelo en una generación se tiene en cuenta el rendimiento general que se ha tenido en ese spawn anteriormente. Se ajustan los bordes del mapa para el correcto entendimiento de los rayos del vehículo. También se mejora el modo test, con tiempo máximo, y tiempo/fitness máximo.","1. [2026-04-29 12:55:20] Sergio Alves Martín (@salvem00): Se implementa la dinámica de normalización del fitness. Ahora, para la elección del mejor modelo en una generación se tiene en cuenta el rendimiento general que se ha tenido en ese spawn anteriormente. Se ajustan los bordes del mapa para el correcto entendimiento de los rayos del vehículo. También se mejora el modo test, con tiempo máximo, y tiempo/fitness máximo.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/54
55,189230961,MEJORA SPAWNPOINTS,Issue,Closed,"SPRINT 7 - Modo TEST, corrección y ajustes de la RN, normalización del Fitness y mejora SpawnPoints",7,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-17,2026-03-19,3,,2026-04-29 12:55:29,2026-04-29 12:58:25,2026-04-29 12:58:18,,1,2026-04-29 12:58:19,2026-04-29 12:58:19,Sergio Alves Martín (@salvem00),"Se implementa una dinámica mejorada y dinámica para los SpawnPoints, fáciles de colocar y automaticamente válidos para la bolsa de opciones de generación de coches.","1. [2026-04-29 12:58:19] Sergio Alves Martín (@salvem00): Se implementa una dinámica mejorada y dinámica para los SpawnPoints, fáciles de colocar y automaticamente válidos para la bolsa de opciones de generación de coches.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/55
56,189232121,INTRODUCCIÓN INICIAL DE SEÑALES Y SEMÁFOROS A LA RN,Issue,Closed,"SPRINT 8 - Implementación Señales y Semáforos a la RN, modo TRAINTEST y mejora rendimiento",8,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-24,2026-03-30,7,,2026-04-29 13:11:07,2026-04-29 13:15:48,2026-04-29 13:15:48,,1,2026-04-29 13:15:53,2026-04-29 13:15:53,Sergio Alves Martín (@salvem00),"Remodelación completa de los BP de semáforos, cedas y stops. Introducción de nuevos inputs en el modelo, para la interacción de los vehículos con las señales de tráfico y semáforos.","1. [2026-04-29 13:15:53] Sergio Alves Martín (@salvem00): Remodelación completa de los BP de semáforos, cedas y stops. Introducción de nuevos inputs en el modelo, para la interacción de los vehículos con las señales de tráfico y semáforos.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/56
57,189232457,IMPLEMENTACIÓN DE ZONAS DE ESPERA,Issue,Closed,"SPRINT 8 - Implementación Señales y Semáforos a la RN, modo TRAINTEST y mejora rendimiento",8,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-03-30,2026-03-31,2,,2026-04-29 13:16:01,2026-04-29 13:19:44,2026-04-29 13:19:44,,1,2026-04-29 13:19:45,2026-04-29 13:19:45,Sergio Alves Martín (@salvem00),Implementación de zonas de entrada y espera previas a una señal o semáforo. Se tratan de cajas de colisión dinámicas que detectan la presencia del coche.,1. [2026-04-29 13:19:45] Sergio Alves Martín (@salvem00): Implementación de zonas de entrada y espera previas a una señal o semáforo. Se tratan de cajas de colisión dinámicas que detectan la presencia del coche.,https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/57
58,189232677,IMPLEMENTACIÓN DE ZONAS DE CRUCE Y DINÁMICA DE REANUDACIÓN DE LA MARCHA,Issue,Closed,"SPRINT 8 - Implementación Señales y Semáforos a la RN, modo TRAINTEST y mejora rendimiento",8,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-01,2026-04-06,6,,2026-04-29 13:19:54,2026-04-29 13:21:42,2026-04-29 13:21:42,,1,2026-04-29 13:21:43,2026-04-29 13:21:43,Sergio Alves Martín (@salvem00),"Primero se calcula la correcta frenada según la zona de espera, y se implementa una zona de cruce, similar a la de espera pero situada en la zona donde podrían venir coches con prioridad de paso. Se añade la dinámica de reanudación de la marcha tras la liberación de estas crossingzones.","1. [2026-04-29 13:21:43] Sergio Alves Martín (@salvem00): Primero se calcula la correcta frenada según la zona de espera, y se implementa una zona de cruce, similar a la de espera pero situada en la zona donde podrían venir coches con prioridad de paso. Se añade la dinámica de reanudación de la marcha tras la liberación de estas crossingzones.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/58
59,189232789,IMPLEMENTACIÓN DE MODO TRAINTEST 70/30 Y LIMPIEZA DE RENDIMIENTO EN ARRAYS,Issue,Closed,"SPRINT 8 - Implementación Señales y Semáforos a la RN, modo TRAINTEST y mejora rendimiento",8,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-06,2026-04-06,1,,2026-04-29 13:21:53,2026-04-29 13:23:22,2026-04-29 13:23:22,,1,2026-04-29 13:23:23,2026-04-29 13:23:23,Sergio Alves Martín (@salvem00),"Se crea el modo traintest con una proporción teórica de 70/30, para x generaciones seleccionadas. Además se optimizó el rendimiento gracias a cambios en el recorrido de arrays.","1. [2026-04-29 13:23:23] Sergio Alves Martín (@salvem00): Se crea el modo traintest con una proporción teórica de 70/30, para x generaciones seleccionadas. Además se optimizó el rendimiento gracias a cambios en el recorrido de arrays.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/59
60,189320124,EXPANSIÓN DE TELEMETRÍA Y UMBRALES DE APRENDIZAJE,Issue,Closed,SPRINT 9 - Refinamiento de intersecciones y lógica de comportamiento base,9,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-07,2026-04-09,3,,2026-04-30 10:01:07,2026-04-30 10:02:18,2026-04-30 10:02:18,,1,2026-04-30 10:02:19,2026-04-30 10:02:19,Sergio Alves Martín (@salvem00),"Implementación del guardado masivo de variables en Fitness_Debug.csv para análisis de rendimiento (Acum_ThrottlePos, Acum_BrakeInput, CoastTime). | Desarrollo de la lógica de aprendizaje para que los vehículos establezcan umbrales legales de velocidad (LegalStopSpeeds) y tiempo de parada en señales. | Mejora de los sistemas de monitoreo de frenada ante señales de tráfico","1. [2026-04-30 10:02:19] Sergio Alves Martín (@salvem00): Implementación del guardado masivo de variables en Fitness_Debug.csv para análisis de rendimiento (Acum_ThrottlePos, Acum_BrakeInput, CoastTime). | Desarrollo de la lógica de aprendizaje para que los vehículos establezcan umbrales legales de velocidad (LegalStopSpeeds) y tiempo de parada en señales. | Mejora de los sistemas de monitoreo de frenada ante señales de tráfico",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/60
61,189320187,REESTRUCTURACIÓN DE LA RED NEURONAL Y CONTEXTO,Issue,Closed,SPRINT 9 - Refinamiento de intersecciones y lógica de comportamiento base,9,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-04-10,2026-04-13,4,,2026-04-30 10:02:30,2026-04-30 10:03:21,2026-04-30 10:03:21,,1,2026-04-30 10:03:22,2026-04-30 10:03:22,Sergio Alves Martín (@salvem00),"Ampliación del vector de entrada de la red neuronal incorporando codificación one-hot para el tipo de control de tráfico (TrafficControlType: Semáforo, Stop, Ceda o Ninguno). | Ajuste de los pesos iniciales en InitializeRandomBrain para integrarse con la nueva arquitectura de entradas. | Optimización de la detección de obstáculos frontales y distancias laterales para la toma de decisiones.","1. [2026-04-30 10:03:22] Sergio Alves Martín (@salvem00): Ampliación del vector de entrada de la red neuronal incorporando codificación one-hot para el tipo de control de tráfico (TrafficControlType: Semáforo, Stop, Ceda o Ninguno). | Ajuste de los pesos iniciales en InitializeRandomBrain para integrarse con la nueva arquitectura de entradas. | Optimización de la detección de obstáculos frontales y distancias laterales para la toma de decisiones.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/61
