Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness,Acum_StopCompletionBonus,NumStopsCompleted,Acum_YieldCompletionBonus,NumYieldsCompleted,Acum_NavPenalty,NumRoundaboutsEntered,NumRoundaboutsCompleted,Acum_SpeedAtRoundaboutEntry,Acum_FrontObstAtRoundaboutEntry,Ticks_InRoundabout,Acum_SteeringInRoundabout,Acum_ThrottleInRoundabout,CollisionsInRoundabout,R_CurrentExitNumber,R_EntryDir_First,R_EntryDir_Second,R_EntryDir_Third,R_Exit1_Count,R_Exit2_Count,R_Exit3Plus_Count,R_Exit1_Deaths,R_Exit2_Deaths,R_Exit3Plus_Deaths,R_Exit1_Steering,R_Exit2_Steering,R_Exit3Plus_Steering,R_Exit1_Ticks,R_Exit2_Ticks,R_Exit3Plus_Ticks,R_Exit1_Throttle,R_Exit2_Throttle,R_Exit3Plus_Throttle,Acum_RoundaboutBonus,Acum_RndCompletionBonus,Acum_RndEntryPenalty,Acum_RndThrottlePenalty,Acum_AlignmentPenalty,NumCarOverlaps
﻿1,BP_VehicleAI24,8176.63525,22,BP_SpawnPoint56,COLLISION_WITH_BP_IntersectionBorder63,730.973657,1487.76516,8906.76783,5.812368,0.0,8912.580198,0.0,0.0,605.0,605.0,true,7.02195,0.872189,2.848108,0.636274,0.0,18.0,0.0,0.0,0.0,0.229474,0.0,0.0,0.0,0.0,-71.206548,-71.206548,5,227.30934,0.0,0.0,18.0,0,0.0,0,435934.118473,20.40788,0,9397.868551,0.0,0,1655.14796,2,0.0,1,0,611.587341,0.222079,213,-44.947482,71.065364,1,1,0,1,0,1,0,0,1,0,0,107.019144,0.0,0.0,213.0,0.0,0.0,71.065364,0.0,0.0,-151.716368,0.0,151.716368,0.0,0.000368,0
﻿1,BP_VehicleAI28,7365.702961,24,BP_SpawnPoint29,COLLISION_WITH_BP_IntersectionBorder266,1464.155049,1415.895314,9619.809233,5.803231,0.0,9625.612463,0.0,0.0,683.0,683.0,true,8.231663,0.670206,3.629774,0.286021,0.0,9.0,0.0,0.0,0.0,0.099206,0.0,0.0,0.0,0.0,47.177029,47.177029,9,337.921207,0.0,0.0,9.0,0,0.0,0,435934.118473,10.654228,0,9403.257515,0.0,0,1277.981723,1,647.087385,1,0,913.872925,1.0,286,-69.446964,99.018559,1,3,0,1,0,1,1,1,0,0,1,86.16303,35.940392,36.777018,204.0,44.0,38.0,42.151161,22.015543,34.851855,0.0,0.0,0.0,0.0,0.000044,0
﻿1,BP_VehicleAI23,9380.018081,27,BP_SpawnPoint48,COLLISION_WITH_BP_IntersectionBorder261,1361.867972,3479.039473,11750.206742,7.455202,0.0,11757.661944,0.0,0.0,769.0,769.0,true,9.547073,1.211881,3.207447,0.566771,0.0,19.0,0.0,0.0,0.0,0.831155,0.0,0.0,0.0,0.0,-51.314767,-51.314767,4,370.625301,0.0,0.0,19.0,0,0.0,0,435934.118473,25.837573,0,11601.447679,0.0,0,2489.932441,2,0.0,1,0,907.177673,1.0,337,-66.988985,106.955624,1,3,0,0,1,1,1,1,0,0,1,85.189526,86.997424,7.987129,234.0,95.0,8.0,32.245418,66.774724,7.935481,0.0,0.0,0.0,0.0,0.000131,0
﻿1,BP_VehicleAI220,14210.046379,30,BP_SpawnPoint37,STOP_VIOLATION,2.23985,1536.511101,15079.882611,10.969909,0.0,15090.85252,28.198388,0.0,884.0,900.0,true,8.533477,1.576323,5.992702,1.233899,0.159265,182.0,322.899078,0.0,0.0,2.437697,0.0,0.0,0.0,4.5,154.479769,154.479769,21,352.762551,0.0,173.0,9.0,0,0.0,0,435934.118473,196.120903,1,14237.307651,0.0,0,1209.841638,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000913,1
﻿1,BP_VehicleAI226,10055.077038,33,BP_SpawnPoint33,STOP_VIOLATION,0.0,1151.348127,10237.426328,6.358676,98.928805,10243.785004,101.499025,0.0,971.0,1000.0,true,8.953945,5.179006,3.444412,4.723947,0.0,271.0,195.90579,0.000085,0.0,1.994454,0.445358,0.0,0.0,3.9,381.855283,381.855283,27,542.548396,0.0,156.0,115.0,0,0.0,0,435934.118473,91.340286,2,10092.047559,0.0,0,1254.451812,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815,0
﻿1,BP_VehicleAI222,19532.695726,34,BP_SpawnPoint44,COLLISION_WITH_BP_IntersectionBorder67,644.11727,1573.100735,15577.047615,11.230684,52.907345,15588.278299,0.0,0.0,1051.0,1051.0,true,9.861603,3.596587,3.105292,2.844307,0.0,144.0,64.908314,0.000012,0.0,0.119955,0.450349,0.0,0.0,0.0,291.346934,291.346934,23,435.005142,0.0,137.0,7.0,0,0.0,0,435934.118473,38.562222,1,20335.75755,6000.0,1,212.318744,1,0.0,1,0,234.077332,0.495219,274,52.438555,92.562151,0,1,1,0,0,1,0,0,0,0,0,109.073378,0.0,0.0,274.0,0.0,0.0,92.562151,0.0,0.0,0.0,0.0,0.0,0.0,0.000152,0
﻿1,BP_VehicleAI214,18621.600573,38,BP_SpawnPoint38,STOP_VIOLATION,0.0,1871.85466,13710.00096,9.244517,0.0,13719.245477,50.672195,0.0,1179.0,1196.0,true,9.620168,3.097078,4.95043,2.590993,0.000279,326.0,284.267378,0.000017,0.0,1.34838,1.5295,0.0,0.0,4.1,101.384616,101.384616,15,512.072413,0.0,315.0,11.0,0,0.0,0,435934.118473,98.093015,2,18651.839408,6000.0,1,1208.591523,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000782,0
﻿1,BP_VehicleAI229,19562.721327,43,BP_SpawnPoint47,STOP_VIOLATION,2.343593,1871.582168,20871.302923,15.014422,0.0,20886.317345,37.043677,0.0,1381.0,1401.0,true,11.598577,2.141729,7.750318,1.430928,0.171396,230.0,331.15115,0.0,0.0,2.689509,0.577593,0.00457,0.0,4.5,98.929682,98.929682,30,531.186876,0.0,211.0,19.0,0,0.0,0,435934.118473,212.901973,2,19590.040399,0.0,0,1136.460764,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001119,0
﻿1,BP_VehicleAI225,21881.514805,43,BP_SpawnPoint11,STOP_VIOLATION,132.786888,2088.872667,23169.301933,15.574865,0.0,23184.876799,0.0,0.0,1407.0,1407.0,true,11.726269,4.522506,4.02005,3.865683,0.0,192.0,636.377035,0.000189,0.0,8.705655,0.902682,0.020474,0.0,3.7,-9.497336,-9.497336,26,581.016613,0.0,174.0,18.0,0,0.0,0,435934.118473,470.362572,2,23151.47008,0.0,0,2166.531835,2,0.0,1,0,916.780701,1.0,251,16.411534,59.394034,0,1,0,1,0,1,0,0,0,0,0,131.178569,0.0,0.0,251.0,0.0,0.0,59.394034,0.0,0.0,0.0,0.0,0.0,0.0,0.001935,0
﻿1,BP_VehicleAI224,22940.387672,49,BP_SpawnPoint5,STOP_VIOLATION,118.590201,3955.436946,25465.298562,17.123321,0.0,25482.421883,0.0,0.0,1720.0,1720.0,true,14.446898,4.962573,4.55798,3.963688,0.0,207.0,631.308841,0.000237,0.0,9.151816,0.0,0.0,0.0,3.7,11.694623,11.694623,25,759.424498,0.0,178.0,29.0,0,0.0,0,435934.118473,480.06457,1,24175.628713,0.0,0,2771.110823,3,0.0,1,0,919.721558,1.0,363,-2.961873,91.167491,0,2,0,0,1,1,1,0,0,0,0,82.359104,110.951267,0.0,204.0,159.0,0.0,37.856979,53.310512,0.0,0.0,0.0,0.0,0.0,0.002222,0
